SA2_CODE_2021,SA2_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,11,Inner Regional Australia,0.7324329,Good,Good,0
101021007,Braidwood,12,Outer Regional Australia,0.2675671,Acceptable,Good,0
101021008,Karabar,10,Major Cities of Australia,1,Good,Good,0
101021009,Queanbeyan,10,Major Cities of Australia,1,Good,Good,0
101021010,Queanbeyan - East,10,Major Cities of Australia,1,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,10,Major Cities of Australia,1,Good,Good,0
101021610,Googong,11,Inner Regional Australia,1,Good,Good,0
101021611,Queanbeyan Surrounds,10,Major Cities of Australia,0.0480626,Good,Good,0
101021611,Queanbeyan Surrounds,11,Inner Regional Australia,0.9519374,Good,Good,0
101031013,Bombala,12,Outer Regional Australia,1,Acceptable,Good,0
101031014,Cooma,11,Inner Regional Australia,1,Good,Good,0
101031015,Cooma Surrounds,11,Inner Regional Australia,0.5736649,Good,Good,0
101031015,Cooma Surrounds,12,Outer Regional Australia,0.4263351,Acceptable,Good,0
101031016,Jindabyne - Berridale,12,Outer Regional Australia,1,Acceptable,Good,0
101041017,Batemans Bay,11,Inner Regional Australia,1,Good,Good,0
101041018,Batemans Bay - South,11,Inner Regional Australia,1,Good,Good,0
101041019,Bega - Tathra,12,Outer Regional Australia,1,Acceptable,Good,0
101041020,Bega-Eden Hinterland,12,Outer Regional Australia,1,Acceptable,Good,0
101041021,Broulee - Tomakin,11,Inner Regional Australia,1,Good,Good,0
101041022,Deua - Wadbilliga,12,Outer Regional Australia,1,Acceptable,Good,0
101041023,Eden,12,Outer Regional Australia,1,Acceptable,Good,0
101041024,Eurobodalla Hinterland,11,Inner Regional Australia,0.6915538,Good,Good,0
101041024,Eurobodalla Hinterland,12,Outer Regional Australia,0.3084462,Acceptable,Good,0
101041025,Merimbula - Tura Beach,12,Outer Regional Australia,1,Acceptable,Good,0
101041026,Moruya - Tuross Head,11,Inner Regional Australia,0.6829839,Good,Good,0
101041026,Moruya - Tuross Head,12,Outer Regional Australia,0.3170161,Acceptable,Good,0
101041027,Narooma - Bermagui,12,Outer Regional Australia,1,Acceptable,Good,0
101051539,Goulburn,11,Inner Regional Australia,1,Good,Good,0
101051540,Goulburn Surrounds,11,Inner Regional Australia,0.8868934,Good,Good,0
101051540,Goulburn Surrounds,12,Outer Regional Australia,0.1131066,Acceptable,Good,0
101061541,Yass,11,Inner Regional Australia,1,Good,Good,0
101061542,Yass Surrounds,10,Major Cities of Australia,0.0445299,Good,Good,0
101061542,Yass Surrounds,11,Inner Regional Australia,0.9288242,Good,Good,0
101061542,Yass Surrounds,12,Outer Regional Australia,0.0266459,Acceptable,Good,0
101061543,Young,11,Inner Regional Australia,1,Good,Good,0
101061544,Young Surrounds,11,Inner Regional Australia,0.6591125,Good,Good,0
101061544,Young Surrounds,12,Outer Regional Australia,0.3408875,Acceptable,Good,0
102011028,Avoca Beach - Copacabana,10,Major Cities of Australia,1,Good,Good,0
102011029,Box Head - MacMasters Beach,10,Major Cities of Australia,1,Good,Good,0
102011030,Calga - Kulnura,10,Major Cities of Australia,0.0984229,Good,Good,0
102011030,Calga - Kulnura,11,Inner Regional Australia,0.9015771,Good,Good,0
102011031,Erina - Green Point,10,Major Cities of Australia,1,Good,Good,0
102011032,Gosford - Springfield,10,Major Cities of Australia,1,Good,Good,0
102011033,Kariong,10,Major Cities of Australia,1,Good,Good,0
102011034,Kincumber - Picketts Valley,10,Major Cities of Australia,1,Good,Good,0
102011035,Narara,10,Major Cities of Australia,1,Good,Good,0
102011036,Niagara Park - Lisarow,10,Major Cities of Australia,1,Good,Good,0
102011037,Point Clare - Koolewong,10,Major Cities of Australia,1,Good,Good,0
102011038,Saratoga - Davistown,10,Major Cities of Australia,1,Good,Good,0
102011039,Terrigal - North Avoca,10,Major Cities of Australia,1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,10,Major Cities of Australia,1,Good,Good,0
102011041,Wamberal - Forresters Beach,10,Major Cities of Australia,1,Good,Good,0
102011042,Woy Woy - Blackwall,10,Major Cities of Australia,1,Good,Good,0
102011043,Wyoming,10,Major Cities of Australia,1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,10,Major Cities of Australia,1,Good,Good,0
102021045,Blue Haven - San Remo,10,Major Cities of Australia,1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,10,Major Cities of Australia,1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,10,Major Cities of Australia,1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,10,Major Cities of Australia,1,Good,Good,0
102021049,Jilliby - Yarramalong,10,Major Cities of Australia,0.4235257,Good,Good,0
102021049,Jilliby - Yarramalong,11,Inner Regional Australia,0.5764743,Good,Good,0
102021050,Lake Munmorah - Mannering Park,10,Major Cities of Australia,1,Good,Good,0
102021051,Ourimbah - Fountaindale,10,Major Cities of Australia,0.9064886,Good,Good,0
102021051,Ourimbah - Fountaindale,11,Inner Regional Australia,0.0935114,Good,Good,0
102021052,Summerland Point - Gwandalan,10,Major Cities of Australia,1,Good,Good,0
102021053,The Entrance,10,Major Cities of Australia,1,Good,Good,0
102021054,Toukley - Norah Head,10,Major Cities of Australia,1,Good,Good,0
102021055,Tuggerah - Kangy Angy,10,Major Cities of Australia,1,Good,Good,0
102021056,Warnervale - Wadalba,10,Major Cities of Australia,1,Good,Good,0
102021057,Wyong,10,Major Cities of Australia,1,Good,Good,0
103011059,Bathurst - East,11,Inner Regional Australia,1,Good,Good,0
103011060,Bathurst Surrounds,11,Inner Regional Australia,0.8824289,Good,Good,0
103011060,Bathurst Surrounds,12,Outer Regional Australia,0.1175711,Acceptable,Good,0
103011061,Oberon,11,Inner Regional Australia,0.8938017,Good,Good,0
103011061,Oberon,12,Outer Regional Australia,0.1061983,Acceptable,Good,0
103011612,Bathurst - South,11,Inner Regional Australia,1,Good,Good,0
103011613,Bathurst - West,11,Inner Regional Australia,1,Good,Good,0
103021062,Condobolin,12,Outer Regional Australia,0.5164857,Acceptable,Good,0
103021062,Condobolin,13,Remote Australia,0.4835143,Poor,Good,0
103021063,Cowra,11,Inner Regional Australia,1,Good,Good,0
103021064,Cowra Surrounds,11,Inner Regional Australia,0.3520094,Good,Good,0
103021064,Cowra Surrounds,12,Outer Regional Australia,0.6479906,Acceptable,Good,0
103021065,Forbes,12,Outer Regional Australia,1,Acceptable,Good,0
103021066,Grenfell,12,Outer Regional Australia,1,Acceptable,Good,0
103021067,Parkes (NSW),12,Outer Regional Australia,1,Acceptable,Good,0
103021068,Parkes Surrounds,12,Outer Regional Australia,1,Acceptable,Good,0
103021069,West Wyalong,12,Outer Regional Australia,0.9771983,Acceptable,Good,0
103021069,West Wyalong,13,Remote Australia,0.0228017,Poor,Good,0
103031070,Lithgow,11,Inner Regional Australia,1,Good,Good,0
103031071,Lithgow Surrounds,11,Inner Regional Australia,0.9621052,Good,Good,0
103031071,Lithgow Surrounds,12,Outer Regional Australia,0.0378948,Acceptable,Good,0
103031072,Mudgee,11,Inner Regional Australia,1,Good,Good,0
103031073,Mudgee Surrounds - East,11,Inner Regional Australia,0.3540021,Good,Good,0
103031073,Mudgee Surrounds - East,12,Outer Regional Australia,0.6459979,Acceptable,Good,0
103031074,Mudgee Surrounds - West,12,Outer Regional Australia,1,Acceptable,Good,0
103031075,Wollangambe - Wollemi,12,Outer Regional Australia,1,Acceptable,Good,0
103041076,Blayney,11,Inner Regional Australia,0.8674427,Good,Good,0
103041076,Blayney,12,Outer Regional Australia,0.1325573,Acceptable,Good,0
103041077,Orange,11,Inner Regional Australia,1,Good,Good,0
103041078,Orange - North,11,Inner Regional Australia,1,Good,Good,0
103041079,Orange Surrounds,11,Inner Regional Australia,0.7182736,Good,Good,0
103041079,Orange Surrounds,12,Outer Regional Australia,0.2817264,Acceptable,Good,0
104011080,Grafton,11,Inner Regional Australia,1,Good,Good,0
104011081,Grafton Surrounds,11,Inner Regional Australia,0.4032257,Good,Good,0
104011081,Grafton Surrounds,12,Outer Regional Australia,0.5967743,Acceptable,Good,0
104011082,Maclean - Yamba - Iluka,11,Inner Regional Australia,0.9844542,Good,Good,0
104011082,Maclean - Yamba - Iluka,12,Outer Regional Australia,0.0155458,Acceptable,Good,0
104021083,Bellingen,12,Outer Regional Australia,1,Acceptable,Good,0
104021084,Coffs Harbour - North,11,Inner Regional Australia,1,Good,Good,0
104021085,Coffs Harbour - South,11,Inner Regional Australia,1,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,11,Inner Regional Australia,0.649941,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,12,Outer Regional Australia,0.350059,Acceptable,Good,0
104021087,Dorrigo,12,Outer Regional Australia,1,Acceptable,Good,0
104021088,Korora - Emerald Beach,11,Inner Regional Australia,1,Good,Good,0
104021089,Sawtell - Boambee,11,Inner Regional Australia,1,Good,Good,0
104021090,Urunga,12,Outer Regional Australia,1,Acceptable,Good,0
104021091,Woolgoolga - Arrawarra,11,Inner Regional Australia,0.9999917,Good,Good,0
104021091,Woolgoolga - Arrawarra,12,Outer Regional Australia,8.30E-06,Acceptable,Good,1
105011092,Bourke - Brewarrina,13,Remote Australia,0.4445062,Poor,Good,0
105011092,Bourke - Brewarrina,14,Very Remote Australia,0.5554938,Poor,Good,0
105011093,Cobar,13,Remote Australia,0.8965016,Poor,Good,0
105011093,Cobar,14,Very Remote Australia,0.1034984,Poor,Good,0
105011094,Coonamble,12,Outer Regional Australia,0.0914961,Acceptable,Good,0
105011094,Coonamble,13,Remote Australia,0.9085039,Poor,Good,0
105011095,Nyngan - Warren,12,Outer Regional Australia,0.2968733,Acceptable,Good,0
105011095,Nyngan - Warren,13,Remote Australia,0.7031267,Poor,Good,0
105011096,Walgett - Lightning Ridge,13,Remote Australia,0.9186829,Poor,Good,0
105011096,Walgett - Lightning Ridge,14,Very Remote Australia,0.0813171,Poor,Good,0
105021097,Broken Hill,12,Outer Regional Australia,1,Acceptable,Good,0
105021098,Far West,13,Remote Australia,0.1488052,Poor,Good,0
105021098,Far West,14,Very Remote Australia,0.8511948,Poor,Good,0
105031099,Coonabarabran,12,Outer Regional Australia,0.8990308,Acceptable,Good,0
105031099,Coonabarabran,13,Remote Australia,0.1009692,Poor,Good,0
105031100,Dubbo - East,11,Inner Regional Australia,1,Good,Good,0
105031101,Dubbo - South,11,Inner Regional Australia,1,Good,Good,0
105031102,Dubbo - West,11,Inner Regional Australia,1,Good,Good,0
105031103,Dubbo Surrounds,11,Inner Regional Australia,0.0793948,Good,Good,0
105031103,Dubbo Surrounds,12,Outer Regional Australia,0.9206052,Acceptable,Good,0
105031104,Gilgandra,12,Outer Regional Australia,1,Acceptable,Good,0
105031105,Narromine,12,Outer Regional Australia,1,Acceptable,Good,0
105031106,Wellington,12,Outer Regional Australia,1,Acceptable,Good,0
106011107,Branxton - Greta - Pokolbin,11,Inner Regional Australia,1,Good,Good,0
106011108,Cessnock,10,Major Cities of Australia,0.0074825,Good,Good,1
106011108,Cessnock,11,Inner Regional Australia,0.9925175,Good,Good,0
106011109,Cessnock Surrounds,10,Major Cities of Australia,0.0382879,Good,Good,0
106011109,Cessnock Surrounds,11,Inner Regional Australia,0.9617121,Good,Good,0
106011110,Dungog,11,Inner Regional Australia,0.9482589,Good,Good,0
106011110,Dungog,12,Outer Regional Australia,0.0517411,Acceptable,Good,0
106011111,Kurri Kurri - Abermain,10,Major Cities of Australia,0.9715992,Good,Good,0
106011111,Kurri Kurri - Abermain,11,Inner Regional Australia,0.0284008,Good,Good,0
106011112,Singleton,11,Inner Regional Australia,1,Good,Good,0
106011113,Singleton Surrounds,11,Inner Regional Australia,0.929133,Good,Good,0
106011113,Singleton Surrounds,12,Outer Regional Australia,0.070867,Acceptable,Good,0
