SA2_CODE_2021,SA2_NAME_2021,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,10031,Goulburn,0.0703839,Good,Acceptable,0
101021007,Braidwood,10053,Monaro,0.9296161,Good,Acceptable,0
101021008,Karabar,10053,Monaro,1,Good,Acceptable,0
101021009,Queanbeyan,10053,Monaro,1,Good,Acceptable,0
101021010,Queanbeyan - East,10053,Monaro,1,Good,Acceptable,0
101021012,Queanbeyan West - Jerrabomberra,10053,Monaro,1,Good,Acceptable,0
101021610,Googong,10053,Monaro,1,Good,Acceptable,0
101021611,Queanbeyan Surrounds,10031,Goulburn,0.0229145,Good,Acceptable,0
101021611,Queanbeyan Surrounds,10053,Monaro,0.9770855,Good,Acceptable,0
101031013,Bombala,10009,Bega,1.23E-05,Good,Acceptable,1
101031013,Bombala,10053,Monaro,0.9999877,Good,Acceptable,0
101031014,Cooma,10053,Monaro,1,Good,Acceptable,0
101031015,Cooma Surrounds,10009,Bega,2.01E-05,Good,Acceptable,1
101031015,Cooma Surrounds,10053,Monaro,0.9999799,Good,Acceptable,0
101031016,Jindabyne - Berridale,10053,Monaro,1,Good,Acceptable,0
101041017,Batemans Bay,10009,Bega,1,Good,Acceptable,0
101041018,Batemans Bay - South,10009,Bega,1,Good,Acceptable,0
101041019,Bega - Tathra,10009,Bega,1,Good,Acceptable,0
101041020,Bega-Eden Hinterland,10009,Bega,0.9999969,Good,Acceptable,0
101041020,Bega-Eden Hinterland,10053,Monaro,3.10E-06,Good,Acceptable,1
101041021,Broulee - Tomakin,10009,Bega,1,Good,Acceptable,0
101041022,Deua - Wadbilliga,10009,Bega,0.9997594,Good,Acceptable,0
101041022,Deua - Wadbilliga,10053,Monaro,0.0002406,Good,Acceptable,1
101041023,Eden,10009,Bega,1,Good,Acceptable,0
101041024,Eurobodalla Hinterland,10009,Bega,0.943562,Good,Acceptable,0
101041024,Eurobodalla Hinterland,10076,South Coast,0.056438,Good,Acceptable,0
101041025,Merimbula - Tura Beach,10009,Bega,1,Good,Acceptable,0
