SA4_CODE_2021,SA4_NAME_2021,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Capital Region,105,Riverina - Orange,0.0695689,Good,Good,0
101,Capital Region,106,South-Eastern NSW,0.9304311,Good,Good,0
102,Central Coast,104,NSW Central and North Coast,1,Good,Good,0
103,Central West,101,Dubbo,0.0665738,Poor,Good,0
103,Central West,105,Riverina - Orange,0.9334262,Good,Good,0
104,Coffs Harbour - Grafton,104,NSW Central and North Coast,1,Good,Good,0
105,Far West and Orana,101,Dubbo,0.6826083,Poor,Good,0
105,Far West and Orana,103,North-Western NSW,0.3173917,Poor,Good,0
106,Hunter Valley exc Newcastle,102,North-Eastern NSW,0.1047799,Acceptable,Good,0
106,Hunter Valley exc Newcastle,104,NSW Central and North Coast,0.8952201,Good,Good,0
107,Illawarra,106,South-Eastern NSW,2.68E-05,Good,Good,1
107,Illawarra,107,Sydney - Wollongong,0.9999732,Good,Good,0
108,Mid North Coast,104,NSW Central and North Coast,0.9980681,Good,Good,0
108,Mid North Coast,107,Sydney - Wollongong,0.0019319,Good,Good,1
109,Murray,105,Riverina - Orange,1,Good,Good,0
110,New England and North West,102,North-Eastern NSW,1,Acceptable,Good,0
111,Newcastle and Lake Macquarie,104,NSW Central and North Coast,1,Good,Good,0
112,Richmond - Tweed,104,NSW Central and North Coast,1,Good,Good,0
113,Riverina,105,Riverina - Orange,1,Good,Good,0
114,Southern Highlands and Shoalhaven,106,South-Eastern NSW,1,Good,Good,0
115,Sydney - Baulkham Hills and Hawkesbury,107,Sydney - Wollongong,1,Good,Good,0
116,Sydney - Blacktown,107,Sydney - Wollongong,1,Good,Good,0
117,Sydney - City and Inner South,107,Sydney - Wollongong,1,Good,Good,0
118,Sydney - Eastern Suburbs,107,Sydney - Wollongong,1,Good,Good,0
119,Sydney - Inner South West,107,Sydney - Wollongong,1,Good,Good,0
120,Sydney - Inner West,107,Sydney - Wollongong,1,Good,Good,0
121,Sydney - North Sydney and Hornsby,107,Sydney - Wollongong,1,Good,Good,0
122,Sydney - Northern Beaches,107,Sydney - Wollongong,1,Good,Good,0
123,Sydney - Outer South West,107,Sydney - Wollongong,1,Good,Good,0
124,Sydney - Outer West and Blue Mountains,107,Sydney - Wollongong,1,Good,Good,0
125,Sydney - Parramatta,107,Sydney - Wollongong,1,Good,Good,0
126,Sydney - Ryde,107,Sydney - Wollongong,1,Good,Good,0
127,Sydney - South West,107,Sydney - Wollongong,1,Good,Good,0
128,Sydney - Sutherland,107,Sydney - Wollongong,1,Good,Good,0
197,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
199,No usual address (NSW),194,No usual address (NSW),1,Good,Good,0
201,Ballarat,202,Victoria exc. Melbourne,1,Good,Good,0
202,Bendigo,202,Victoria exc. Melbourne,1,Good,Good,0
203,Geelong,202,Victoria exc. Melbourne,1,Good,Good,0
204,Hume,201,Melbourne,0.0013089,Good,Good,1
204,Hume,202,Victoria exc. Melbourne,0.9986911,Good,Good,0
205,Latrobe - Gippsland,202,Victoria exc. Melbourne,1,Good,Good,0
206,Melbourne - Inner,201,Melbourne,1,Good,Good,0
207,Melbourne - Inner East,201,Melbourne,1,Good,Good,0
208,Melbourne - Inner South,201,Melbourne,1,Good,Good,0
209,Melbourne - North East,201,Melbourne,0.9503958,Good,Good,0
209,Melbourne - North East,202,Victoria exc. Melbourne,0.0496042,Good,Good,0
210,Melbourne - North West,201,Melbourne,0.9223085,Good,Good,0
210,Melbourne - North West,202,Victoria exc. Melbourne,0.0776915,Good,Good,0
211,Melbourne - Outer East,201,Melbourne,1,Good,Good,0
212,Melbourne - South East,201,Melbourne,1,Good,Good,0
213,Melbourne - West,201,Melbourne,0.9710433,Good,Good,0
213,Melbourne - West,202,Victoria exc. Melbourne,0.0289567,Good,Good,0
214,Mornington Peninsula,201,Melbourne,1,Good,Good,0
215,North West,202,Victoria exc. Melbourne,1,Good,Good,0
216,Shepparton,202,Victoria exc. Melbourne,1,Good,Good,0
217,Warrnambool and South West,202,Victoria exc. Melbourne,1,Good,Good,0
297,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
299,No usual address (Vic.),294,No usual address (Vic.),1,Good,Good,0
301,Brisbane - East,301,Brisbane,1,Good,Good,0
302,Brisbane - North,301,Brisbane,1,Good,Good,0
303,Brisbane - South,301,Brisbane,1,Good,Good,0
304,Brisbane - West,301,Brisbane,1,Good,Good,0
