SED_CODE_2016,SED_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10001,Albury,10001,Albury,1,Good,Acceptable,0
10002,Auburn,10002,Auburn,0.993773,Good,Acceptable,0
10002,Auburn,10032,Granville,0.006227,Good,Acceptable,1
10003,Ballina,10003,Ballina,0.9995546,Good,Acceptable,0
10003,Ballina,10045,Lismore,0.0004454,Good,Acceptable,1
10004,Balmain,10004,Balmain,1,Good,Acceptable,0
10005,Bankstown,10005,Bankstown,0.9984279,Good,Acceptable,0
10005,Bankstown,10043,Lakemba,0.0015721,Good,Acceptable,1
10006,Barwon,10006,Barwon,1,Good,Acceptable,0
10007,Bathurst,10007,Bathurst,0.9993171,Good,Acceptable,0
10007,Bathurst,10022,Cootamundra,0.0001608,Good,Acceptable,1
10007,Bathurst,10085,Upper Hunter,0.000522,Good,Acceptable,1
10007,Bathurst,10011,Blue Mountains,1.00E-07,Good,Acceptable,1
10008,Baulkham Hills,10008,Baulkham Hills,0.9968128,Good,Acceptable,0
10008,Baulkham Hills,10016,Castle Hill,0.001384,Good,Acceptable,1
10008,Baulkham Hills,10065,Parramatta,0.0018031,Good,Acceptable,1
10009,Bega,10009,Bega,1,Good,Acceptable,0
10010,Blacktown,10010,Blacktown,0.9961887,Good,Acceptable,0
10010,Blacktown,10070,Prospect,0.0034439,Good,Acceptable,1
10010,Blacktown,10074,Seven Hills,0.0003674,Good,Acceptable,1
10011,Blue Mountains,10011,Blue Mountains,0.9952252,Good,Acceptable,0
10011,Blue Mountains,10033,Hawkesbury,0.0047748,Good,Acceptable,1
10012,Cabramatta,10012,Cabramatta,1,Good,Acceptable,0
10013,Camden,10013,Camden,0.9988115,Good,Acceptable,0
10013,Camden,10048,Macquarie Fields,0.0003018,Good,Acceptable,1
10013,Camden,10055,Mulgoa,0.0008867,Good,Acceptable,1
10014,Campbelltown,10014,Campbelltown,0.9989032,Good,Acceptable,0
10014,Campbelltown,10048,Macquarie Fields,0.0010967,Good,Acceptable,1
10015,Canterbury,10015,Canterbury,0.9989494,Good,Acceptable,0
10015,Canterbury,10043,Lakemba,0.0010506,Good,Acceptable,1
10016,Castle Hill,10016,Castle Hill,0.9983124,Good,Acceptable,0
10016,Castle Hill,10008,Baulkham Hills,0.0016876,Good,Acceptable,1
10017,Cessnock,10017,Cessnock,0.9973209,Good,Acceptable,0
10017,Cessnock,10049,Maitland,0.0024391,Good,Acceptable,1
10017,Cessnock,10085,Upper Hunter,0.00024,Good,Acceptable,1
10018,Charlestown,10018,Charlestown,0.9976715,Good,Acceptable,0
10018,Charlestown,10058,Newcastle,0.0023285,Good,Acceptable,1
10019,Clarence,10045,Lismore,0.0014397,Good,Acceptable,1
10019,Clarence,10019,Clarence,0.9985603,Good,Acceptable,0
10020,Coffs Harbour,10020,Coffs Harbour,1,Good,Acceptable,0
10021,Coogee,10021,Coogee,1,Good,Acceptable,0
10022,Cootamundra,10063,Orange,0.0004075,Good,Acceptable,1
10022,Cootamundra,10056,Murray,0.0011597,Good,Acceptable,1
10022,Cootamundra,10022,Cootamundra,0.9984328,Good,Acceptable,0
10023,Cronulla,10052,Miranda,1.00E-07,Good,Acceptable,1
10023,Cronulla,10023,Cronulla,0.999959,Good,Acceptable,0
10023,Cronulla,10034,Heathcote,4.09E-05,Good,Acceptable,1
10024,Davidson,10041,Ku-ring-gai,0.0004356,Good,Acceptable,1
10024,Davidson,10024,Davidson,0.9983599,Good,Acceptable,0
10024,Davidson,10088,Wakehurst,0.0012045,Good,Acceptable,1
10025,Drummoyne,10025,Drummoyne,1,Good,Acceptable,0
10026,Dubbo,10063,Orange,0.0012276,Good,Acceptable,1
10026,Dubbo,10007,Bathurst,0.0001638,Good,Acceptable,1
10026,Dubbo,10085,Upper Hunter,0.0023529,Good,Acceptable,1
10026,Dubbo,10006,Barwon,7.16E-05,Good,Acceptable,1
10026,Dubbo,10026,Dubbo,0.9961841,Good,Acceptable,0
10027,East Hills,10005,Bankstown,0.0020692,Good,Acceptable,1
10027,East Hills,10027,East Hills,0.9979308,Good,Acceptable,0
10028,Epping,10028,Epping,1,Good,Acceptable,0
10029,Fairfield,10029,Fairfield,1,Good,Acceptable,0
10030,Gosford,10083,The Entrance,1.00E-07,Good,Acceptable,1
10030,Gosford,10030,Gosford,0.9999999,Good,Acceptable,0
10031,Goulburn,10031,Goulburn,0.9957683,Good,Acceptable,0
10031,Goulburn,10039,Kiama,0.0009309,Good,Acceptable,1
10031,Goulburn,10053,Monaro,0.0020142,Good,Acceptable,1
10031,Goulburn,10091,Wollondilly,0.0012866,Good,Acceptable,1
10032,Granville,10029,Fairfield,0.0015968,Good,Acceptable,1
10032,Granville,10032,Granville,0.9963767,Good,Acceptable,0
10032,Granville,10065,Parramatta,0.0012445,Good,Acceptable,1
10032,Granville,10070,Prospect,0.0007819,Good,Acceptable,1
10033,Hawkesbury,10016,Castle Hill,0.0004909,Good,Acceptable,1
10033,Hawkesbury,10033,Hawkesbury,0.9995091,Good,Acceptable,0
10034,Heathcote,10023,Cronulla,0.0005021,Good,Acceptable,1
10034,Heathcote,10034,Heathcote,0.9949272,Good,Acceptable,0
10034,Heathcote,10036,Holsworthy,0.004161,Good,Acceptable,1
10034,Heathcote,10052,Miranda,0.0004097,Good,Acceptable,1
10035,Heffron,10035,Heffron,1,Good,Acceptable,0
10036,Holsworthy,10036,Holsworthy,0.9999641,Good,Acceptable,0
10036,Holsworthy,10046,Liverpool,3.59E-05,Good,Acceptable,1
10037,Hornsby,10033,Hawkesbury,0.0011824,Good,Acceptable,1
10037,Hornsby,10037,Hornsby,0.9977373,Good,Acceptable,0
10037,Hornsby,10041,Ku-ring-gai,0.0010803,Good,Acceptable,1
10038,Keira,10038,Keira,1,Good,Acceptable,0
10039,Kiama,10039,Kiama,0.9991972,Good,Acceptable,0
10039,Kiama,10075,Shellharbour,0.0008028,Good,Acceptable,1
10040,Kogarah,10040,Kogarah,1,Good,Acceptable,0
10041,Ku-ring-gai,10037,Hornsby,0.0003653,Good,Acceptable,1
10041,Ku-ring-gai,10041,Ku-ring-gai,0.9996347,Good,Acceptable,0
10042,Lake Macquarie,10017,Cessnock,0.0006091,Good,Acceptable,1
10042,Lake Macquarie,10042,Lake Macquarie,0.9993909,Good,Acceptable,0
10043,Lakemba,10043,Lakemba,1,Good,Acceptable,0
10044,Lane Cove,10044,Lane Cove,0.997843,Good,Acceptable,0
10044,Lane Cove,10073,Ryde,0.002157,Good,Acceptable,1
10045,Lismore,10084,Tweed,0.0016213,Good,Acceptable,1
10045,Lismore,10003,Ballina,0.0014791,Good,Acceptable,1
10045,Lismore,10045,Lismore,0.9960037,Good,Acceptable,0
10045,Lismore,10019,Clarence,0.000896,Good,Acceptable,1
10046,Liverpool,10046,Liverpool,0.9999999,Good,Acceptable,0
10046,Liverpool,10036,Holsworthy,1.00E-07,Good,Acceptable,1
10047,Londonderry,10047,Londonderry,0.9991703,Good,Acceptable,0
10047,Londonderry,10066,Penrith,0.0008297,Good,Acceptable,1
10048,Macquarie Fields,10013,Camden,0.0002574,Good,Acceptable,1
10048,Macquarie Fields,10048,Macquarie Fields,0.9997426,Good,Acceptable,0
10049,Maitland,10089,Wallsend,0.0001693,Good,Acceptable,1
10049,Maitland,10049,Maitland,0.9982814,Good,Acceptable,0
10049,Maitland,10017,Cessnock,0.0015493,Good,Acceptable,1
10050,Manly,10088,Wakehurst,0.0024691,Good,Acceptable,1
10050,Manly,10050,Manly,0.9975309,Good,Acceptable,0
10051,Maroubra,10051,Maroubra,1,Good,Acceptable,0
10052,Miranda,,,6.71E-05,Poor,Acceptable,4
10052,Miranda,10052,Miranda,0.9999329,Good,Acceptable,0
10053,Monaro,10053,Monaro,1,Good,Acceptable,0
10054,Mount Druitt,10054,Mount Druitt,1,Good,Acceptable,0
10055,Mulgoa,10013,Camden,0.0004186,Good,Acceptable,1
10055,Mulgoa,10055,Mulgoa,0.9994336,Good,Acceptable,0
10055,Mulgoa,10070,Prospect,0.0001478,Good,Acceptable,1
10056,Murray,10056,Murray,1,Good,Acceptable,0
10057,Myall Lakes,10057,Myall Lakes,1,Good,Acceptable,0
10058,Newcastle,10058,Newcastle,1,Good,Acceptable,0
10059,Newtown,10078,Summer Hill,0.0027094,Good,Acceptable,1
10059,Newtown,10059,Newtown,0.9972906,Good,Acceptable,0
10060,North Shore,10060,North Shore,0.998858,Good,Acceptable,0
10060,North Shore,10090,Willoughby,0.001142,Good,Acceptable,1
10061,Northern Tablelands,10061,Northern Tablelands,1,Good,Acceptable,0
10062,Oatley,10062,Oatley,1,Good,Acceptable,0
10063,Orange,10026,Dubbo,0.0003858,Good,Acceptable,1
10063,Orange,10063,Orange,0.9996142,Good,Acceptable,0
10064,Oxley,10061,Northern Tablelands,0.0004817,Good,Acceptable,1
10064,Oxley,10064,Oxley,0.9991784,Good,Acceptable,0
10064,Oxley,10068,Port Macquarie,0.0003399,Good,Acceptable,1
10065,Parramatta,10065,Parramatta,0.9981568,Good,Acceptable,0
10065,Parramatta,10028,Epping,0.0018432,Good,Acceptable,1
10066,Penrith,10066,Penrith,0.995972,Good,Acceptable,0
10066,Penrith,10047,Londonderry,0.004028,Good,Acceptable,1
10067,Pittwater,10067,Pittwater,1,Good,Acceptable,0
10068,Port Macquarie,10068,Port Macquarie,0.9999999,Good,Acceptable,0
10068,Port Macquarie,10064,Oxley,1.00E-07,Good,Acceptable,1
10069,Port Stephens,10069,Port Stephens,1,Good,Acceptable,0
10070,Prospect,10054,Mount Druitt,9.86E-05,Good,Acceptable,1
10070,Prospect,10070,Prospect,0.9982657,Good,Acceptable,0
10070,Prospect,10029,Fairfield,0.0016357,Good,Acceptable,1
10071,Riverstone,10071,Riverstone,1,Good,Acceptable,0
10072,Rockdale,10040,Kogarah,0.0017352,Good,Acceptable,1
10072,Rockdale,10072,Rockdale,0.9982648,Good,Acceptable,0
10073,Ryde,10044,Lane Cove,0.0021988,Good,Acceptable,1
10073,Ryde,10073,Ryde,0.9978012,Good,Acceptable,0
10074,Seven Hills,10074,Seven Hills,1,Good,Acceptable,0
10075,Shellharbour,10039,Kiama,0.0023747,Good,Acceptable,1
10075,Shellharbour,10075,Shellharbour,0.9976253,Good,Acceptable,0
10076,South Coast,10009,Bega,0.0054347,Good,Acceptable,1
10076,South Coast,10076,South Coast,0.9941123,Good,Acceptable,0
10076,South Coast,10039,Kiama,0.000453,Good,Acceptable,1
10077,Strathfield,10025,Drummoyne,0.0005856,Good,Acceptable,1
10077,Strathfield,10077,Strathfield,0.998406,Good,Acceptable,0
10077,Strathfield,10078,Summer Hill,0.0010084,Good,Acceptable,1
10078,Summer Hill,10077,Strathfield,0.0077884,Good,Acceptable,1
10078,Summer Hill,10078,Summer Hill,0.9922116,Good,Acceptable,0
10079,Swansea,10018,Charlestown,0.0007371,Good,Acceptable,1
10079,Swansea,10079,Swansea,0.9992629,Good,Acceptable,0
10080,Sydney,10080,Sydney,0.9954935,Good,Acceptable,0
10080,Sydney,10004,Balmain,0.0039327,Good,Acceptable,1
10080,Sydney,10086,Vaucluse,0.0005738,Good,Acceptable,1
10081,Tamworth,10081,Tamworth,0.9976104,Good,Acceptable,0
10081,Tamworth,10085,Upper Hunter,0.0023896,Good,Acceptable,1
10082,Terrigal,10082,Terrigal,1,Good,Acceptable,0
10083,The Entrance,10093,Wyong,0.0009846,Good,Acceptable,1
10083,The Entrance,10083,The Entrance,0.9988655,Good,Acceptable,0
10083,The Entrance,10082,Terrigal,0.0001498,Good,Acceptable,1
10084,Tweed,10084,Tweed,0.998306,Good,Acceptable,0
10084,Tweed,10045,Lismore,0.001694,Good,Acceptable,1
10085,Upper Hunter,10017,Cessnock,0.0036157,Good,Acceptable,1
10085,Upper Hunter,10057,Myall Lakes,0.0015847,Good,Acceptable,1
10085,Upper Hunter,10085,Upper Hunter,0.9947996,Good,Acceptable,0
10086,Vaucluse,10086,Vaucluse,1,Good,Acceptable,0
10087,Wagga Wagga,10087,Wagga Wagga,0.9992948,Good,Acceptable,0
10087,Wagga Wagga,10022,Cootamundra,0.0007052,Good,Acceptable,1
10088,Wakehurst,10088,Wakehurst,1,Good,Acceptable,0
10089,Wallsend,10018,Charlestown,0.0026548,Good,Acceptable,1
10089,Wallsend,10058,Newcastle,0.0066437,Good,Acceptable,1
10089,Wallsend,10089,Wallsend,0.9907015,Good,Acceptable,0
10090,Willoughby,10090,Willoughby,1,Good,Acceptable,0
10091,Wollondilly,10091,Wollondilly,1,Good,Acceptable,0
10092,Wollongong,10092,Wollongong,1,Good,Acceptable,0
10093,Wyong,10083,The Entrance,0.006118,Good,Acceptable,1
10093,Wyong,10093,Wyong,0.993882,Good,Acceptable,0
19494,No usual address (NSW),19494,No usual address (NSW),1,Good,Acceptable,0
19797,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),1,Good,Acceptable,0
20106,Albert Park (Southern Metropolitan),20106,Albert Park (Southern Metropolitan),1,Good,Acceptable,0
20207,Altona (Western Metropolitan),20207,Altona (Western Metropolitan),1,Good,Acceptable,0
20302,Bass (Eastern Victoria),20302,Bass (Eastern Victoria),0.9987733,Good,Acceptable,0
20302,Bass (Eastern Victoria),22105,Cranbourne (South-Eastern Metropolitan),0.0007755,Good,Acceptable,1
20302,Bass (Eastern Victoria),23602,Gippsland South (Eastern Victoria),0.0004512,Good,Acceptable,1
20401,Bayswater (Eastern Metropolitan),20401,Bayswater (Eastern Metropolitan),1,Good,Acceptable,0
20508,Bellarine (Western Victoria),20508,Bellarine (Western Victoria),0.9961937,Good,Acceptable,0
20508,Bellarine (Western Victoria),23308,Geelong (Western Victoria),0.000661,Good,Acceptable,1
20508,Bellarine (Western Victoria),27608,South Barwon (Western Victoria),0.0031452,Good,Acceptable,1
20604,Benambra (Northern Victoria),20604,Benambra (Northern Victoria),1,Good,Acceptable,0
20704,Bendigo East (Northern Victoria),20704,Bendigo East (Northern Victoria),0.9957956,Good,Acceptable,0
20704,Bendigo East (Northern Victoria),20804,Bendigo West (Northern Victoria),0.001522,Good,Acceptable,1
20704,Bendigo East (Northern Victoria),22704,Euroa (Northern Victoria),0.0017627,Good,Acceptable,1
20704,Bendigo East (Northern Victoria),24504,Macedon (Northern Victoria),0.0002062,Good,Acceptable,1
20704,Bendigo East (Northern Victoria),27208,Ripon (Western Victoria),0.0007134,Good,Acceptable,1
20804,Bendigo West (Northern Victoria),20704,Bendigo East (Northern Victoria),0.0108839,Good,Acceptable,0
20804,Bendigo West (Northern Victoria),20804,Bendigo West (Northern Victoria),0.9884921,Good,Acceptable,0
20804,Bendigo West (Northern Victoria),27208,Ripon (Western Victoria),0.000624,Good,Acceptable,1
20906,Bentleigh (Southern Metropolitan),20906,Bentleigh (Southern Metropolitan),1,Good,Acceptable,0
21001,Box Hill (Eastern Metropolitan),21001,Box Hill (Eastern Metropolitan),0.9924803,Good,Acceptable,0
21001,Box Hill (Eastern Metropolitan),21706,Burwood (Southern Metropolitan),0.003034,Good,Acceptable,1
21001,Box Hill (Eastern Metropolitan),23101,Forest Hill (Eastern Metropolitan),0.0028163,Good,Acceptable,1
21001,Box Hill (Eastern Metropolitan),24006,Kew (Southern Metropolitan),0.0016694,Good,Acceptable,1
21106,Brighton (Southern Metropolitan),20906,Bentleigh (Southern Metropolitan),0.003923,Good,Acceptable,1
21106,Brighton (Southern Metropolitan),21106,Brighton (Southern Metropolitan),0.9871861,Good,Acceptable,0
21106,Brighton (Southern Metropolitan),27406,Sandringham (Southern Metropolitan),0.0088909,Good,Acceptable,1
21203,Broadmeadows (Northern Metropolitan),21203,Broadmeadows (Northern Metropolitan),1,Good,Acceptable,0
21303,Brunswick (Northern Metropolitan),26603,Pascoe Vale (Northern Metropolitan),0.0038445,Good,Acceptable,1
21303,Brunswick (Northern Metropolitan),21303,Brunswick (Northern Metropolitan),0.9961555,Good,Acceptable,0
21401,Bulleen (Eastern Metropolitan),21401,Bulleen (Eastern Metropolitan),1,Good,Acceptable,0
21503,Bundoora (Northern Metropolitan),21503,Bundoora (Northern Metropolitan),1,Good,Acceptable,0
21608,Buninyong (Western Victoria),21608,Buninyong (Western Victoria),0.9802411,Good,Acceptable,0
21608,Buninyong (Western Victoria),24504,Macedon (Northern Victoria),0.0125924,Good,Acceptable,0
21608,Buninyong (Western Victoria),24808,Melton (Western Victoria),0.0025494,Good,Acceptable,1
21608,Buninyong (Western Victoria),26708,Polwarth (Western Victoria),0.0018602,Good,Acceptable,1
21608,Buninyong (Western Victoria),27208,Ripon (Western Victoria),0.0009819,Good,Acceptable,1
21608,Buninyong (Western Victoria),28408,Wendouree (Western Victoria),0.0017751,Good,Acceptable,1
21706,Burwood (Southern Metropolitan),21706,Burwood (Southern Metropolitan),0.9999387,Good,Acceptable,0
21706,Burwood (Southern Metropolitan),21001,Box Hill (Eastern Metropolitan),6.13E-05,Good,Acceptable,1
21805,Carrum (South-Eastern Metropolitan),21805,Carrum (South-Eastern Metropolitan),1,Good,Acceptable,0
21906,Caulfield (Southern Metropolitan),21906,Caulfield (Southern Metropolitan),1,Good,Acceptable,0
22005,Clarinda (South-Eastern Metropolitan),22005,Clarinda (South-Eastern Metropolitan),0.9987264,Good,Acceptable,0
22005,Clarinda (South-Eastern Metropolitan),27406,Sandringham (Southern Metropolitan),0.0012736,Good,Acceptable,1
22105,Cranbourne (South-Eastern Metropolitan),22105,Cranbourne (South-Eastern Metropolitan),1,Good,Acceptable,0
