SED_CODE_2021,SED_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10001,Albury,11,Inner Regional Australia,0.915535,Acceptable,Good,0
10001,Albury,12,Outer Regional Australia,0.084465,Poor,Good,0
10002,Auburn,10,Major Cities of Australia,1,Good,Good,0
10003,Ballina,11,Inner Regional Australia,1,Acceptable,Good,0
10004,Balmain,10,Major Cities of Australia,1,Good,Good,0
10005,Bankstown,10,Major Cities of Australia,1,Good,Good,0
10006,Barwon,12,Outer Regional Australia,0.6390936,Poor,Good,0
10006,Barwon,13,Remote Australia,0.2763762,Poor,Good,0
10006,Barwon,14,Very Remote Australia,0.0845302,Poor,Good,0
10007,Bathurst,11,Inner Regional Australia,0.9450435,Acceptable,Good,0
10007,Bathurst,12,Outer Regional Australia,0.0549565,Poor,Good,0
10008,Baulkham Hills,10,Major Cities of Australia,1,Good,Good,0
10009,Bega,11,Inner Regional Australia,0.3742153,Acceptable,Good,0
10009,Bega,12,Outer Regional Australia,0.6257847,Poor,Good,0
10010,Blacktown,10,Major Cities of Australia,1,Good,Good,0
10011,Blue Mountains,10,Major Cities of Australia,0.9093942,Good,Good,0
10011,Blue Mountains,11,Inner Regional Australia,0.0906056,Acceptable,Good,0
10011,Blue Mountains,12,Outer Regional Australia,1.00E-07,Poor,Good,1
10012,Cabramatta,10,Major Cities of Australia,1,Good,Good,0
10013,Camden,10,Major Cities of Australia,0.9800036,Good,Good,0
10013,Camden,11,Inner Regional Australia,0.0199964,Acceptable,Good,0
10014,Campbelltown,10,Major Cities of Australia,0.9999397,Good,Good,0
10014,Campbelltown,11,Inner Regional Australia,6.03E-05,Acceptable,Good,1
10015,Canterbury,10,Major Cities of Australia,1,Good,Good,0
10016,Castle Hill,10,Major Cities of Australia,1,Good,Good,0
10017,Cessnock,10,Major Cities of Australia,0.76333,Good,Good,0
10017,Cessnock,11,Inner Regional Australia,0.2323374,Acceptable,Good,0
10017,Cessnock,12,Outer Regional Australia,0.0043326,Poor,Good,1
10018,Charlestown,10,Major Cities of Australia,1,Good,Good,0
10019,Clarence,11,Inner Regional Australia,0.9611656,Acceptable,Good,0
10019,Clarence,12,Outer Regional Australia,0.0388344,Poor,Good,0
10020,Coffs Harbour,11,Inner Regional Australia,1,Acceptable,Good,0
10021,Coogee,10,Major Cities of Australia,1,Good,Good,0
10022,Cootamundra,11,Inner Regional Australia,0.5841115,Acceptable,Good,0
10022,Cootamundra,12,Outer Regional Australia,0.4141476,Poor,Good,0
10022,Cootamundra,13,Remote Australia,0.0017409,Poor,Good,1
10023,Cronulla,10,Major Cities of Australia,0.9999999,Good,Good,0
