SED_CODE_2022,SED_NAME_2022,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10001,Albury,11,Inner Regional Australia,0.9302251,Acceptable,Good,0
10001,Albury,12,Outer Regional Australia,0.0697749,Poor,Good,0
10002,Auburn,10,Major Cities of Australia,1,Good,Good,0
10003,Badgerys Creek,10,Major Cities of Australia,0.9358314,Good,Good,0
10003,Badgerys Creek,11,Inner Regional Australia,0.0641686,Acceptable,Good,0
10004,Ballina,11,Inner Regional Australia,1,Acceptable,Good,0
10005,Balmain,10,Major Cities of Australia,1,Good,Good,0
10006,Bankstown,10,Major Cities of Australia,1,Good,Good,0
10007,Barwon,12,Outer Regional Australia,0.6390936,Poor,Good,0
10007,Barwon,13,Remote Australia,0.2763762,Poor,Good,0
10007,Barwon,14,Very Remote Australia,0.0845302,Poor,Good,0
10008,Bathurst,11,Inner Regional Australia,0.9404234,Acceptable,Good,0
10008,Bathurst,12,Outer Regional Australia,0.0595766,Poor,Good,0
10009,Bega,11,Inner Regional Australia,0.3742153,Acceptable,Good,0
10009,Bega,12,Outer Regional Australia,0.6257847,Poor,Good,0
10010,Blacktown,10,Major Cities of Australia,1,Good,Good,0
10011,Blue Mountains,10,Major Cities of Australia,0.9161699,Good,Good,0
10011,Blue Mountains,11,Inner Regional Australia,0.0838299,Acceptable,Good,0
10011,Blue Mountains,12,Outer Regional Australia,1.00E-07,Poor,Good,1
10012,Cabramatta,10,Major Cities of Australia,1,Good,Good,0
10013,Camden,10,Major Cities of Australia,1,Good,Good,0
10014,Campbelltown,10,Major Cities of Australia,0.9623988,Good,Good,0
10014,Campbelltown,11,Inner Regional Australia,0.0376012,Acceptable,Good,0
10015,Canterbury,10,Major Cities of Australia,1,Good,Good,0
10016,Castle Hill,10,Major Cities of Australia,0.9866979,Good,Good,0
10016,Castle Hill,11,Inner Regional Australia,0.0133021,Acceptable,Good,0
10017,Cessnock,10,Major Cities of Australia,0.8009633,Good,Good,0
10017,Cessnock,11,Inner Regional Australia,0.1990367,Acceptable,Good,0
10018,Charlestown,10,Major Cities of Australia,1,Good,Good,0
10019,Clarence,11,Inner Regional Australia,0.9612269,Acceptable,Good,0
10019,Clarence,12,Outer Regional Australia,0.0387731,Poor,Good,0
10020,Coffs Harbour,11,Inner Regional Australia,1,Acceptable,Good,0
10021,Coogee,10,Major Cities of Australia,1,Good,Good,0
10022,Cootamundra,11,Inner Regional Australia,0.591678,Acceptable,Good,0
10022,Cootamundra,12,Outer Regional Australia,0.4066427,Poor,Good,0
10022,Cootamundra,13,Remote Australia,0.0016794,Poor,Good,1
10023,Cronulla,10,Major Cities of Australia,0.9999999,Good,Good,0
10023,Cronulla,11,Inner Regional Australia,1.00E-07,Acceptable,Good,1
10024,Davidson,10,Major Cities of Australia,1,Good,Good,0
10025,Drummoyne,10,Major Cities of Australia,1,Good,Good,0
10026,Dubbo,11,Inner Regional Australia,0.641464,Acceptable,Good,0
10026,Dubbo,12,Outer Regional Australia,0.358536,Poor,Good,0
10027,East Hills,10,Major Cities of Australia,1,Good,Good,0
10028,Epping,10,Major Cities of Australia,1,Good,Good,0
10029,Fairfield,10,Major Cities of Australia,1,Good,Good,0
10030,Gosford,10,Major Cities of Australia,0.9465305,Good,Good,0
10030,Gosford,11,Inner Regional Australia,0.0534695,Acceptable,Good,0
10031,Goulburn,10,Major Cities of Australia,0.0067863,Good,Good,1
10031,Goulburn,11,Inner Regional Australia,0.9696433,Acceptable,Good,0
10031,Goulburn,12,Outer Regional Australia,0.0235704,Poor,Good,0
10032,Granville,10,Major Cities of Australia,1,Good,Good,0
10033,Hawkesbury,10,Major Cities of Australia,0.6677151,Good,Good,0
10033,Hawkesbury,11,Inner Regional Australia,0.3281957,Acceptable,Good,0
