SOSR_CODE_2016,SOSR_NAME_2016,SOSR_CODE_2021,SOSR_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,1 million or more,131,Remainder of State/Territory,0.0007591,Good,Good,1
101,1 million or more,101,1 million or more,0.9992409,Good,Good,0
102,"250,000 to 999,999",131,Remainder of State/Territory,0.0004369,Good,Good,1
102,"250,000 to 999,999",102,"250,000 to 999,999",0.9995631,Good,Good,0
111,"50,000 to 99,999",131,Remainder of State/Territory,0.0033699,Good,Good,1
111,"50,000 to 99,999",111,"50,000 to 99,999",0.9966301,Poor,Good,0
112,"20,000 to 49,999",131,Remainder of State/Territory,0.0009164,Good,Good,1
112,"20,000 to 49,999",111,"50,000 to 99,999",0.1055496,Poor,Good,0
112,"20,000 to 49,999",112,"20,000 to 49,999",0.893534,Acceptable,Good,0
113,"10,000 to 19,999",131,Remainder of State/Territory,0.0036845,Good,Good,1
113,"10,000 to 19,999",112,"20,000 to 49,999",0.2843523,Acceptable,Good,0
113,"10,000 to 19,999",113,"10,000 to 19,999",0.7119633,Poor,Good,0
114,"5,000 to 9,999",131,Remainder of State/Territory,0.003942,Good,Good,1
114,"5,000 to 9,999",115,"4,999 or less",0.0177385,Acceptable,Good,0
114,"5,000 to 9,999",113,"10,000 to 19,999",0.0850164,Poor,Good,0
114,"5,000 to 9,999",114,"5,000 to 9,999",0.8933031,Acceptable,Good,0
115,"1,000 to 4,999",131,Remainder of State/Territory,0.0023191,Good,Good,1
115,"1,000 to 4,999",114,"5,000 to 9,999",0.0781488,Acceptable,Good,0
115,"1,000 to 4,999",115,"4,999 or less",0.9195322,Acceptable,Good,0
121,500 or more,131,Remainder of State/Territory,0.0051425,Good,Good,1
121,500 or more,122,499 or less,0.0215513,Acceptable,Good,0
121,500 or more,115,"4,999 or less",0.0819461,Acceptable,Good,0
121,500 or more,121,500 or more,0.8913601,Acceptable,Good,0
122,200 to 499,112,"20,000 to 49,999",0.0060208,Acceptable,Good,1
122,200 to 499,131,Remainder of State/Territory,0.0220643,Good,Good,0
122,200 to 499,121,500 or more,0.1147367,Acceptable,Good,0
122,200 to 499,122,499 or less,0.8571782,Acceptable,Good,0
131,Remainder of State/Territory,121,500 or more,0.0001967,Acceptable,Good,1
131,Remainder of State/Territory,102,"250,000 to 999,999",0.000663,Good,Good,1
131,Remainder of State/Territory,113,"10,000 to 19,999",0.0022413,Poor,Good,1
