SSC_CODE_2016,SSC_NAME_2016,SAL_CODE_2021,SAL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10001,Aarons Pass,10001,Aarons Pass,1,Good,Good,0
10002,Abbotsbury,10002,Abbotsbury,1,Good,Good,0
10003,Abbotsford (NSW),10003,Abbotsford (NSW),1,Good,Good,0
10004,Abercrombie,10004,Abercrombie,1,Good,Good,0
10005,Abercrombie River,10005,Abercrombie River,1,Good,Good,0
10006,Aberdare,10006,Aberdare,1,Good,Good,0
10007,Aberdeen (NSW),10007,Aberdeen (NSW),1,Good,Good,0
10008,Aberfoyle,10008,Aberfoyle,1,Good,Good,0
10009,Aberglasslyn,10009,Aberglasslyn,1,Good,Good,0
10010,Abermain,10010,Abermain,1,Good,Good,0
10011,Abernethy,10011,Abernethy,1,Good,Good,0
10012,Abington (NSW),10012,Abington (NSW),1,Good,Good,0
10013,Acacia Creek,10013,Acacia Creek,1,Good,Good,0
10014,Acacia Gardens,10014,Acacia Gardens,1,Good,Good,0
10015,Adaminaby,10015,Adaminaby,1,Good,Good,0
10016,Adamstown,10016,Adamstown,0.9902443,Good,Good,0
10016,Adamstown,12584,Merewether,0.0097557,Good,Good,1
10017,Adamstown Heights,10017,Adamstown Heights,1,Good,Good,0
10018,Adelong,10018,Adelong,1,Good,Good,0
10019,Adjungbilly,10019,Adjungbilly,1,Good,Good,0
10020,Afterlee,10020,Afterlee,1,Good,Good,0
10021,Agnes Banks,10021,Agnes Banks,1,Good,Good,0
10022,Airds,10022,Airds,1,Good,Good,0
10023,Akolele,10023,Akolele,1,Good,Good,0
10024,Albert,10024,Albert,1,Good,Good,0
10025,Albion Park,10025,Albion Park,1,Good,Good,0
10026,Albion Park Rail,10026,Albion Park Rail,1,Good,Good,0
10027,Albury,10027,Albury,1,Good,Good,0
10028,Aldavilla,10028,Aldavilla,1,Good,Good,0
10029,Alectown,10029,Alectown,1,Good,Good,0
10030,Alexandria,10030,Alexandria,1,Good,Good,0
10031,Alfords Point,10031,Alfords Point,1,Good,Good,0
10032,Alfredtown,10032,Alfredtown,1,Good,Good,0
10033,Alice,10033,Alice,1,Good,Good,0
10034,Alison (Central Coast - NSW),10034,Alison (Central Coast - NSW),1,Good,Good,0
10035,Alison (Dungog - NSW),10035,Alison (Dungog - NSW),1,Good,Good,0
10036,Allambie Heights,10036,Allambie Heights,1,Good,Good,0
10037,Allandale (NSW),10037,Allandale (NSW),1,Good,Good,0
10038,Allawah,10038,Allawah,1,Good,Good,0
10039,Alleena,10039,Alleena,1,Good,Good,0
10040,Allgomera,10040,Allgomera,1,Good,Good,0
10041,Allworth,10041,Allworth,1,Good,Good,0
10042,Allynbrook,10042,Allynbrook,1,Good,Good,0
10043,Alma Park,10043,Alma Park,1,Good,Good,0
10044,Alpine,10044,Alpine,1,Good,Good,0
10045,Alstonvale,10045,Alstonvale,1,Good,Good,0
10046,Alstonville,10046,Alstonville,1,Good,Good,0
10047,Alumy Creek,10047,Alumy Creek,1,Good,Good,0
10048,Amaroo (NSW),10048,Amaroo (NSW),1,Good,Good,0
10049,Ambarvale,10049,Ambarvale,1,Good,Good,0
10050,Amosfield,10050,Amosfield,1,Good,Good,0
10051,Anabranch North,10051,Anabranch North,1,Good,Good,0
10052,Anabranch South,10052,Anabranch South,1,Good,Good,0
10053,Anambah,10053,Anambah,1,Good,Good,0
10054,Ando,10054,Ando,1,Good,Good,0
10055,Anembo,10055,Anembo,1,Good,Good,0
10056,Angledale,10056,Angledale,1,Good,Good,0
10057,Angledool,10057,Angledool,1,Good,Good,0
10058,Anglers Reach,10058,Anglers Reach,1,Good,Good,0
10059,Angourie,10059,Angourie,1,Good,Good,0
