TR_CODE_2016,TR_NAME_2016,TR_CODE_2021,TR_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1R010,South Coast,1R010,South Coast,1,Good,Good,0
1R040,Sydney,,,1.10E-06,Good,Good,4
1R040,Sydney,1R040,Sydney,0.9999989,Good,Good,0
1R050,Snowy Mountains,1R050,Snowy Mountains,1,Good,Good,0
1R060,Capital Country,1R060,Capital Country,1,Good,Good,0
1R070,The Murray,1R070,The Murray,1,Good,Good,0
1R080,Riverina,1R080,Riverina,1,Good,Good,0
1R090,Central NSW,1R090,Central NSW,1,Good,Good,0
1R100,Hunter,1R100,Hunter,1,Good,Good,0
1R140,New England North West,1R140,New England North West,1,Good,Good,0
1R150,Outback NSW,1R150,Outback NSW,1,Good,Good,0
1R180,Central Coast,1R180,Central Coast,1,Good,Good,0
1R190,Blue Mountains,1R190,Blue Mountains,1,Good,Good,0
1R200,North Coast,1R200,North Coast NSW,1,Good,Good,0
2R010,Melbourne,2R010,Melbourne,1,Good,Good,0
2R020,Wimmera,2R020,Wimmera,1,Good,Good,0
2R030,Mallee,2R030,Mallee,1,Good,Good,0
2R040,Great Ocean Road,2R040,Great Ocean Road,1,Good,Good,0
2R050,Western Grampians,2R050,Western Grampians,1,Good,Good,0
2R060,Bendigo Loddon,2R060,Bendigo Loddon,1,Good,Good,0
2R070,Peninsula,2R070,Peninsula,1,Good,Good,0
2R080,Central Murray,2R080,Central Murray,1,Good,Good,0
2R090,Goulburn,2R090,Goulburn,1,Good,Good,0
2R100,High Country,2R100,High Country,1,Good,Good,0
2R110,Lakes,2R110,Lakes,1,Good,Good,0
2R120,Gippsland,2R120,Gippsland,1,Good,Good,0
2R130,Melbourne East,2R220,Yarra Valley and the Dandenong Ranges,1,Good,Good,0
2R140,Geelong and the Bellarine,2R140,Geelong and the Bellarine,1,Good,Good,0
2R150,Macedon,2R150,Macedon,1,Good,Good,0
2R160,Spa Country,2R160,Spa Country,1,Good,Good,0
2R170,Ballarat,2R170,Ballarat,1,Good,Good,0
