UCL_CODE_2016,UCL_NAME_2016,UCL_CODE_2021,UCL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101001,Sydney,131001,Remainder of State/Territory (NSW),0.0007591,Good,Good,1
101001,Sydney,101001,Sydney,0.9992409,Good,Good,0
102001,Canberra - Queanbeyan (Queanbeyan Part),102001,Canberra - Queanbeyan (Queanbeyan Part),1,Good,Good,0
102002,Central Coast,131001,Remainder of State/Territory (NSW),0.0011827,Good,Good,1
102002,Central Coast,102002,Central Coast,0.9988173,Good,Good,0
102003,Gold Coast - Tweed Heads (Tweed Heads Part),131001,Remainder of State/Territory (NSW),3.00E-07,Good,Good,1
102003,Gold Coast - Tweed Heads (Tweed Heads Part),102003,Gold Coast - Tweed Heads (Tweed Heads Part),0.9999997,Good,Good,0
102004,Newcastle,131001,Remainder of State/Territory (NSW),1.00E-07,Good,Good,1
102004,Newcastle,102004,Newcastle,0.9999999,Good,Good,0
102005,Wollongong,131001,Remainder of State/Territory (NSW),0.0002581,Good,Good,1
102005,Wollongong,102005,Wollongong,0.9997419,Good,Good,0
111001,Albury - Wodonga (Albury Part),131001,Remainder of State/Territory (NSW),0.0034583,Good,Good,1
111001,Albury - Wodonga (Albury Part),111001,Albury - Wodonga (Albury Part),0.9965417,Good,Good,0
111002,Maitland (NSW),131001,Remainder of State/Territory (NSW),0.0033156,Good,Good,1
111002,Maitland (NSW),111003,Maitland (NSW),0.9966844,Good,Good,0
112001,Armidale,131001,Remainder of State/Territory (NSW),0.0037856,Good,Good,1
112001,Armidale,112001,Armidale,0.9962144,Good,Good,0
112002,Bathurst,112002,Bathurst,1,Good,Good,0
112003,Blue Mountains,112003,Blue Mountains,1,Good,Good,0
112004,Bowral - Mittagong,131001,Remainder of State/Territory (NSW),0.0056886,Good,Good,1
112004,Bowral - Mittagong,112004,Bowral - Mittagong,0.9943114,Good,Good,0
112005,Cessnock,131001,Remainder of State/Territory (NSW),0.0013894,Good,Good,1
112005,Cessnock,112005,Cessnock,0.9986106,Good,Good,0
112006,Coffs Harbour,111002,Coffs Harbour,1,Good,Good,0
112007,Dubbo,112006,Dubbo,1,Good,Good,0
112008,Goulburn,112009,Goulburn,1,Good,Good,0
112009,Lismore,112012,Lismore (NSW),1,Good,Good,0
112010,Mildura - Buronga (Buronga Part),112013,Mildura - Buronga (Buronga Part),1,Good,Good,0
112011,Nowra - Bomaderry,112015,Nowra - Bomaderry,1,Good,Good,0
112012,Orange,131001,Remainder of State/Territory (NSW),0.005073,Good,Good,1
112012,Orange,112016,Orange,0.994927,Good,Good,0
112013,Port Macquarie,131001,Remainder of State/Territory (NSW),2.00E-07,Good,Good,1
112013,Port Macquarie,112017,Port Macquarie,0.9999998,Good,Good,0
112014,Tamworth,112018,Tamworth,1,Good,Good,0
112015,Wagga Wagga,112019,Wagga Wagga,1,Good,Good,0
113001,Ballina,113001,Ballina,1,Good,Good,0
113002,Batemans Bay,113002,Batemans Bay,1,Good,Good,0
113003,Broken Hill,113003,Broken Hill,1,Good,Good,0
113004,Echuca - Moama (Moama Part),112007,Echuca - Moama (Moama Part),1,Good,Good,0
113005,Forster - Tuncurry,112008,Forster - Tuncurry,1,Good,Good,0
113006,Grafton,113005,Grafton,1,Good,Good,0
113007,Griffith,112010,Griffith,1,Good,Good,0
113008,Kempsey,131001,Remainder of State/Territory (NSW),0.0078073,Good,Good,1
113008,Kempsey,113006,Kempsey,0.9921927,Good,Good,0
113009,Kiama,113007,Kiama,1,Good,Good,0
113010,Kurri Kurri,131001,Remainder of State/Territory (NSW),0.0001314,Good,Good,1
113010,Kurri Kurri,112011,Kurri Kurri,0.9998686,Good,Good,0
113011,Lithgow,113008,Lithgow,1,Good,Good,0
113012,Morisset - Cooranbong,131001,Remainder of State/Territory (NSW),0.0041463,Good,Good,1
113012,Morisset - Cooranbong,112014,Morisset - Cooranbong,0.9958537,Good,Good,0
113013,Mudgee,131001,Remainder of State/Territory (NSW),0.0097383,Good,Good,1
113013,Mudgee,113010,Mudgee,0.9902617,Good,Good,0
113014,Muswellbrook,113011,Muswellbrook,1,Good,Good,0
113015,Nelson Bay,113012,Nelson Bay,1,Good,Good,0
113016,Raymond Terrace,113013,Raymond Terrace,1,Good,Good,0
113017,Singleton,113014,Singleton,1,Good,Good,0
113018,St Georges Basin - Sanctuary Point,131001,Remainder of State/Territory (NSW),0.0056204,Good,Good,1
113018,St Georges Basin - Sanctuary Point,113015,St Georges Basin - Sanctuary Point,0.9943796,Good,Good,0
113019,Taree,131001,Remainder of State/Territory (NSW),0.0282911,Good,Good,0
113019,Taree,113016,Taree,0.9717089,Good,Good,0
113020,Ulladulla,131001,Remainder of State/Territory (NSW),0.0149263,Good,Good,0
113020,Ulladulla,113017,Ulladulla,0.9850737,Good,Good,0
114001,Alstonville,114001,Alstonville,1,Good,Good,0
114002,Anna Bay - Boat Harbour,131001,Remainder of State/Territory (NSW),0.1715319,Good,Good,0
114002,Anna Bay - Boat Harbour,115002,Anna Bay - Boat Harbour,0.8284681,Acceptable,Good,0
114003,Byron Bay,113004,Byron Bay,1,Good,Good,0
114004,Camden Haven,114002,Camden Haven,1,Good,Good,0
114005,Casino,114003,Casino,1,Good,Good,0
114006,Cooma,114004,Cooma,1,Good,Good,0
114007,Cootamundra,114005,Cootamundra,1,Good,Good,0
114008,Corowa - Wahgunyah (Corowa Part),114006,Corowa - Wahgunyah (Corowa Part),1,Good,Good,0
114009,Cowra,114007,Cowra,1,Good,Good,0
114010,Deniliquin,114008,Deniliquin,1,Good,Good,0
114011,Forbes,114010,Forbes,1,Good,Good,0
114012,Glen Innes,114011,Glen Innes,1,Good,Good,0
114013,Gunnedah,114013,Gunnedah,1,Good,Good,0
114014,Helensburgh,114014,Helensburgh,1,Good,Good,0
114015,Inverell,114015,Inverell,1,Good,Good,0
114016,Leeton,114016,Leeton,1,Good,Good,0
114017,Lennox Head,114017,Lennox Head,1,Good,Good,0
114018,Medowie,113009,Medowie,1,Good,Good,0
114019,Merimbula,114018,Merimbula,1,Good,Good,0
114020,Moree,114019,Moree,1,Good,Good,0
114021,Moss Vale,114020,Moss Vale,1,Good,Good,0
114022,Murwillumbah,114021,Murwillumbah,1,Good,Good,0
114023,Nambucca Heads,114022,Nambucca Heads,1,Good,Good,0
114024,Narrabri,131001,Remainder of State/Territory (NSW),0.0108344,Good,Good,0
114024,Narrabri,114023,Narrabri,0.9891656,Good,Good,0
114025,Parkes,114024,Parkes,1,Good,Good,0
114026,Pottsville,114025,Pottsville,1,Good,Good,0
114027,Salamander Bay - Soldiers Point,114027,Salamander Bay - Soldiers Point,1,Good,Good,0
114028,South West Rocks,114030,South West Rocks,1,Good,Good,0
114029,Summerland Point - Gwandalan,114031,Summerland Point - Gwandalan,1,Good,Good,0
114030,Tumut,114033,Tumut,1,Good,Good,0
114031,Wauchope,114034,Wauchope,1,Good,Good,0
114032,Yamba,114036,Yamba,1,Good,Good,0
114033,Yarrawonga - Mulwala (Mulwala Part),131001,Remainder of State/Territory (NSW),5.10E-06,Good,Good,1
114033,Yarrawonga - Mulwala (Mulwala Part),113018,Yarrawonga - Mulwala (Mulwala Part),0.9999949,Good,Good,0
114034,Yass,114037,Yass,1,Good,Good,0
114035,Young,114038,Young,1,Good,Good,0
115001,Aberdeen,115001,Aberdeen,1,Good,Good,0
115002,Appin,115003,Appin,1,Poor,Good,0
115003,Arrawarra,115004,Arrawarra,1,Good,Good,0
115004,Balranald,115005,Balranald,1,Good,Good,0
115005,Bangalow,115006,Bangalow,1,Good,Good,0
115006,Bargo,115007,Bargo,1,Good,Good,0
115007,Barham - Koondrook (Barham Part),131001,Remainder of State/Territory (NSW),8.80E-06,Good,Good,1
115007,Barham - Koondrook (Barham Part),115008,Barham - Koondrook (Barham Part),0.9999912,Good,Good,0
115008,Barooga,115009,Barooga,1,Good,Good,0
115009,Barraba,115010,Barraba,1,Good,Good,0
115010,Basin View,115011,Basin View,1,Good,Good,0
115011,Batlow,115012,Batlow,1,Good,Good,0
115012,Bega,131001,Remainder of State/Territory (NSW),0.0142266,Good,Good,0
115012,Bega,115013,Bega,0.9857734,Good,Good,0
115013,Bellingen,115014,Bellingen,1,Good,Good,0
115014,Bermagui,115015,Bermagui,1,Good,Good,0
115015,Berry,115017,Berry,1,Good,Good,0
115016,Bingara,115018,Bingara,1,Good,Good,0
115017,Blackheath,115019,Blackheath,1,Good,Good,0
115018,Blayney,115020,Blayney,1,Good,Good,0
115019,Bombala,115021,Bombala,1,Good,Good,0
115020,Bonny Hills,115022,Bonny Hills,1,Good,Good,0
115021,Boorowa,115023,Boorowa,1,Good,Good,0
115022,Bourke,115024,Bourke,1,Good,Good,0
115023,Bowen Mountain,115025,Bowen Mountain,1,Good,Good,0
115024,Braidwood,115026,Braidwood,1,Good,Good,0
115025,Branxton,115027,Branxton,1,Good,Good,0
115026,Broulee - Mossy Point,115028,Broulee - Mossy Point,1,Good,Good,0
115027,Brunswick Heads,115029,Brunswick Heads,1,Good,Good,0
115028,Bulahdelah,115030,Bulahdelah,1,Good,Good,0
115029,Bundanoon,115031,Bundanoon,1,Good,Good,0
115030,Bundeena,115032,Bundeena,1,Good,Good,0
115031,Bungendore,115033,Bungendore,1,Good,Good,0
115032,Buxton,115034,Buxton (NSW),1,Good,Good,0
115033,Calala,115035,Calala,1,Acceptable,Good,0
115034,Callala Bay,115036,Callala Bay,1,Good,Good,0
115035,Cambewarra Village,115037,Cambewarra Village,1,Good,Good,0
115036,Canowindra,115038,Canowindra,1,Good,Good,0
115037,Cobar,115039,Cobar,1,Good,Good,0
115038,Colo Vale,115040,Colo Vale,1,Good,Good,0
115039,Condobolin,131001,Remainder of State/Territory (NSW),0.0129203,Good,Good,0
115039,Condobolin,115041,Condobolin,0.9870797,Good,Good,0
115040,Coolamon,115042,Coolamon,1,Good,Good,0
115041,Coonabarabran,115043,Coonabarabran,1,Good,Good,0
115042,Coonamble,115044,Coonamble,1,Good,Good,0
115043,Corindi Beach,115046,Corindi Beach,1,Good,Good,0
115044,Crookwell,115047,Crookwell,1,Good,Good,0
115045,Culburra Beach - Orient Point,115048,Culburra Beach - Orient Point,1,Good,Good,0
115046,Culcairn,115049,Culcairn,1,Good,Good,0
115047,Dalmeny,115051,Dalmeny,1,Good,Good,0
115048,Denman,115052,Denman,1,Good,Good,0
115049,Dorrigo,115053,Dorrigo,1,Good,Good,0
115050,Douglas Park,115054,Douglas Park,1,Good,Good,0
115051,Dungog,115055,Dungog,1,Good,Good,0
115052,Eden,115056,Eden,1,Good,Good,0
115053,Estella,114009,Estella,1,Acceptable,Good,0
115054,Evans Head,115057,Evans Head,1,Good,Good,0
115055,Fingal Bay,115058,Fingal Bay,1,Good,Good,0
115056,Finley,115059,Finley,1,Good,Good,0
115057,Forest Hill,115060,Forest Hill (NSW),1,Good,Good,0
115058,Frederickton,115061,Frederickton,1,Good,Good,0
115059,Freemans Reach,115062,Freemans Reach,1,Good,Good,0
115060,Galston,115063,Galston,1,Good,Good,0
115061,Gerringong,115064,Gerringong,1,Good,Good,0
115062,Gilgandra,115065,Gilgandra,1,Good,Good,0
115063,Glossodia,115066,Glossodia,1,Good,Good,0
115064,Gloucester,115067,Gloucester,1,Good,Good,0
115065,Googong,114012,Googong,1,Good,Good,0
115066,Greenwell Point,115068,Greenwell Point,1,Good,Good,0
115067,Grenfell,115069,Grenfell,1,Good,Good,0
115068,Greta,115070,Greta,1,Good,Good,0
115069,Gulgong,115071,Gulgong,1,Good,Good,0
115070,Gulmarrad,115072,Gulmarrad,1,Good,Good,0
115071,Gundagai,115073,Gundagai,1,Good,Good,0
115072,Guyra,115074,Guyra,1,Good,Good,0
115073,Harden - Murrumburrah,131001,Remainder of State/Territory (NSW),0.0370207,Good,Good,0
115073,Harden - Murrumburrah,115076,Harden - Murrumburrah,0.9629793,Good,Good,0
115074,Harrington,115077,Harrington,1,Good,Good,0
115075,Hay,115079,Hay,1,Good,Good,0
115076,Hill Top,115080,Hill Top,1,Good,Good,0
115077,Hillston,115081,Hillston,1,Good,Good,0
115078,Holbrook,115082,Holbrook,1,Good,Good,0
115079,Howlong,115083,Howlong,1,Good,Good,0
115080,Iluka,115084,Iluka,1,Good,Good,0
115081,Jindabyne,115086,Jindabyne,1,Good,Good,0
115082,Jindera,115087,Jindera,1,Good,Good,0
115083,Junction Hill,115088,Junction Hill,1,Good,Good,0
115084,Junee,115089,Junee,1,Good,Good,0
115085,Kandos,115090,Kandos,1,Good,Good,0
115086,Karuah,115091,Karuah,1,Good,Good,0
115087,Kootingal,115092,Kootingal,1,Good,Good,0
115088,Kurrajong,115093,Kurrajong,1,Good,Good,0
115089,Kyogle,115094,Kyogle,1,Good,Good,0
115090,Lake Cargelligo,115095,Lake Cargelligo,1,Good,Good,0
115091,Lake Cathie,115096,Lake Cathie,1,Acceptable,Good,0
115092,Lemon Tree Passage,115097,Lemon Tree Passage,1,Good,Good,0
115093,Lightning Ridge,115098,Lightning Ridge,1,Good,Good,0
115094,Macksville,115099,Macksville,1,Good,Good,0
115095,Maclean,131001,Remainder of State/Territory (NSW),0.0156832,Good,Good,0
115095,Maclean,115100,Maclean,0.9843168,Good,Good,0
115096,Malua Bay,115101,Malua Bay,1,Good,Good,0
