"STE_CODE16","age_group","sex","year_range","bmi_categories","n","uncertainty"
1,"2-4","male","2017-2018","underweight",7900,2
1,"2-4","male","2017-2018","normal",102700,0
1,"2-4","male","2017-2018","overweight",23200,1
1,"2-4","male","2017-2018","obese",8100,2
1,"2-4","female","2017-2018","underweight",6700,2
1,"2-4","female","2017-2018","normal",92800,0
1,"2-4","female","2017-2018","overweight",23900,1
1,"2-4","female","2017-2018","obese",9700,2
1,"5-7","male","2017-2018","underweight",15000,1
1,"5-7","male","2017-2018","normal",82700,0
1,"5-7","male","2017-2018","overweight",28600,1
1,"5-7","male","2017-2018","obese",14100,2
1,"5-7","female","2017-2018","underweight",8000,2
1,"5-7","female","2017-2018","normal",85100,0
1,"5-7","female","2017-2018","overweight",38200,0
1,"5-7","female","2017-2018","obese",21900,1
1,"8-11","male","2017-2018","underweight",29000,1
1,"8-11","male","2017-2018","normal",127100,0
1,"8-11","male","2017-2018","overweight",51800,0
1,"8-11","male","2017-2018","obese",6000,2
1,"8-11","female","2017-2018","underweight",28100,1
1,"8-11","female","2017-2018","normal",130400,0
1,"8-11","female","2017-2018","overweight",21800,1
1,"8-11","female","2017-2018","obese",10800,1
1,"12-15","male","2017-2018","underweight",14300,2
1,"12-15","male","2017-2018","normal",146600,0
1,"12-15","male","2017-2018","overweight",24700,1
1,"12-15","male","2017-2018","obese",14600,1
1,"12-15","female","2017-2018","underweight",18800,1
1,"12-15","female","2017-2018","normal",114600,0
1,"12-15","female","2017-2018","overweight",31900,1
1,"12-15","female","2017-2018","obese",9800,1
1,"16-17","male","2017-2018","underweight",3700,2
1,"16-17","male","2017-2018","normal",47300,0
1,"16-17","male","2017-2018","overweight",11700,1
1,"16-17","male","2017-2018","obese",6500,2
1,"16-17","female","2017-2018","underweight",6000,2
1,"16-17","female","2017-2018","normal",57000,0
1,"16-17","female","2017-2018","overweight",12600,1
1,"16-17","female","2017-2018","obese",18200,1
2,"2-4","male","2017-2018","underweight",4000,2
2,"2-4","male","2017-2018","normal",81100,0
2,"2-4","male","2017-2018","overweight",27900,1
2,"2-4","male","2017-2018","obese",20500,1
2,"2-4","female","2017-2018","underweight",11500,2
2,"2-4","female","2017-2018","normal",78100,0
2,"2-4","female","2017-2018","overweight",19200,1
2,"2-4","female","2017-2018","obese",8200,1
2,"5-7","male","2017-2018","underweight",13900,2
2,"5-7","male","2017-2018","normal",72900,0
2,"5-7","male","2017-2018","overweight",16700,1
2,"5-7","male","2017-2018","obese",14800,1
2,"5-7","female","2017-2018","underweight",0,0
2,"5-7","female","2017-2018","normal",71500,0
2,"5-7","female","2017-2018","overweight",18200,1
2,"5-7","female","2017-2018","obese",8600,2
2,"8-11","male","2017-2018","underweight",5400,2
2,"8-11","male","2017-2018","normal",125100,0
2,"8-11","male","2017-2018","overweight",26600,1
2,"8-11","male","2017-2018","obese",4700,2
2,"8-11","female","2017-2018","underweight",11600,2
2,"8-11","female","2017-2018","normal",116900,0
2,"8-11","female","2017-2018","overweight",17400,1
2,"8-11","female","2017-2018","obese",7700,2
2,"12-15","male","2017-2018","underweight",3800,2
2,"12-15","male","2017-2018","normal",135100,0
2,"12-15","male","2017-2018","overweight",13600,1
2,"12-15","male","2017-2018","obese",10500,1
2,"12-15","female","2017-2018","underweight",6200,1
2,"12-15","female","2017-2018","normal",99700,0
2,"12-15","female","2017-2018","overweight",23100,1
2,"12-15","female","2017-2018","obese",8700,2
2,"16-17","male","2017-2018","underweight",4000,2
2,"16-17","male","2017-2018","normal",36400,0
2,"16-17","male","2017-2018","overweight",8900,2
2,"16-17","male","2017-2018","obese",13300,1
2,"16-17","female","2017-2018","underweight",3200,2
2,"16-17","female","2017-2018","normal",56900,0
