"STE_CODE16","age_group","sex","year_range","bmi_categories","%","uncertainty"
1,"2-4","male","2017-2018","underweight",5.3,1
1,"2-4","male","2017-2018","normal",68.6,1
1,"2-4","male","2017-2018","overweight",15.5,1
1,"2-4","male","2017-2018","obese",5.4,1
1,"2-4","female","2017-2018","underweight",4.4,1
1,"2-4","female","2017-2018","normal",61.6,1
1,"2-4","female","2017-2018","overweight",15.9,1
1,"2-4","female","2017-2018","obese",6.4,1
1,"5-7","male","2017-2018","underweight",10.7,0
1,"5-7","male","2017-2018","normal",58.9,1
1,"5-7","male","2017-2018","overweight",20.4,1
1,"5-7","male","2017-2018","obese",10,1
1,"5-7","female","2017-2018","underweight",5,1
1,"5-7","female","2017-2018","normal",53.3,1
1,"5-7","female","2017-2018","overweight",23.9,1
1,"5-7","female","2017-2018","obese",13.7,0
1,"8-11","male","2017-2018","underweight",12.8,0
1,"8-11","male","2017-2018","normal",55.9,1
1,"8-11","male","2017-2018","overweight",22.8,0
1,"8-11","male","2017-2018","obese",2.6,1
1,"8-11","female","2017-2018","underweight",15.5,0
1,"8-11","female","2017-2018","normal",71.8,1
1,"8-11","female","2017-2018","overweight",12,0
1,"8-11","female","2017-2018","obese",5.9,0
1,"12-15","male","2017-2018","underweight",7.3,1
1,"12-15","male","2017-2018","normal",74.4,1
1,"12-15","male","2017-2018","overweight",12.5,0
1,"12-15","male","2017-2018","obese",7.4,0
1,"12-15","female","2017-2018","underweight",11.5,0
1,"12-15","female","2017-2018","normal",70.1,0
1,"12-15","female","2017-2018","overweight",19.5,0
1,"12-15","female","2017-2018","obese",6,0
1,"16-17","male","2017-2018","underweight",4.6,1
1,"16-17","male","2017-2018","normal",58.3,1
1,"16-17","male","2017-2018","overweight",14.4,0
1,"16-17","male","2017-2018","obese",8,1
1,"16-17","female","2017-2018","underweight",6.1,1
1,"16-17","female","2017-2018","normal",57.9,1
1,"16-17","female","2017-2018","overweight",12.8,1
1,"16-17","female","2017-2018","obese",18.5,1
2,"2-4","male","2017-2018","underweight",3.4,1
2,"2-4","male","2017-2018","normal",68.8,1
2,"2-4","male","2017-2018","overweight",23.7,1
2,"2-4","male","2017-2018","obese",17.4,1
2,"2-4","female","2017-2018","underweight",9.3,1
2,"2-4","female","2017-2018","normal",62.9,1
2,"2-4","female","2017-2018","overweight",15.5,0
2,"2-4","female","2017-2018","obese",6.6,0
2,"5-7","male","2017-2018","underweight",11.6,1
2,"5-7","male","2017-2018","normal",60.8,1
2,"5-7","male","2017-2018","overweight",13.9,1
2,"5-7","male","2017-2018","obese",12.3,0
2,"5-7","female","2017-2018","underweight",0,0
2,"5-7","female","2017-2018","normal",69.3,1
2,"5-7","female","2017-2018","overweight",17.6,1
2,"5-7","female","2017-2018","obese",8.3,1
2,"8-11","male","2017-2018","underweight",3.2,1
2,"8-11","male","2017-2018","normal",75.1,0
2,"8-11","male","2017-2018","overweight",16,0
2,"8-11","male","2017-2018","obese",2.8,1
2,"8-11","female","2017-2018","underweight",7,1
2,"8-11","female","2017-2018","normal",70.5,1
2,"8-11","female","2017-2018","overweight",10.5,0
2,"8-11","female","2017-2018","obese",4.6,1
2,"12-15","male","2017-2018","underweight",2.4,1
2,"12-15","male","2017-2018","normal",84.8,0
2,"12-15","male","2017-2018","overweight",8.5,0
2,"12-15","male","2017-2018","obese",6.6,0
2,"12-15","female","2017-2018","underweight",4.6,0
2,"12-15","female","2017-2018","normal",74.6,1
2,"12-15","female","2017-2018","overweight",17.3,1
2,"12-15","female","2017-2018","obese",6.5,1
2,"16-17","male","2017-2018","underweight",6.7,1
2,"16-17","male","2017-2018","normal",60.7,1
2,"16-17","male","2017-2018","overweight",14.8,1
2,"16-17","male","2017-2018","obese",22.2,1
2,"16-17","female","2017-2018","underweight",4,1
2,"16-17","female","2017-2018","normal",71.9,1
2,"16-17","female","2017-2018","overweight",14.7,1
2,"16-17","female","2017-2018","obese",0,0
3,"2-4","male","2017-2018","underweight",20.2,1
3,"2-4","male","2017-2018","normal",62.9,1
3,"2-4","male","2017-2018","overweight",8.4,1
3,"2-4","male","2017-2018","obese",5,1
3,"2-4","female","2017-2018","underweight",7.5,0
3,"2-4","female","2017-2018","normal",65.8,1
3,"2-4","female","2017-2018","overweight",15.7,0
3,"2-4","female","2017-2018","obese",11.1,0
3,"5-7","male","2017-2018","underweight",6.7,0
3,"5-7","male","2017-2018","normal",69,1
3,"5-7","male","2017-2018","overweight",7.9,0
3,"5-7","male","2017-2018","obese",13.3,0
3,"5-7","female","2017-2018","underweight",3.3,1
3,"5-7","female","2017-2018","normal",60.6,1
3,"5-7","female","2017-2018","overweight",21.8,1
3,"5-7","female","2017-2018","obese",6.2,0
3,"8-11","male","2017-2018","underweight",11.4,1
3,"8-11","male","2017-2018","normal",54.8,1
3,"8-11","male","2017-2018","overweight",24.7,0
3,"8-11","male","2017-2018","obese",7.6,0
3,"8-11","female","2017-2018","underweight",18.2,1
3,"8-11","female","2017-2018","normal",58.5,1
3,"8-11","female","2017-2018","overweight",10.6,0
3,"8-11","female","2017-2018","obese",9.8,0
3,"12-15","male","2017-2018","underweight",4.2,1
3,"12-15","male","2017-2018","normal",65.6,1
3,"12-15","male","2017-2018","overweight",18,0
3,"12-15","male","2017-2018","obese",11.4,0
3,"12-15","female","2017-2018","underweight",12.5,1
3,"12-15","female","2017-2018","normal",72.6,1
3,"12-15","female","2017-2018","overweight",9.2,0
3,"12-15","female","2017-2018","obese",4,1
3,"16-17","male","2017-2018","underweight",3.4,1
3,"16-17","male","2017-2018","normal",63.7,1
3,"16-17","male","2017-2018","overweight",26,1
3,"16-17","male","2017-2018","obese",8.7,1
3,"16-17","female","2017-2018","underweight",3.5,1
3,"16-17","female","2017-2018","normal",78.6,1
3,"16-17","female","2017-2018","overweight",16,1
3,"16-17","female","2017-2018","obese",4.3,1
