"STE_CODE16","age_group","sex","year_range","bmi_categories","%","uncertainty"
1,"18-24","male","2017-2018","underweight",3.6,1
1,"18-24","male","2017-2018","normal",40.5,1
1,"18-24","male","2017-2018","overweight",35.5,1
1,"18-24","male","2017-2018","total_obese",16.2,0
1,"18-24","female","2017-2018","underweight",7.9,1
1,"18-24","female","2017-2018","normal",59.6,1
1,"18-24","female","2017-2018","overweight",22.6,0
1,"18-24","female","2017-2018","total_obese",11.9,0
2,"18-24","male","2017-2018","underweight",2.9,1
2,"18-24","male","2017-2018","normal",47.5,0
2,"18-24","male","2017-2018","overweight",36.1,0
2,"18-24","male","2017-2018","total_obese",18.1,0
2,"18-24","female","2017-2018","underweight",1.9,1
2,"18-24","female","2017-2018","normal",53.1,1
2,"18-24","female","2017-2018","overweight",30,1
2,"18-24","female","2017-2018","total_obese",14.5,0
3,"18-24","male","2017-2018","underweight",12.3,0
3,"18-24","male","2017-2018","normal",44.3,0
3,"18-24","male","2017-2018","overweight",26.1,0
3,"18-24","male","2017-2018","total_obese",19.9,0
3,"18-24","female","2017-2018","underweight",2.8,1
3,"18-24","female","2017-2018","normal",60.3,1
3,"18-24","female","2017-2018","overweight",20.9,0
3,"18-24","female","2017-2018","total_obese",13.6,0
4,"18-24","male","2017-2018","underweight",0,0
4,"18-24","male","2017-2018","normal",56.3,1
4,"18-24","male","2017-2018","overweight",40.3,1
4,"18-24","male","2017-2018","total_obese",13.1,0
4,"18-24","female","2017-2018","underweight",9.2,1
4,"18-24","female","2017-2018","normal",59.5,1
4,"18-24","female","2017-2018","overweight",27.9,1
4,"18-24","female","2017-2018","total_obese",8.5,1
5,"18-24","male","2017-2018","underweight",0,0
5,"18-24","male","2017-2018","normal",53.7,1
5,"18-24","male","2017-2018","overweight",36.1,1
5,"18-24","male","2017-2018","total_obese",22.3,1
5,"18-24","female","2017-2018","underweight",4.7,1
5,"18-24","female","2017-2018","normal",58,1
5,"18-24","female","2017-2018","overweight",32.6,1
5,"18-24","female","2017-2018","total_obese",17.7,1
6,"18-24","male","2017-2018","underweight",0,0
6,"18-24","male","2017-2018","normal",39.5,1
6,"18-24","male","2017-2018","overweight",42.5,1
6,"18-24","male","2017-2018","total_obese",20.2,1
6,"18-24","female","2017-2018","underweight",0,0
6,"18-24","female","2017-2018","normal",54.7,1
6,"18-24","female","2017-2018","overweight",15.9,1
6,"18-24","female","2017-2018","total_obese",14.4,1
7,"18-24","male","2017-2018","underweight",0,0
7,"18-24","male","2017-2018","normal",45.3,1
7,"18-24","male","2017-2018","overweight",34.7,1
7,"18-24","male","2017-2018","total_obese",38.7,1
7,"18-24","female","2017-2018","underweight",6.3,1
7,"18-24","female","2017-2018","normal",55.6,1
7,"18-24","female","2017-2018","overweight",41.3,1
7,"18-24","female","2017-2018","total_obese",7.9,1
8,"18-24","male","2017-2018","underweight",0,0
8,"18-24","male","2017-2018","normal",65.9,1
8,"18-24","male","2017-2018","overweight",31.4,1
8,"18-24","male","2017-2018","total_obese",7,1
8,"18-24","female","2017-2018","underweight",0,0
8,"18-24","female","2017-2018","normal",57.7,1
8,"18-24","female","2017-2018","overweight",22.2,1
8,"18-24","female","2017-2018","total_obese",17,1
