"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n","uncertainty"
1,"2-3","male","2017-2018","met_recommendation",85900,0
1,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
1,"2-3","male","2017-2018","total",96900,0
1,"4-8","male","2017-2018","met_recommendation",184100,0
1,"4-8","male","2017-2018","did_not_meet_recommendation",69500,0
1,"4-8","male","2017-2018","total",253100,0
1,"9-11","male","2017-2018","met_recommendation",107900,0
1,"9-11","male","2017-2018","did_not_meet_recommendation",70300,0
1,"9-11","male","2017-2018","total",168600,0
1,"12-13","male","2017-2018","met_recommendation",61100,0
1,"12-13","male","2017-2018","did_not_meet_recommendation",45100,0
1,"12-13","male","2017-2018","total",102300,0
1,"14-17","male","2017-2018","met_recommendation",102900,0
1,"14-17","male","2017-2018","did_not_meet_recommendation",79800,0
1,"14-17","male","2017-2018","total",182600,0
1,"2-14","male","2017-2018","met_recommendation",453500,0
1,"2-14","male","2017-2018","did_not_meet_recommendation",210300,0
1,"2-14","male","2017-2018","total",658200,0
1,"15-17","male","2017-2018","met_recommendation",82100,0
1,"15-17","male","2017-2018","did_not_meet_recommendation",59100,0
1,"15-17","male","2017-2018","total",141200,0
2,"2-3","male","2017-2018","met_recommendation",78400,0
2,"2-3","male","2017-2018","did_not_meet_recommendation",4400,2
2,"2-3","male","2017-2018","total",82300,0
2,"4-8","male","2017-2018","met_recommendation",152900,0
2,"4-8","male","2017-2018","did_not_meet_recommendation",44300,0
2,"4-8","male","2017-2018","total",205500,0
2,"9-11","male","2017-2018","met_recommendation",83600,0
2,"9-11","male","2017-2018","did_not_meet_recommendation",38300,0
2,"9-11","male","2017-2018","total",121000,0
2,"12-13","male","2017-2018","met_recommendation",48400,0
2,"12-13","male","2017-2018","did_not_meet_recommendation",15400,1
2,"12-13","male","2017-2018","total",70000,0
2,"14-17","male","2017-2018","met_recommendation",92600,0
2,"14-17","male","2017-2018","did_not_meet_recommendation",53700,0
2,"14-17","male","2017-2018","total",148000,0
2,"2-14","male","2017-2018","met_recommendation",398400,0
2,"2-14","male","2017-2018","did_not_meet_recommendation",126000,0
2,"2-14","male","2017-2018","total",516200,0
2,"15-17","male","2017-2018","met_recommendation",70100,0
2,"15-17","male","2017-2018","did_not_meet_recommendation",35800,0
2,"15-17","male","2017-2018","total",112900,0
3,"2-3","male","2017-2018","met_recommendation",50200,0
3,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
3,"2-3","male","2017-2018","total",52200,0
3,"4-8","male","2017-2018","met_recommendation",139900,0
3,"4-8","male","2017-2018","did_not_meet_recommendation",49800,0
3,"4-8","male","2017-2018","total",188400,0
