"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","n","uncertainty"
1,"2-3","male","2017-2018","met_recommendation",11100,2
1,"2-3","male","2017-2018","did_not_meet_recommendation",75300,0
1,"2-3","male","2017-2018","total",96900,0
1,"4-8","male","2017-2018","met_recommendation",8900,1
1,"4-8","male","2017-2018","did_not_meet_recommendation",245900,0
1,"4-8","male","2017-2018","total",253100,0
1,"9-11","male","2017-2018","met_recommendation",9000,2
1,"9-11","male","2017-2018","did_not_meet_recommendation",162300,0
1,"9-11","male","2017-2018","total",168600,0
1,"12-13","male","2017-2018","met_recommendation",0,0
1,"12-13","male","2017-2018","did_not_meet_recommendation",102300,0
1,"12-13","male","2017-2018","total",102300,0
1,"14-17","male","2017-2018","met_recommendation",4600,2
1,"14-17","male","2017-2018","did_not_meet_recommendation",173500,0
1,"14-17","male","2017-2018","total",182600,0
1,"2-14","male","2017-2018","met_recommendation",38100,0
1,"2-14","male","2017-2018","did_not_meet_recommendation",626000,0
1,"2-14","male","2017-2018","total",658200,0
1,"15-17","male","2017-2018","met_recommendation",4600,2
1,"15-17","male","2017-2018","did_not_meet_recommendation",129500,0
1,"15-17","male","2017-2018","total",141200,0
2,"2-3","male","2017-2018","met_recommendation",21400,1
2,"2-3","male","2017-2018","did_not_meet_recommendation",69200,0
2,"2-3","male","2017-2018","total",82300,0
2,"4-8","male","2017-2018","met_recommendation",7700,2
2,"4-8","male","2017-2018","did_not_meet_recommendation",187500,0
2,"4-8","male","2017-2018","total",205500,0
2,"9-11","male","2017-2018","met_recommendation",6000,2
2,"9-11","male","2017-2018","did_not_meet_recommendation",113100,0
2,"9-11","male","2017-2018","total",121000,0
2,"12-13","male","2017-2018","met_recommendation",0,0
2,"12-13","male","2017-2018","did_not_meet_recommendation",70000,0
2,"12-13","male","2017-2018","total",70000,0
2,"14-17","male","2017-2018","met_recommendation",5300,2
2,"14-17","male","2017-2018","did_not_meet_recommendation",141000,0
2,"14-17","male","2017-2018","total",148000,0
2,"...7","male","2017-2018","met_recommendation",NA,2
2,"2-14","male","2017-2018","met_recommendation",31800,0
2,"2-14","male","2017-2018","did_not_meet_recommendation",487800,0
2,"2-14","male","2017-2018","total",516200,0
2,"15-17","male","2017-2018","met_recommendation",5300,2
2,"15-17","male","2017-2018","did_not_meet_recommendation",104000,0
2,"15-17","male","2017-2018","total",112900,0
3,"2-3","male","2017-2018","met_recommendation",8000,2
3,"2-3","male","2017-2018","did_not_meet_recommendation",40000,0
3,"2-3","male","2017-2018","total",52200,0
3,"4-8","male","2017-2018","met_recommendation",6800,2
3,"4-8","male","2017-2018","did_not_meet_recommendation",187700,0
3,"4-8","male","2017-2018","total",188400,0
3,"9-11","male","2017-2018","met_recommendation",3200,2
3,"9-11","male","2017-2018","did_not_meet_recommendation",90400,0
3,"9-11","male","2017-2018","total",96000,0
3,"12-13","male","2017-2018","met_recommendation",4500,2
3,"12-13","male","2017-2018","did_not_meet_recommendation",65100,0
3,"12-13","male","2017-2018","total",71600,0
3,"14-17","male","2017-2018","met_recommendation",4500,2
3,"14-17","male","2017-2018","did_not_meet_recommendation",111900,0
3,"14-17","male","2017-2018","total",115400,0
3,"...7","male","2017-2018","met_recommendation",NA,2
3,"2-14","male","2017-2018","met_recommendation",27200,1
3,"2-14","male","2017-2018","did_not_meet_recommendation",400500,0
3,"2-14","male","2017-2018","total",428600,0
3,"15-17","male","2017-2018","met_recommendation",3700,2
3,"15-17","male","2017-2018","did_not_meet_recommendation",89900,0
3,"15-17","male","2017-2018","total",91600,0
4,"2-3","male","2017-2018","did_not_meet_recommendation",2600,2
4,"2-3","male","2017-2018","total",15200,0
4,"4-8","male","2017-2018","did_not_meet_recommendation",0,0
4,"4-8","male","2017-2018","total",59700,0
4,"9-11","male","2017-2018","did_not_meet_recommendation",0,0
4,"9-11","male","2017-2018","total",32600,0
4,"12-13","male","2017-2018","did_not_meet_recommendation",0,0
4,"12-13","male","2017-2018","total",20600,0
4,"14-17","male","2017-2018","did_not_meet_recommendation",0,0
4,"14-17","male","2017-2018","total",37400,0
4,"2-14","male","2017-2018","did_not_meet_recommendation",4100,2
