"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
1,"2-3","male","2017-2018","did_not_consume",61900,0
1,"2-3","male","2017-2018","1_metric_cup_or_less",15400,2
1,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","male","2017-2018","2_metric_cups_or_more",5500,2
1,"2-3","male","2017-2018","total",96900,0
1,"4-8","male","2017-2018","did_not_consume",166200,0
1,"4-8","male","2017-2018","1_metric_cup_or_less",64900,1
1,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"4-8","male","2017-2018","2_metric_cups_or_more",14800,1
1,"4-8","male","2017-2018","total",253100,0
1,"9-11","male","2017-2018","did_not_consume",89400,0
1,"9-11","male","2017-2018","1_metric_cup_or_less",60600,0
1,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",4100,2
1,"9-11","male","2017-2018","2_metric_cups_or_more",10700,2
1,"9-11","male","2017-2018","total",168600,0
1,"12-13","male","2017-2018","did_not_consume",24400,1
1,"12-13","male","2017-2018","1_metric_cup_or_less",60200,0
1,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",2800,2
1,"12-13","male","2017-2018","2_metric_cups_or_more",10400,2
1,"12-13","male","2017-2018","total",102300,0
1,"14-17","male","2017-2018","did_not_consume",48500,0
1,"14-17","male","2017-2018","1_metric_cup_or_less",95500,0
1,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",19200,1
1,"14-17","male","2017-2018","2_metric_cups_or_more",14600,1
1,"14-17","male","2017-2018","total",182600,0
1,"2-14","male","2017-2018","did_not_consume",353100,0
1,"2-14","male","2017-2018","1_metric_cup_or_less",236800,0
1,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",11800,1
1,"2-14","male","2017-2018","2_metric_cups_or_more",45400,1
1,"2-14","male","2017-2018","total",658200,0
1,"15-17","male","2017-2018","did_not_consume",36900,0
1,"15-17","male","2017-2018","1_metric_cup_or_less",74700,0
1,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",9900,1
1,"15-17","male","2017-2018","2_metric_cups_or_more",12400,2
1,"15-17","male","2017-2018","total",141200,0
2,"2-3","male","2017-2018","did_not_consume",72500,0
2,"2-3","male","2017-2018","1_metric_cup_or_less",9100,2
2,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
2,"2-3","male","2017-2018","total",82300,0
2,"4-8","male","2017-2018","did_not_consume",132700,0
2,"4-8","male","2017-2018","1_metric_cup_or_less",63700,0
2,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
2,"4-8","male","2017-2018","total",205500,0
2,"9-11","male","2017-2018","did_not_consume",68400,0
2,"9-11","male","2017-2018","1_metric_cup_or_less",59300,0
2,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","male","2017-2018","2_metric_cups_or_more",8200,1
2,"9-11","male","2017-2018","total",121000,0
2,"12-13","male","2017-2018","did_not_consume",32000,1
2,"12-13","male","2017-2018","1_metric_cup_or_less",32100,0
2,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",4800,2
2,"12-13","male","2017-2018","2_metric_cups_or_more",2500,2
2,"12-13","male","2017-2018","total",70000,0
2,"14-17","male","2017-2018","did_not_consume",52200,0
2,"14-17","male","2017-2018","1_metric_cup_or_less",72600,0
2,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",18900,1
2,"14-17","male","2017-2018","2_metric_cups_or_more",12400,1
2,"14-17","male","2017-2018","total",148000,0
2,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,1
2,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
2,"2-14","male","2017-2018","did_not_consume",313200,0
2,"2-14","male","2017-2018","1_metric_cup_or_less",190600,0
2,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",11400,1
2,"2-14","male","2017-2018","2_metric_cups_or_more",9200,2
2,"2-14","male","2017-2018","total",516200,0
2,"15-17","male","2017-2018","did_not_consume",40200,0
2,"15-17","male","2017-2018","1_metric_cup_or_less",41700,0
2,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",21500,1
2,"15-17","male","2017-2018","2_metric_cups_or_more",7600,2
2,"15-17","male","2017-2018","total",112900,0
3,"2-3","male","2017-2018","did_not_consume",44700,0
3,"2-3","male","2017-2018","1_metric_cup_or_less",4300,2
3,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
3,"2-3","male","2017-2018","total",52200,0
3,"4-8","male","2017-2018","did_not_consume",113300,0
3,"4-8","male","2017-2018","1_metric_cup_or_less",66000,0
3,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","male","2017-2018","2_metric_cups_or_more",2800,2
3,"4-8","male","2017-2018","total",188400,0
3,"9-11","male","2017-2018","did_not_consume",41200,0
3,"9-11","male","2017-2018","1_metric_cup_or_less",50600,0
3,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
