"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","p","uncertainty"
1,"2-3","male","2017-2018","met_recommendation",88.6,1
1,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
1,"2-3","male","2017-2018","total",100,0
1,"4-8","male","2017-2018","met_recommendation",72.7,0
1,"4-8","male","2017-2018","did_not_meet_recommendation",27.5,0
1,"4-8","male","2017-2018","total",100,0
1,"9-11","male","2017-2018","met_recommendation",64,1
1,"9-11","male","2017-2018","did_not_meet_recommendation",41.7,1
1,"9-11","male","2017-2018","total",100,0
1,"12-13","male","2017-2018","met_recommendation",59.7,1
1,"12-13","male","2017-2018","did_not_meet_recommendation",44.1,1
1,"12-13","male","2017-2018","total",100,0
1,"14-17","male","2017-2018","met_recommendation",56.4,0
1,"14-17","male","2017-2018","did_not_meet_recommendation",43.7,0
1,"14-17","male","2017-2018","total",100,0
1,"2-14","male","2017-2018","met_recommendation",68.9,0
1,"2-14","male","2017-2018","did_not_meet_recommendation",32,0
1,"2-14","male","2017-2018","total",100,0
1,"15-17","male","2017-2018","met_recommendation",58.1,1
1,"15-17","male","2017-2018","did_not_meet_recommendation",41.9,1
1,"15-17","male","2017-2018","total",100,0
2,"2-3","male","2017-2018","met_recommendation",95.3,1
2,"2-3","male","2017-2018","did_not_meet_recommendation",5.3,0
2,"2-3","male","2017-2018","total",100,0
2,"4-8","male","2017-2018","met_recommendation",74.4,1
2,"4-8","male","2017-2018","did_not_meet_recommendation",21.6,0
2,"4-8","male","2017-2018","total",100,0
2,"9-11","male","2017-2018","met_recommendation",69.1,1
2,"9-11","male","2017-2018","did_not_meet_recommendation",31.7,1
2,"9-11","male","2017-2018","total",100,0
2,"12-13","male","2017-2018","met_recommendation",69.1,1
2,"12-13","male","2017-2018","did_not_meet_recommendation",22,1
2,"12-13","male","2017-2018","total",100,0
2,"14-17","male","2017-2018","met_recommendation",62.6,1
2,"14-17","male","2017-2018","did_not_meet_recommendation",36.3,1
2,"14-17","male","2017-2018","total",100,0
2,"...7","male","2017-2018","met_recommendation",NA,1
2,"...7","male","2017-2018","did_not_meet_recommendation",NA,1
2,"2-14","male","2017-2018","met_recommendation",77.2,0
2,"2-14","male","2017-2018","did_not_meet_recommendation",24.4,0
2,"2-14","male","2017-2018","total",100,0
2,"15-17","male","2017-2018","met_recommendation",62.1,1
2,"15-17","male","2017-2018","did_not_meet_recommendation",31.7,1
2,"15-17","male","2017-2018","total",100,0
3,"2-3","male","2017-2018","met_recommendation",96.2,1
3,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
3,"2-3","male","2017-2018","total",100,0
3,"4-8","male","2017-2018","met_recommendation",74.3,0
3,"4-8","male","2017-2018","did_not_meet_recommendation",26.4,0
3,"4-8","male","2017-2018","total",100,0
3,"9-11","male","2017-2018","met_recommendation",67.5,1
3,"9-11","male","2017-2018","did_not_meet_recommendation",29.4,1
3,"9-11","male","2017-2018","total",100,0
3,"12-13","male","2017-2018","met_recommendation",62.4,1
3,"12-13","male","2017-2018","did_not_meet_recommendation",37.4,1
3,"12-13","male","2017-2018","total",100,0
3,"14-17","male","2017-2018","met_recommendation",52.4,1
3,"14-17","male","2017-2018","did_not_meet_recommendation",49.4,1
3,"14-17","male","2017-2018","total",100,0
3,"...7","male","2017-2018","met_recommendation",NA,1
3,"...7","male","2017-2018","did_not_meet_recommendation",NA,1
3,"2-14","male","2017-2018","met_recommendation",73.4,0
3,"2-14","male","2017-2018","did_not_meet_recommendation",24.7,0
3,"2-14","male","2017-2018","total",100,0
3,"15-17","male","2017-2018","met_recommendation",48.3,1
3,"15-17","male","2017-2018","did_not_meet_recommendation",52.8,1
3,"15-17","male","2017-2018","total",100,0
4,"2-3","male","2017-2018","met_recommendation",100,0
4,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
4,"2-3","male","2017-2018","total",100,0
4,"4-8","male","2017-2018","met_recommendation",88.9,1
4,"4-8","male","2017-2018","did_not_meet_recommendation",19.9,1
4,"4-8","male","2017-2018","total",100,0
4,"9-11","male","2017-2018","met_recommendation",84.9,1
4,"9-11","male","2017-2018","did_not_meet_recommendation",31.3,1
4,"9-11","male","2017-2018","total",100,0
4,"12-13","male","2017-2018","met_recommendation",47.6,1
4,"12-13","male","2017-2018","did_not_meet_recommendation",62.6,1
4,"12-13","male","2017-2018","total",100,0
4,"14-17","male","2017-2018","met_recommendation",47.5,1
4,"14-17","male","2017-2018","did_not_meet_recommendation",55.9,1
4,"14-17","male","2017-2018","total",100,0
4,"...7","male","2017-2018","met_recommendation",NA,1
4,"...7","male","2017-2018","did_not_meet_recommendation",NA,1
4,"2-14","male","2017-2018","met_recommendation",75.5,0
4,"2-14","male","2017-2018","did_not_meet_recommendation",25.3,0
4,"2-14","male","2017-2018","total",100,0
4,"15-17","male","2017-2018","met_recommendation",38.7,1
4,"15-17","male","2017-2018","did_not_meet_recommendation",58.7,1
4,"15-17","male","2017-2018","total",100,0
5,"2-3","male","2017-2018","met_recommendation",100,0
5,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
5,"2-3","male","2017-2018","total",100,0
5,"4-8","male","2017-2018","met_recommendation",95.3,1
5,"4-8","male","2017-2018","did_not_meet_recommendation",18.2,0
5,"4-8","male","2017-2018","total",100,0
5,"9-11","male","2017-2018","met_recommendation",83.6,1
5,"9-11","male","2017-2018","did_not_meet_recommendation",14.6,1
5,"9-11","male","2017-2018","total",100,0
5,"12-13","male","2017-2018","met_recommendation",62.3,1
5,"12-13","male","2017-2018","did_not_meet_recommendation",36.6,1
5,"12-13","male","2017-2018","total",100,0
5,"14-17","male","2017-2018","met_recommendation",44.3,1
5,"14-17","male","2017-2018","did_not_meet_recommendation",53.7,1
5,"14-17","male","2017-2018","total",100,0
5,"...7","male","2017-2018","met_recommendation",NA,1
5,"...7","male","2017-2018","did_not_meet_recommendation",NA,1
5,"2-14","male","2017-2018","met_recommendation",84.9,0
5,"2-14","male","2017-2018","did_not_meet_recommendation",18.3,0
5,"2-14","male","2017-2018","total",100,0
5,"15-17","male","2017-2018","met_recommendation",37.7,1
5,"15-17","male","2017-2018","did_not_meet_recommendation",42.5,1
5,"15-17","male","2017-2018","total",100,0
6,"2-3","male","2017-2018","met_recommendation",100,0
6,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
6,"2-3","male","2017-2018","total",100,0
6,"4-8","male","2017-2018","met_recommendation",78,1
6,"4-8","male","2017-2018","did_not_meet_recommendation",18.5,1
6,"4-8","male","2017-2018","total",100,0
6,"9-11","male","2017-2018","met_recommendation",68.1,1
6,"9-11","male","2017-2018","did_not_meet_recommendation",42.9,1
6,"9-11","male","2017-2018","total",100,0
6,"12-13","male","2017-2018","met_recommendation",66.2,1
6,"12-13","male","2017-2018","did_not_meet_recommendation",27.9,1
6,"12-13","male","2017-2018","total",100,0
6,"14-17","male","2017-2018","met_recommendation",40.5,1
6,"14-17","male","2017-2018","did_not_meet_recommendation",58.7,1
6,"14-17","male","2017-2018","total",100,0
6,"...7","male","2017-2018","met_recommendation",NA,1
