"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","p","uncertainty"
1,"2-3","male","2017-2018","met_recommendation",11.5,1
1,"2-3","male","2017-2018","did_not_meet_recommendation",77.7,1
1,"2-3","male","2017-2018","total",100,0
1,"4-8","male","2017-2018","met_recommendation",3.5,0
1,"4-8","male","2017-2018","did_not_meet_recommendation",97.2,0
1,"4-8","male","2017-2018","total",100,0
1,"9-11","male","2017-2018","met_recommendation",5.3,1
1,"9-11","male","2017-2018","did_not_meet_recommendation",96.3,1
1,"9-11","male","2017-2018","total",100,0
1,"12-13","male","2017-2018","met_recommendation",0,0
1,"12-13","male","2017-2018","did_not_meet_recommendation",100,0
1,"12-13","male","2017-2018","total",100,0
1,"14-17","male","2017-2018","met_recommendation",2.5,1
1,"14-17","male","2017-2018","did_not_meet_recommendation",95,0
1,"14-17","male","2017-2018","total",100,0
1,"2-14","male","2017-2018","met_recommendation",5.8,0
1,"2-14","male","2017-2018","did_not_meet_recommendation",95.1,0
1,"2-14","male","2017-2018","total",100,0
1,"15-17","male","2017-2018","met_recommendation",3.3,1
1,"15-17","male","2017-2018","did_not_meet_recommendation",91.7,0
1,"15-17","male","2017-2018","total",100,0
2,"2-3","male","2017-2018","met_recommendation",26,1
2,"2-3","male","2017-2018","did_not_meet_recommendation",84.1,1
2,"2-3","male","2017-2018","total",100,0
2,"4-8","male","2017-2018","met_recommendation",3.7,1
2,"4-8","male","2017-2018","did_not_meet_recommendation",91.2,0
2,"4-8","male","2017-2018","total",100,0
2,"9-11","male","2017-2018","met_recommendation",5,1
2,"9-11","male","2017-2018","did_not_meet_recommendation",93.5,1
2,"9-11","male","2017-2018","total",100,0
2,"12-13","male","2017-2018","met_recommendation",0,0
2,"12-13","male","2017-2018","did_not_meet_recommendation",100,0
2,"12-13","male","2017-2018","total",100,0
2,"14-17","male","2017-2018","met_recommendation",3.6,1
2,"14-17","male","2017-2018","did_not_meet_recommendation",95.3,1
2,"14-17","male","2017-2018","total",100,0
2,"...7","male","2017-2018","met_recommendation",NA,1
2,"...7","male","2017-2018","did_not_meet_recommendation",NA,1
2,"2-14","male","2017-2018","met_recommendation",6.2,0
2,"2-14","male","2017-2018","did_not_meet_recommendation",94.5,0
2,"2-14","male","2017-2018","total",100,0
2,"15-17","male","2017-2018","met_recommendation",4.7,1
2,"15-17","male","2017-2018","did_not_meet_recommendation",92.1,0
2,"15-17","male","2017-2018","total",100,0
3,"2-3","male","2017-2018","met_recommendation",15.3,1
3,"2-3","male","2017-2018","did_not_meet_recommendation",76.6,0
3,"2-3","male","2017-2018","total",100,0
3,"4-8","male","2017-2018","met_recommendation",3.6,1
3,"4-8","male","2017-2018","did_not_meet_recommendation",99.6,1
3,"4-8","male","2017-2018","total",100,0
3,"9-11","male","2017-2018","met_recommendation",3.3,1
3,"9-11","male","2017-2018","did_not_meet_recommendation",94.2,0
3,"9-11","male","2017-2018","total",100,0
3,"12-13","male","2017-2018","met_recommendation",6.3,1
3,"12-13","male","2017-2018","did_not_meet_recommendation",90.9,0
3,"12-13","male","2017-2018","total",100,0
3,"14-17","male","2017-2018","met_recommendation",3.9,1
