"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
1,"2-3","male","2017-2018","did_not_consume",63.9,1
1,"2-3","male","2017-2018","1_metric_cup_or_less",15.9,1
1,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","male","2017-2018","2_metric_cups_or_more",5.7,1
1,"2-3","male","2017-2018","total",100,0
1,"4-8","male","2017-2018","did_not_consume",65.7,1
1,"4-8","male","2017-2018","1_metric_cup_or_less",25.6,1
1,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"4-8","male","2017-2018","2_metric_cups_or_more",5.8,0
1,"4-8","male","2017-2018","total",100,0
1,"9-11","male","2017-2018","did_not_consume",53,1
1,"9-11","male","2017-2018","1_metric_cup_or_less",35.9,1
1,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",2.4,1
1,"9-11","male","2017-2018","2_metric_cups_or_more",6.3,1
1,"9-11","male","2017-2018","total",100,0
1,"12-13","male","2017-2018","did_not_consume",23.9,1
1,"12-13","male","2017-2018","1_metric_cup_or_less",58.8,1
1,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",2.7,1
1,"12-13","male","2017-2018","2_metric_cups_or_more",10.2,1
1,"12-13","male","2017-2018","total",100,0
1,"14-17","male","2017-2018","did_not_consume",26.6,0
1,"14-17","male","2017-2018","1_metric_cup_or_less",52.3,1
1,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",10.5,0
1,"14-17","male","2017-2018","2_metric_cups_or_more",8,0
1,"14-17","male","2017-2018","total",100,0
1,"2-14","male","2017-2018","did_not_consume",53.6,0
1,"2-14","male","2017-2018","1_metric_cup_or_less",36,0
1,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",1.8,0
1,"2-14","male","2017-2018","2_metric_cups_or_more",6.9,0
1,"2-14","male","2017-2018","total",100,0
1,"15-17","male","2017-2018","did_not_consume",26.1,1
1,"15-17","male","2017-2018","1_metric_cup_or_less",52.9,1
1,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",7,0
1,"15-17","male","2017-2018","2_metric_cups_or_more",8.8,0
1,"15-17","male","2017-2018","total",100,0
2,"2-3","male","2017-2018","did_not_consume",88.1,0
2,"2-3","male","2017-2018","1_metric_cup_or_less",11.1,1
2,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
2,"2-3","male","2017-2018","total",100,0
2,"4-8","male","2017-2018","did_not_consume",64.6,0
2,"4-8","male","2017-2018","1_metric_cup_or_less",31,0
2,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
2,"4-8","male","2017-2018","total",100,0
2,"9-11","male","2017-2018","did_not_consume",56.5,1
2,"9-11","male","2017-2018","1_metric_cup_or_less",49,1
2,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","male","2017-2018","2_metric_cups_or_more",6.8,0
2,"9-11","male","2017-2018","total",100,0
2,"12-13","male","2017-2018","did_not_consume",45.7,1
2,"12-13","male","2017-2018","1_metric_cup_or_less",45.9,1
2,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",6.9,1
2,"12-13","male","2017-2018","2_metric_cups_or_more",3.6,1
2,"12-13","male","2017-2018","total",100,0
2,"14-17","male","2017-2018","did_not_consume",35.3,1
2,"14-17","male","2017-2018","1_metric_cup_or_less",49.1,1
2,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",12.8,0
2,"14-17","male","2017-2018","2_metric_cups_or_more",8.4,0
2,"14-17","male","2017-2018","total",100,0
2,"...7","male","2017-2018","did_not_consume",NA,1
2,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
2,"2-14","male","2017-2018","did_not_consume",60.7,0
2,"2-14","male","2017-2018","1_metric_cup_or_less",36.9,0
2,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",2.2,0
2,"2-14","male","2017-2018","2_metric_cups_or_more",1.8,0
2,"2-14","male","2017-2018","total",100,0
2,"15-17","male","2017-2018","did_not_consume",35.6,1
2,"15-17","male","2017-2018","1_metric_cup_or_less",36.9,1
2,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",19,1
2,"15-17","male","2017-2018","2_metric_cups_or_more",6.7,1
2,"15-17","male","2017-2018","total",100,0
3,"2-3","male","2017-2018","did_not_consume",85.6,1
3,"2-3","male","2017-2018","1_metric_cup_or_less",8.2,1
3,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
3,"2-3","male","2017-2018","total",100,0
3,"4-8","male","2017-2018","did_not_consume",60.1,0
3,"4-8","male","2017-2018","1_metric_cup_or_less",35,1
3,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","male","2017-2018","2_metric_cups_or_more",1.5,1
3,"4-8","male","2017-2018","total",100,0
3,"9-11","male","2017-2018","did_not_consume",42.9,1
3,"9-11","male","2017-2018","1_metric_cup_or_less",52.7,1
3,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
3,"9-11","male","2017-2018","total",100,0
3,"12-13","male","2017-2018","did_not_consume",37.3,1
3,"12-13","male","2017-2018","1_metric_cup_or_less",45.7,1
3,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",5.3,1
3,"12-13","male","2017-2018","2_metric_cups_or_more",5.3,1
3,"12-13","male","2017-2018","total",100,0
3,"14-17","male","2017-2018","did_not_consume",27.7,1
3,"14-17","male","2017-2018","1_metric_cup_or_less",52,1
3,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",10.5,0
3,"14-17","male","2017-2018","2_metric_cups_or_more",16.6,1
3,"14-17","male","2017-2018","total",100,0
3,"...7","male","2017-2018","did_not_consume",NA,1
3,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
3,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
