"STE_CODE16","age_group","sex","year_range","days_PA_last_week","n","uncertainty"
1,"18-24","male","2017-2018","none",8400,2
1,"18-24","male","2017-2018","1–4",129200,0
1,"18-24","male","2017-2018","5–6",151300,0
1,"18-24","male","2017-2018","7",81300,1
1,"18-24","male","2017-2018","5_or_more",236800,0
1,"18-24","male","2017-2018","total",377500,0
2,"18-24","male","2017-2018","none",18100,1
2,"18-24","male","2017-2018","1–4",105000,0
2,"18-24","male","2017-2018","5–6",105200,0
2,"18-24","male","2017-2018","7",90200,0
2,"18-24","male","2017-2018","5_or_more",184200,0
2,"18-24","male","2017-2018","total",311200,0
3,"18-24","male","2017-2018","none",21500,1
3,"18-24","male","2017-2018","1–4",90000,0
3,"18-24","male","2017-2018","5–6",80000,0
3,"18-24","male","2017-2018","7",46800,0
3,"18-24","male","2017-2018","5_or_more",125200,0
3,"18-24","male","2017-2018","total",229100,0
4,"18-24","male","2017-2018","none",0,0
4,"18-24","male","2017-2018","1–4",22800,0
4,"18-24","male","2017-2018","5–6",37900,0
4,"18-24","male","2017-2018","7",19900,1
4,"18-24","male","2017-2018","5_or_more",56600,0
4,"18-24","male","2017-2018","total",74600,0
5,"18-24","male","2017-2018","none",6300,2
5,"18-24","male","2017-2018","1–4",41100,0
5,"18-24","male","2017-2018","5–6",36800,0
5,"18-24","male","2017-2018","7",30900,1
5,"18-24","male","2017-2018","5_or_more",66900,0
5,"18-24","male","2017-2018","total",106500,0
6,"18-24","male","2017-2018","none",2000,2
6,"18-24","male","2017-2018","1–4",8100,0
6,"18-24","male","2017-2018","5–6",6700,1
6,"18-24","male","2017-2018","7",7300,0
6,"18-24","male","2017-2018","5_or_more",12400,0
6,"18-24","male","2017-2018","total",23300,0
7,"18-24","male","2017-2018","none",0,0
7,"18-24","male","2017-2018","1–4",2000,1
7,"18-24","male","2017-2018","5–6",3200,1
7,"18-24","male","2017-2018","7",2500,1
7,"18-24","male","2017-2018","5_or_more",5000,0
7,"18-24","male","2017-2018","total",7500,0
8,"18-24","male","2017-2018","none",2000,2
8,"18-24","male","2017-2018","1–4",7400,1
8,"18-24","male","2017-2018","5–6",7800,0
8,"18-24","male","2017-2018","7",3600,2
8,"18-24","male","2017-2018","5_or_more",9800,0
8,"18-24","male","2017-2018","total",18500,0
1,"18-24","female","2017-2018","none",12800,2
1,"18-24","female","2017-2018","1–4",122200,0
1,"18-24","female","2017-2018","5–6",125000,0
1,"18-24","female","2017-2018","7",96200,0
1,"18-24","female","2017-2018","5_or_more",224200,0
1,"18-24","female","2017-2018","total",340100,0
2,"18-24","female","2017-2018","none",13400,2
2,"18-24","female","2017-2018","1–4",105800,0
2,"18-24","female","2017-2018","5–6",87100,0
2,"18-24","female","2017-2018","7",67800,0
2,"18-24","female","2017-2018","5_or_more",175800,0
2,"18-24","female","2017-2018","total",308100,0
3,"18-24","female","2017-2018","none",35900,0
3,"18-24","female","2017-2018","1–4",81500,0
3,"18-24","female","2017-2018","5–6",65000,0
3,"18-24","female","2017-2018","7",43400,0
3,"18-24","female","2017-2018","5_or_more",112200,0
3,"18-24","female","2017-2018","total",218400,0
4,"18-24","female","2017-2018","none",10100,1
4,"18-24","female","2017-2018","1–4",40200,0
4,"18-24","female","2017-2018","5–6",16800,1
4,"18-24","female","2017-2018","7",12200,1
4,"18-24","female","2017-2018","5_or_more",25200,0
4,"18-24","female","2017-2018","total",70700,0
5,"18-24","female","2017-2018","none",9000,2
5,"18-24","female","2017-2018","1–4",42700,0
5,"18-24","female","2017-2018","5–6",35000,0
5,"18-24","female","2017-2018","7",16700,1
5,"18-24","female","2017-2018","5_or_more",43100,0
5,"18-24","female","2017-2018","total",100100,0
6,"18-24","female","2017-2018","none",5100,1
6,"18-24","female","2017-2018","1–4",6300,1
6,"18-24","female","2017-2018","5–6",6600,0
6,"18-24","female","2017-2018","7",3700,1
6,"18-24","female","2017-2018","5_or_more",9500,0
6,"18-24","female","2017-2018","total",20100,0
7,"18-24","female","2017-2018","none",1000,1
7,"18-24","female","2017-2018","1–4",1900,1
7,"18-24","female","2017-2018","5–6",2300,0
7,"18-24","female","2017-2018","7",1700,1
7,"18-24","female","2017-2018","5_or_more",3900,0
7,"18-24","female","2017-2018","total",6300,0
8,"18-24","female","2017-2018","none",1300,2
8,"18-24","female","2017-2018","1–4",7900,0
8,"18-24","female","2017-2018","5–6",5100,1
8,"18-24","female","2017-2018","7",4400,1
8,"18-24","female","2017-2018","5_or_more",10700,0
8,"18-24","female","2017-2018","total",19400,0
