"STE_CODE16","age_group","sex","year_range","days_exercise_last_week","n","uncertainty"
1,"18-24","male","2017-2018","none",26300,1
1,"18-24","male","2017-2018","1–4",169700,0
1,"18-24","male","2017-2018","5–6",82400,1
1,"18-24","male","2017-2018","7",61500,1
1,"18-24","male","2017-2018","5_or_more",169200,0
1,"18-24","male","2017-2018","total",377500,0
2,"18-24","male","2017-2018","none",27200,1
2,"18-24","male","2017-2018","1–4",146800,0
2,"18-24","male","2017-2018","5–6",82100,0
2,"18-24","male","2017-2018","7",64000,0
2,"18-24","male","2017-2018","5_or_more",145900,0
2,"18-24","male","2017-2018","total",311200,0
3,"18-24","male","2017-2018","none",30100,1
3,"18-24","male","2017-2018","1–4",100100,0
3,"18-24","male","2017-2018","5–6",50900,0
3,"18-24","male","2017-2018","7",30400,1
3,"18-24","male","2017-2018","5_or_more",84600,0
3,"18-24","male","2017-2018","total",229100,0
4,"18-24","male","2017-2018","none",1700,2
4,"18-24","male","2017-2018","1–4",31200,0
4,"18-24","male","2017-2018","5–6",29300,0
4,"18-24","male","2017-2018","7",15700,1
4,"18-24","male","2017-2018","5_or_more",43700,0
4,"18-24","male","2017-2018","total",74600,0
5,"18-24","male","2017-2018","none",4800,2
5,"18-24","male","2017-2018","1–4",57400,0
5,"18-24","male","2017-2018","5–6",33700,1
5,"18-24","male","2017-2018","7",21300,1
5,"18-24","male","2017-2018","5_or_more",50600,0
5,"18-24","male","2017-2018","total",106500,0
6,"18-24","male","2017-2018","none",2100,2
6,"18-24","male","2017-2018","1–4",13300,0
6,"18-24","male","2017-2018","5–6",4100,1
6,"18-24","male","2017-2018","7",2400,2
6,"18-24","male","2017-2018","5_or_more",7200,1
6,"18-24","male","2017-2018","total",23300,0
7,"18-24","male","2017-2018","none",800,2
7,"18-24","male","2017-2018","1–4",1500,2
7,"18-24","male","2017-2018","5–6",2700,1
7,"18-24","male","2017-2018","7",2400,1
7,"18-24","male","2017-2018","5_or_more",4100,0
7,"18-24","male","2017-2018","total",7500,0
8,"18-24","male","2017-2018","none",4300,1
8,"18-24","male","2017-2018","1–4",12000,0
8,"18-24","male","2017-2018","5–6",3500,2
8,"18-24","male","2017-2018","7",0,0
8,"18-24","male","2017-2018","5_or_more",7200,1
8,"18-24","male","2017-2018","total",18500,0
1,"18-24","female","2017-2018","none",10900,2
1,"18-24","female","2017-2018","1–4",150200,0
1,"18-24","female","2017-2018","5–6",133100,0
1,"18-24","female","2017-2018","7",58100,1
1,"18-24","female","2017-2018","5_or_more",194400,0
1,"18-24","female","2017-2018","total",340100,0
2,"18-24","female","2017-2018","none",13400,2
2,"18-24","female","2017-2018","1–4",133800,0
2,"18-24","female","2017-2018","5–6",59900,1
2,"18-24","female","2017-2018","7",61300,0
2,"18-24","female","2017-2018","5_or_more",133200,0
2,"18-24","female","2017-2018","total",308100,0
3,"18-24","female","2017-2018","none",31400,0
3,"18-24","female","2017-2018","1–4",92400,0
3,"18-24","female","2017-2018","5–6",58100,0
3,"18-24","female","2017-2018","7",29200,1
3,"18-24","female","2017-2018","5_or_more",93100,0
3,"18-24","female","2017-2018","total",218400,0
4,"18-24","female","2017-2018","none",10100,1
4,"18-24","female","2017-2018","1–4",47500,0
4,"18-24","female","2017-2018","5–6",13700,1
4,"18-24","female","2017-2018","7",10800,1
4,"18-24","female","2017-2018","5_or_more",21900,0
4,"18-24","female","2017-2018","total",70700,0
5,"18-24","female","2017-2018","none",9100,2
5,"18-24","female","2017-2018","1–4",59600,0
5,"18-24","female","2017-2018","5–6",20200,1
5,"18-24","female","2017-2018","7",13100,1
5,"18-24","female","2017-2018","5_or_more",41700,0
5,"18-24","female","2017-2018","total",100100,0
6,"18-24","female","2017-2018","none",3300,2
6,"18-24","female","2017-2018","1–4",10300,0
6,"18-24","female","2017-2018","5–6",4700,1
6,"18-24","female","2017-2018","7",1200,2
6,"18-24","female","2017-2018","5_or_more",8100,0
6,"18-24","female","2017-2018","total",20100,0
7,"18-24","female","2017-2018","none",1100,1
7,"18-24","female","2017-2018","1–4",3100,0
7,"18-24","female","2017-2018","5–6",2300,0
7,"18-24","female","2017-2018","7",800,2
7,"18-24","female","2017-2018","5_or_more",2800,0
7,"18-24","female","2017-2018","total",6300,0
8,"18-24","female","2017-2018","none",1300,2
8,"18-24","female","2017-2018","1–4",9200,0
8,"18-24","female","2017-2018","5–6",5100,1
8,"18-24","female","2017-2018","7",3400,2
8,"18-24","female","2017-2018","5_or_more",8500,0
8,"18-24","female","2017-2018","total",19400,0
