"STE_CODE16","age_group","sex","year_range","2014_PA_guidelines_any","p","uncertainty"
1,"18-24","male","2017-2018","met_guidelines",24.3,0
1,"18-24","male","2017-2018","did_not_meet_guidelines",72.5,0
1,"18-24","male","2017-2018","total",100,0
2,"18-24","male","2017-2018","met_guidelines",23,0
2,"18-24","male","2017-2018","did_not_meet_guidelines",72.5,0
2,"18-24","male","2017-2018","total",100,0
3,"18-24","male","2017-2018","met_guidelines",18.9,0
3,"18-24","male","2017-2018","did_not_meet_guidelines",80.4,0
3,"18-24","male","2017-2018","total",100,0
4,"18-24","male","2017-2018","met_guidelines",37,1
4,"18-24","male","2017-2018","did_not_meet_guidelines",74.4,1
4,"18-24","male","2017-2018","total",100,0
5,"18-24","male","2017-2018","met_guidelines",41.2,1
5,"18-24","male","2017-2018","did_not_meet_guidelines",64.8,1
5,"18-24","male","2017-2018","total",100,0
6,"18-24","male","2017-2018","met_guidelines",22.7,1
6,"18-24","male","2017-2018","did_not_meet_guidelines",76.4,1
6,"18-24","male","2017-2018","total",100,0
7,"18-24","male","2017-2018","met_guidelines",17.3,1
7,"18-24","male","2017-2018","did_not_meet_guidelines",76,1
7,"18-24","male","2017-2018","total",100,0
8,"18-24","male","2017-2018","met_guidelines",31.9,1
8,"18-24","male","2017-2018","did_not_meet_guidelines",71.9,1
8,"18-24","male","2017-2018","total",100,0
1,"18-24","female","2017-2018","met_guidelines",23.8,0
1,"18-24","female","2017-2018","did_not_meet_guidelines",83.8,0
1,"18-24","female","2017-2018","total",100,0
2,"18-24","female","2017-2018","met_guidelines",22.5,0
2,"18-24","female","2017-2018","did_not_meet_guidelines",77.4,0
2,"18-24","female","2017-2018","total",100,0
3,"18-24","female","2017-2018","met_guidelines",21.6,0
3,"18-24","female","2017-2018","did_not_meet_guidelines",82.4,0
3,"18-24","female","2017-2018","total",100,0
4,"18-24","female","2017-2018","met_guidelines",19.2,1
4,"18-24","female","2017-2018","did_not_meet_guidelines",82.2,1
4,"18-24","female","2017-2018","total",100,0
5,"18-24","female","2017-2018","met_guidelines",21.3,1
5,"18-24","female","2017-2018","did_not_meet_guidelines",84.4,1
5,"18-24","female","2017-2018","total",100,0
6,"18-24","female","2017-2018","met_guidelines",19.9,1
6,"18-24","female","2017-2018","did_not_meet_guidelines",86.1,1
6,"18-24","female","2017-2018","total",100,0
7,"18-24","female","2017-2018","met_guidelines",36.5,1
7,"18-24","female","2017-2018","did_not_meet_guidelines",71.4,1
7,"18-24","female","2017-2018","total",100,0
8,"18-24","female","2017-2018","met_guidelines",12.4,1
8,"18-24","female","2017-2018","did_not_meet_guidelines",81.4,1
8,"18-24","female","2017-2018","total",100,0
