"STE_CODE16","age_group","sex","year_range","2014_PA_guidelines_exercise_only","p","uncertainty"
1,"18-24","male","2017-2018","met_guidelines",20.4,0
1,"18-24","male","2017-2018","did_not_meet_guidelines",77.4,0
1,"18-24","male","2017-2018","total",100,0
2,"18-24","male","2017-2018","met_guidelines",19.5,0
2,"18-24","male","2017-2018","did_not_meet_guidelines",78.6,0
2,"18-24","male","2017-2018","total",100,0
3,"18-24","male","2017-2018","met_guidelines",15.5,0
3,"18-24","male","2017-2018","did_not_meet_guidelines",82.1,0
3,"18-24","male","2017-2018","total",100,0
4,"18-24","male","2017-2018","met_guidelines",29.9,1
4,"18-24","male","2017-2018","did_not_meet_guidelines",71.8,1
4,"18-24","male","2017-2018","total",100,0
5,"18-24","male","2017-2018","met_guidelines",32,1
5,"18-24","male","2017-2018","did_not_meet_guidelines",66,1
5,"18-24","male","2017-2018","total",100,0
6,"18-24","male","2017-2018","met_guidelines",17.2,1
6,"18-24","male","2017-2018","did_not_meet_guidelines",85.4,1
6,"18-24","male","2017-2018","total",100,0
7,"18-24","male","2017-2018","met_guidelines",17.3,1
7,"18-24","male","2017-2018","did_not_meet_guidelines",76,1
7,"18-24","male","2017-2018","total",100,0
8,"18-24","male","2017-2018","met_guidelines",29.7,1
8,"18-24","male","2017-2018","did_not_meet_guidelines",71.4,1
8,"18-24","male","2017-2018","total",100,0
1,"18-24","female","2017-2018","met_guidelines",22.6,0
1,"18-24","female","2017-2018","did_not_meet_guidelines",83.1,0
1,"18-24","female","2017-2018","total",100,0
2,"18-24","female","2017-2018","met_guidelines",21.4,0
2,"18-24","female","2017-2018","did_not_meet_guidelines",76.7,0
2,"18-24","female","2017-2018","total",100,0
3,"18-24","female","2017-2018","met_guidelines",16.9,0
3,"18-24","female","2017-2018","did_not_meet_guidelines",82.1,0
3,"18-24","female","2017-2018","total",100,0
4,"18-24","female","2017-2018","met_guidelines",19.2,1
4,"18-24","female","2017-2018","did_not_meet_guidelines",82.2,1
4,"18-24","female","2017-2018","total",100,0
5,"18-24","female","2017-2018","met_guidelines",24.4,1
5,"18-24","female","2017-2018","did_not_meet_guidelines",84.7,1
5,"18-24","female","2017-2018","total",100,0
6,"18-24","female","2017-2018","met_guidelines",11.4,1
6,"18-24","female","2017-2018","did_not_meet_guidelines",91,1
6,"18-24","female","2017-2018","total",100,0
7,"18-24","female","2017-2018","met_guidelines",25.4,1
7,"18-24","female","2017-2018","did_not_meet_guidelines",76.2,1
7,"18-24","female","2017-2018","total",100,0
8,"18-24","female","2017-2018","met_guidelines",12.4,1
8,"18-24","female","2017-2018","did_not_meet_guidelines",81.4,1
8,"18-24","female","2017-2018","total",100,0
