"STE_CODE16","age_group","sex","year_range","days_PA_last_week","p","uncertainty"
1,"18-24","male","2017-2018","none",2.2,1
1,"18-24","male","2017-2018","1–4",34.2,1
1,"18-24","male","2017-2018","5–6",40.1,1
1,"18-24","male","2017-2018","7",21.5,1
1,"18-24","male","2017-2018","5_or_more",62.7,1
1,"18-24","male","2017-2018","total",100,0
2,"18-24","male","2017-2018","none",5.8,0
2,"18-24","male","2017-2018","1–4",33.7,0
2,"18-24","male","2017-2018","5–6",33.8,0
2,"18-24","male","2017-2018","7",29,0
2,"18-24","male","2017-2018","5_or_more",59.2,0
2,"18-24","male","2017-2018","total",100,0
3,"18-24","male","2017-2018","none",9.4,0
3,"18-24","male","2017-2018","1–4",39.3,1
3,"18-24","male","2017-2018","5–6",34.9,1
3,"18-24","male","2017-2018","7",20.4,0
3,"18-24","male","2017-2018","5_or_more",54.6,1
3,"18-24","male","2017-2018","total",100,0
4,"18-24","male","2017-2018","none",0,0
4,"18-24","male","2017-2018","1–4",30.6,1
4,"18-24","male","2017-2018","5–6",50.8,1
4,"18-24","male","2017-2018","7",26.7,1
4,"18-24","male","2017-2018","5_or_more",75.9,1
4,"18-24","male","2017-2018","total",100,0
5,"18-24","male","2017-2018","none",5.9,1
5,"18-24","male","2017-2018","1–4",38.6,1
5,"18-24","male","2017-2018","5–6",34.6,1
5,"18-24","male","2017-2018","7",29,1
5,"18-24","male","2017-2018","5_or_more",62.8,1
5,"18-24","male","2017-2018","total",100,0
6,"18-24","male","2017-2018","none",8.6,1
6,"18-24","male","2017-2018","1–4",34.8,1
6,"18-24","male","2017-2018","5–6",28.8,1
6,"18-24","male","2017-2018","7",31.3,1
6,"18-24","male","2017-2018","5_or_more",53.2,1
6,"18-24","male","2017-2018","total",100,0
7,"18-24","male","2017-2018","none",0,0
7,"18-24","male","2017-2018","1–4",26.7,1
7,"18-24","male","2017-2018","5–6",42.7,1
7,"18-24","male","2017-2018","7",33.3,1
7,"18-24","male","2017-2018","5_or_more",66.7,1
7,"18-24","male","2017-2018","total",100,0
8,"18-24","male","2017-2018","none",10.8,1
8,"18-24","male","2017-2018","1–4",40,1
8,"18-24","male","2017-2018","5–6",42.2,1
8,"18-24","male","2017-2018","7",19.5,1
8,"18-24","male","2017-2018","5_or_more",53,1
8,"18-24","male","2017-2018","total",100,0
1,"18-24","female","2017-2018","none",3.8,1
1,"18-24","female","2017-2018","1–4",35.9,1
1,"18-24","female","2017-2018","5–6",36.8,1
1,"18-24","female","2017-2018","7",28.3,1
1,"18-24","female","2017-2018","5_or_more",65.9,1
1,"18-24","female","2017-2018","total",100,0
2,"18-24","female","2017-2018","none",4.3,1
2,"18-24","female","2017-2018","1–4",34.3,1
2,"18-24","female","2017-2018","5–6",28.3,1
2,"18-24","female","2017-2018","7",22,0
2,"18-24","female","2017-2018","5_or_more",57.1,1
2,"18-24","female","2017-2018","total",100,0
3,"18-24","female","2017-2018","none",16.4,0
3,"18-24","female","2017-2018","1–4",37.3,1
3,"18-24","female","2017-2018","5–6",29.8,0
3,"18-24","female","2017-2018","7",19.9,0
3,"18-24","female","2017-2018","5_or_more",51.4,0
3,"18-24","female","2017-2018","total",100,0
4,"18-24","female","2017-2018","none",14.3,1
4,"18-24","female","2017-2018","1–4",56.9,1
4,"18-24","female","2017-2018","5–6",23.8,1
4,"18-24","female","2017-2018","7",17.3,1
4,"18-24","female","2017-2018","5_or_more",35.6,1
4,"18-24","female","2017-2018","total",100,0
5,"18-24","female","2017-2018","none",9,1
5,"18-24","female","2017-2018","1–4",42.7,1
5,"18-24","female","2017-2018","5–6",35,1
5,"18-24","female","2017-2018","7",16.7,1
5,"18-24","female","2017-2018","5_or_more",43.1,1
6,"18-24","female","2017-2018","none",25.4,1
6,"18-24","female","2017-2018","1–4",31.3,1
6,"18-24","female","2017-2018","5–6",32.8,1
6,"18-24","female","2017-2018","7",18.4,1
6,"18-24","female","2017-2018","5_or_more",47.3,1
6,"18-24","female","2017-2018","total",100,0
7,"18-24","female","2017-2018","none",15.9,1
7,"18-24","female","2017-2018","1–4",30.2,1
7,"18-24","female","2017-2018","5–6",36.5,1
7,"18-24","female","2017-2018","7",27,1
7,"18-24","female","2017-2018","5_or_more",61.9,1
7,"18-24","female","2017-2018","total",100,0
8,"18-24","female","2017-2018","none",6.7,1
8,"18-24","female","2017-2018","1–4",40.7,1
8,"18-24","female","2017-2018","5–6",26.3,1
8,"18-24","female","2017-2018","7",22.7,1
8,"18-24","female","2017-2018","5_or_more",55.2,1
8,"18-24","female","2017-2018","total",100,0
