"STE_CODE16","age_group","sex","year_range","min_PA_last_week","p","uncertainty"
1,"18-24","male","2017-2018","0_minutes",2.2,1
1,"18-24","male","2017-2018","between_1_and_149_minutes",11.1,0
1,"18-24","male","2017-2018","between_150_and_300_minutes",12,0
1,"18-24","male","2017-2018","more_than_300_minutes",64.5,1
1,"18-24","male","2017-2018","total_150_minutes_or_more",81.1,0
1,"18-24","male","2017-2018","total",100,0
2,"18-24","male","2017-2018","0_minutes",5.8,0
2,"18-24","male","2017-2018","between_1_and_149_minutes",12.8,0
2,"18-24","male","2017-2018","between_150_and_300_minutes",15.9,0
2,"18-24","male","2017-2018","more_than_300_minutes",63.3,1
2,"18-24","male","2017-2018","total_150_minutes_or_more",81,0
2,"18-24","male","2017-2018","total",100,0
3,"18-24","male","2017-2018","0_minutes",9.4,0
3,"18-24","male","2017-2018","between_1_and_149_minutes",23.7,0
3,"18-24","male","2017-2018","between_150_and_300_minutes",9.3,0
3,"18-24","male","2017-2018","more_than_300_minutes",58.2,0
3,"18-24","male","2017-2018","total_150_minutes_or_more",70.8,0
3,"18-24","male","2017-2018","total",100,0
4,"18-24","male","2017-2018","0_minutes",0,0
4,"18-24","male","2017-2018","between_1_and_149_minutes",21.7,1
4,"18-24","male","2017-2018","between_150_and_300_minutes",27.3,1
4,"18-24","male","2017-2018","more_than_300_minutes",62.9,1
4,"18-24","male","2017-2018","total_150_minutes_or_more",76,1
4,"18-24","male","2017-2018","total",100,0
5,"18-24","male","2017-2018","0_minutes",5.9,1
5,"18-24","male","2017-2018","between_1_and_149_minutes",6.7,1
5,"18-24","male","2017-2018","between_150_and_300_minutes",6,1
5,"18-24","male","2017-2018","more_than_300_minutes",88.8,1
5,"18-24","male","2017-2018","total_150_minutes_or_more",91.5,1
5,"18-24","male","2017-2018","total",100,0
6,"18-24","male","2017-2018","0_minutes",8.6,1
6,"18-24","male","2017-2018","between_1_and_149_minutes",17.2,1
6,"18-24","male","2017-2018","between_150_and_300_minutes",9.4,0
6,"18-24","male","2017-2018","more_than_300_minutes",60.1,1
6,"18-24","male","2017-2018","total_150_minutes_or_more",62.7,1
6,"18-24","male","2017-2018","total",100,0
7,"18-24","male","2017-2018","0_minutes",0,0
7,"18-24","male","2017-2018","between_1_and_149_minutes",17.3,1
7,"18-24","male","2017-2018","between_150_and_300_minutes",17.3,1
7,"18-24","male","2017-2018","more_than_300_minutes",72,1
7,"18-24","male","2017-2018","total_150_minutes_or_more",81.3,1
7,"18-24","male","2017-2018","total",100,0
8,"18-24","male","2017-2018","0_minutes",10.8,1
8,"18-24","male","2017-2018","between_1_and_149_minutes",24.3,1
8,"18-24","male","2017-2018","between_150_and_300_minutes",17.8,1
8,"18-24","male","2017-2018","more_than_300_minutes",60,1
8,"18-24","male","2017-2018","total_150_minutes_or_more",60,1
8,"18-24","male","2017-2018","total",100,0
1,"18-24","female","2017-2018","0_minutes",3.8,1
1,"18-24","female","2017-2018","between_1_and_149_minutes",15.7,0
1,"18-24","female","2017-2018","between_150_and_300_minutes",24.8,1
1,"18-24","female","2017-2018","more_than_300_minutes",55.7,1
1,"18-24","female","2017-2018","total_150_minutes_or_more",80.3,0
1,"18-24","female","2017-2018","total",100,0
2,"18-24","female","2017-2018","0_minutes",4.3,1
2,"18-24","female","2017-2018","between_1_and_149_minutes",21.8,0
2,"18-24","female","2017-2018","between_150_and_300_minutes",20.3,1
2,"18-24","female","2017-2018","more_than_300_minutes",45.9,1
2,"18-24","female","2017-2018","total_150_minutes_or_more",70.8,0
2,"18-24","female","2017-2018","total",100,0
3,"18-24","female","2017-2018","0_minutes",16.4,0
3,"18-24","female","2017-2018","between_1_and_149_minutes",27.3,1
3,"18-24","female","2017-2018","between_150_and_300_minutes",14.7,0
3,"18-24","female","2017-2018","more_than_300_minutes",43.4,1
3,"18-24","female","2017-2018","total_150_minutes_or_more",57.2,0
3,"18-24","female","2017-2018","total",100,0
4,"18-24","female","2017-2018","0_minutes",14.3,1
4,"18-24","female","2017-2018","between_1_and_149_minutes",15.7,1
4,"18-24","female","2017-2018","between_150_and_300_minutes",17.8,1
4,"18-24","female","2017-2018","more_than_300_minutes",60.1,1
