"STE_CODE16","age_group","sex","year_range","min_exercise_last_week","p","uncertainty"
1,"18-24","male","2017-2018","0_minutes",7,0
1,"18-24","male","2017-2018","between_1_and_149_minutes",25.3,1
1,"18-24","male","2017-2018","between_150_and_300_minutes",22.1,1
1,"18-24","male","2017-2018","more_than_300_minutes",49.6,1
1,"18-24","male","2017-2018","total_150_minutes_or_more",66.1,1
1,"18-24","male","2017-2018","total",100,0
2,"18-24","male","2017-2018","0_minutes",8.7,0
2,"18-24","male","2017-2018","between_1_and_149_minutes",23.4,0
2,"18-24","male","2017-2018","between_150_and_300_minutes",17.9,0
2,"18-24","male","2017-2018","more_than_300_minutes",47.3,1
2,"18-24","male","2017-2018","total_150_minutes_or_more",72.6,1
2,"18-24","male","2017-2018","total",100,0
3,"18-24","male","2017-2018","0_minutes",13.1,0
3,"18-24","male","2017-2018","between_1_and_149_minutes",24.9,0
3,"18-24","male","2017-2018","between_150_and_300_minutes",15.8,0
3,"18-24","male","2017-2018","more_than_300_minutes",38.4,0
3,"18-24","male","2017-2018","total_150_minutes_or_more",57.4,0
3,"18-24","male","2017-2018","total",100,0
4,"18-24","male","2017-2018","0_minutes",2.3,1
4,"18-24","male","2017-2018","between_1_and_149_minutes",23.6,1
4,"18-24","male","2017-2018","between_150_and_300_minutes",29.1,1
4,"18-24","male","2017-2018","more_than_300_minutes",44.8,1
4,"18-24","male","2017-2018","total_150_minutes_or_more",70.4,1
4,"18-24","male","2017-2018","total",100,0
5,"18-24","male","2017-2018","0_minutes",4.5,1
5,"18-24","male","2017-2018","between_1_and_149_minutes",24.4,1
5,"18-24","male","2017-2018","between_150_and_300_minutes",10.3,0
5,"18-24","male","2017-2018","more_than_300_minutes",63.9,1
5,"18-24","male","2017-2018","total_150_minutes_or_more",69.4,1
5,"18-24","male","2017-2018","total",100,0
6,"18-24","male","2017-2018","0_minutes",9,1
6,"18-24","male","2017-2018","between_1_and_149_minutes",26.6,1
6,"18-24","male","2017-2018","between_150_and_300_minutes",15.5,1
6,"18-24","male","2017-2018","more_than_300_minutes",39.9,1
6,"18-24","male","2017-2018","total_150_minutes_or_more",53.6,1
6,"18-24","male","2017-2018","total",100,0
7,"18-24","male","2017-2018","0_minutes",10.7,1
7,"18-24","male","2017-2018","between_1_and_149_minutes",18.7,1
7,"18-24","male","2017-2018","between_150_and_300_minutes",17.3,1
7,"18-24","male","2017-2018","more_than_300_minutes",28,1
7,"18-24","male","2017-2018","total_150_minutes_or_more",62.7,1
7,"18-24","male","2017-2018","total",100,0
8,"18-24","male","2017-2018","0_minutes",23.2,1
8,"18-24","male","2017-2018","between_1_and_149_minutes",30.8,1
8,"18-24","male","2017-2018","between_150_and_300_minutes",23.8,1
8,"18-24","male","2017-2018","more_than_300_minutes",33,1
8,"18-24","male","2017-2018","total_150_minutes_or_more",56.8,1
8,"18-24","male","2017-2018","total",100,0
1,"18-24","female","2017-2018","0_minutes",3.2,1
1,"18-24","female","2017-2018","between_1_and_149_minutes",30.3,1
1,"18-24","female","2017-2018","between_150_and_300_minutes",23.4,0
1,"18-24","female","2017-2018","more_than_300_minutes",39.5,1
1,"18-24","female","2017-2018","total_150_minutes_or_more",62.6,1
1,"18-24","female","2017-2018","total",100,0
2,"18-24","female","2017-2018","0_minutes",4.3,1
2,"18-24","female","2017-2018","between_1_and_149_minutes",22.3,0
2,"18-24","female","2017-2018","between_150_and_300_minutes",30.8,1
2,"18-24","female","2017-2018","more_than_300_minutes",37.2,1
2,"18-24","female","2017-2018","total_150_minutes_or_more",62.4,0
2,"18-24","female","2017-2018","total",100,0
3,"18-24","female","2017-2018","0_minutes",14.4,0
3,"18-24","female","2017-2018","between_1_and_149_minutes",31,1
3,"18-24","female","2017-2018","between_150_and_300_minutes",14.9,0
3,"18-24","female","2017-2018","more_than_300_minutes",33.3,0
3,"18-24","female","2017-2018","total_150_minutes_or_more",48.3,0
3,"18-24","female","2017-2018","total",100,0
4,"18-24","female","2017-2018","0_minutes",14.3,1
4,"18-24","female","2017-2018","between_1_and_149_minutes",29,1
4,"18-24","female","2017-2018","between_150_and_300_minutes",23.8,1
4,"18-24","female","2017-2018","more_than_300_minutes",53.5,1
4,"18-24","female","2017-2018","total_150_minutes_or_more",75.1,1
4,"18-24","female","2017-2018","total",100,0
5,"18-24","female","2017-2018","0_minutes",9.1,1
5,"18-24","female","2017-2018","between_1_and_149_minutes",31.2,1
5,"18-24","female","2017-2018","between_150_and_300_minutes",32.8,1
5,"18-24","female","2017-2018","more_than_300_minutes",33.9,1
5,"18-24","female","2017-2018","total_150_minutes_or_more",66.3,1
5,"18-24","female","2017-2018","total",100,0
6,"18-24","female","2017-2018","0_minutes",16.4,1
6,"18-24","female","2017-2018","between_1_and_149_minutes",29.4,1
6,"18-24","female","2017-2018","between_150_and_300_minutes",25.9,1
6,"18-24","female","2017-2018","more_than_300_minutes",29.4,1
6,"18-24","female","2017-2018","total_150_minutes_or_more",55.2,1
6,"18-24","female","2017-2018","total",100,0
7,"18-24","female","2017-2018","0_minutes",17.5,1
7,"18-24","female","2017-2018","between_1_and_149_minutes",30.2,1
7,"18-24","female","2017-2018","between_150_and_300_minutes",28.6,1
7,"18-24","female","2017-2018","more_than_300_minutes",34.9,1
7,"18-24","female","2017-2018","total_150_minutes_or_more",68.3,1
8,"18-24","female","2017-2018","0_minutes",6.7,1
8,"18-24","female","2017-2018","between_1_and_149_minutes",27.8,1
8,"18-24","female","2017-2018","between_150_and_300_minutes",27.3,1
8,"18-24","female","2017-2018","more_than_300_minutes",42.8,1
8,"18-24","female","2017-2018","total_150_minutes_or_more",61.9,1
8,"18-24","female","2017-2018","total",100,0
