"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","14-15","Year 9",2008,"Reading",591.1
10050,"all","14-15","Year 9",2009,"Reading",589.8
10050,"all","14-15","Year 9",2010,"Reading",586.9
10050,"all","14-15","Year 9",2011,"Reading",584.4
10050,"all","14-15","Year 9",2012,"Reading",575
10050,"all","14-15","Year 9",2013,"Reading",582.5
10050,"all","14-15","Year 9",2014,"Reading",575.6
10050,"all","14-15","Year 9",2015,"Reading",579.6
10050,"all","14-15","Year 9",2016,"Reading",577.9
10050,"all","14-15","Year 9",2017,"Reading",583.1
10050,"all","14-15","Year 9",2018,"Reading",576
10050,"all","14-15","Year 9",2019,"Reading",564.3
10050,"all","14-15","Year 9",2021,"Reading",564.3
10130,"all","14-15","Year 9",2008,"Reading",601.6
10130,"all","14-15","Year 9",2009,"Reading",597.2
10130,"all","14-15","Year 9",2010,"Reading",589.8
10130,"all","14-15","Year 9",2011,"Reading",587.7
10130,"all","14-15","Year 9",2012,"Reading",596.5
10130,"all","14-15","Year 9",2013,"Reading",585.4
10130,"all","14-15","Year 9",2014,"Reading",588.9
10130,"all","14-15","Year 9",2015,"Reading",585.8
10130,"all","14-15","Year 9",2016,"Reading",592.2
10130,"all","14-15","Year 9",2017,"Reading",589.5
10130,"all","14-15","Year 9",2018,"Reading",582
10130,"all","14-15","Year 9",2019,"Reading",583.1
10130,"all","14-15","Year 9",2021,"Reading",570.8
10250,"all","14-15","Year 9",2008,"Reading",584.9
10250,"all","14-15","Year 9",2009,"Reading",594.5
10250,"all","14-15","Year 9",2010,"Reading",589
10250,"all","14-15","Year 9",2011,"Reading",595
10250,"all","14-15","Year 9",2012,"Reading",585.9
10250,"all","14-15","Year 9",2013,"Reading",586
10250,"all","14-15","Year 9",2014,"Reading",583.2
10250,"all","14-15","Year 9",2015,"Reading",578.9
10250,"all","14-15","Year 9",2016,"Reading",580
10250,"all","14-15","Year 9",2017,"Reading",590.8
10250,"all","14-15","Year 9",2018,"Reading",585.5
10250,"all","14-15","Year 9",2019,"Reading",587.6
10250,"all","14-15","Year 9",2021,"Reading",575.6
10300,"all","14-15","Year 9",2008,"Reading",540
10300,"all","14-15","Year 9",2009,"Reading",574.9
10300,"all","14-15","Year 9",2010,"Reading",542.6
10300,"all","14-15","Year 9",2011,"Reading",591.6
10300,"all","14-15","Year 9",2012,"Reading",566.3
10300,"all","14-15","Year 9",2013,"Reading",550.2
10300,"all","14-15","Year 9",2014,"Reading",570.8
10300,"all","14-15","Year 9",2015,"Reading",532.3
10300,"all","14-15","Year 9",2016,"Reading",587.9
10300,"all","14-15","Year 9",2017,"Reading",550.6
10300,"all","14-15","Year 9",2018,"Reading",533.2
10300,"all","14-15","Year 9",2019,"Reading",548
10300,"all","14-15","Year 9",2021,"Reading",570
10470,"all","14-15","Year 9",2008,"Reading",582.7
10470,"all","14-15","Year 9",2009,"Reading",585.5
10470,"all","14-15","Year 9",2010,"Reading",580.9
10470,"all","14-15","Year 9",2011,"Reading",581.7
10470,"all","14-15","Year 9",2012,"Reading",576.4
10470,"all","14-15","Year 9",2013,"Reading",582.6
10470,"all","14-15","Year 9",2014,"Reading",577.5
10470,"all","14-15","Year 9",2015,"Reading",579
10470,"all","14-15","Year 9",2016,"Reading",579.8
10470,"all","14-15","Year 9",2017,"Reading",577.9
10470,"all","14-15","Year 9",2018,"Reading",588.1
10470,"all","14-15","Year 9",2019,"Reading",579.1
10470,"all","14-15","Year 9",2021,"Reading",565.3
