"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","10-11","Year 5",2011,"Writing",481.5
10050,"all","10-11","Year 5",2012,"Writing",459.1
10050,"all","10-11","Year 5",2013,"Writing",463.8
10050,"all","10-11","Year 5",2014,"Writing",456
10050,"all","10-11","Year 5",2015,"Writing",460.2
10050,"all","10-11","Year 5",2016,"Writing",457
10050,"all","10-11","Year 5",2017,"Writing",451.8
10050,"all","10-11","Year 5",2018,"Writing",446.2
10050,"all","10-11","Year 5",2019,"Writing",458.5
10050,"all","10-11","Year 5",2021,"Writing",469.2
10130,"all","10-11","Year 5",2011,"Writing",477.4
10130,"all","10-11","Year 5",2012,"Writing",481.7
10130,"all","10-11","Year 5",2013,"Writing",469.9
10130,"all","10-11","Year 5",2014,"Writing",448.6
10130,"all","10-11","Year 5",2015,"Writing",465.3
10130,"all","10-11","Year 5",2016,"Writing",459
10130,"all","10-11","Year 5",2017,"Writing",454.8
10130,"all","10-11","Year 5",2018,"Writing",442.1
10130,"all","10-11","Year 5",2019,"Writing",461.4
10130,"all","10-11","Year 5",2021,"Writing",450.9
10250,"all","10-11","Year 5",2011,"Writing",478.8
10250,"all","10-11","Year 5",2012,"Writing",473.8
10250,"all","10-11","Year 5",2013,"Writing",469.3
10250,"all","10-11","Year 5",2014,"Writing",461.5
10250,"all","10-11","Year 5",2015,"Writing",480.5
10250,"all","10-11","Year 5",2016,"Writing",473
10250,"all","10-11","Year 5",2017,"Writing",470.5
10250,"all","10-11","Year 5",2018,"Writing",461.6
10250,"all","10-11","Year 5",2019,"Writing",466.7
10250,"all","10-11","Year 5",2021,"Writing",483.8
10300,"all","10-11","Year 5",2011,"Writing",421
10300,"all","10-11","Year 5",2012,"Writing",453.7
10300,"all","10-11","Year 5",2013,"Writing",440.8
10300,"all","10-11","Year 5",2014,"Writing",432.6
10300,"all","10-11","Year 5",2015,"Writing",440.5
10300,"all","10-11","Year 5",2016,"Writing",454.9
10300,"all","10-11","Year 5",2017,"Writing",476.5
10300,"all","10-11","Year 5",2018,"Writing",456.5
10300,"all","10-11","Year 5",2019,"Writing",461.4
10300,"all","10-11","Year 5",2021,"Writing",438.1
10470,"all","10-11","Year 5",2011,"Writing",481.5
10470,"all","10-11","Year 5",2012,"Writing",474.8
10470,"all","10-11","Year 5",2013,"Writing",472.7
10470,"all","10-11","Year 5",2014,"Writing",461.6
10470,"all","10-11","Year 5",2015,"Writing",470.5
10470,"all","10-11","Year 5",2016,"Writing",465.5
10470,"all","10-11","Year 5",2017,"Writing",460.9
