"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","8-9","Year 3",2008,"Spelling",406.8
10050,"all","8-9","Year 3",2009,"Spelling",408.3
10050,"all","8-9","Year 3",2010,"Spelling",394.7
10050,"all","8-9","Year 3",2011,"Spelling",402.8
10050,"all","8-9","Year 3",2012,"Spelling",403.6
10050,"all","8-9","Year 3",2013,"Spelling",397
10050,"all","8-9","Year 3",2014,"Spelling",393.2
10050,"all","8-9","Year 3",2015,"Spelling",389
10050,"all","8-9","Year 3",2016,"Spelling",398.4
10050,"all","8-9","Year 3",2017,"Spelling",391.7
10050,"all","8-9","Year 3",2018,"Spelling",400.1
10050,"all","8-9","Year 3",2019,"Spelling",400.7
10050,"all","8-9","Year 3",2021,"Spelling",404.7
10130,"all","8-9","Year 3",2008,"Spelling",392.7
10130,"all","8-9","Year 3",2009,"Spelling",394.1
10130,"all","8-9","Year 3",2010,"Spelling",394
10130,"all","8-9","Year 3",2011,"Spelling",404.2
10130,"all","8-9","Year 3",2012,"Spelling",404.1
10130,"all","8-9","Year 3",2013,"Spelling",403.3
10130,"all","8-9","Year 3",2014,"Spelling",387.2
10130,"all","8-9","Year 3",2015,"Spelling",389.7
10130,"all","8-9","Year 3",2016,"Spelling",402.6
10130,"all","8-9","Year 3",2017,"Spelling",399.4
10130,"all","8-9","Year 3",2018,"Spelling",392.5
10130,"all","8-9","Year 3",2019,"Spelling",378.7
10130,"all","8-9","Year 3",2021,"Spelling",381.7
10250,"all","8-9","Year 3",2008,"Spelling",403.5
10250,"all","8-9","Year 3",2009,"Spelling",405.3
10250,"all","8-9","Year 3",2010,"Spelling",394.9
10250,"all","8-9","Year 3",2011,"Spelling",411.7
10250,"all","8-9","Year 3",2012,"Spelling",417.2
10250,"all","8-9","Year 3",2013,"Spelling",414.2
10250,"all","8-9","Year 3",2014,"Spelling",412.3
10250,"all","8-9","Year 3",2015,"Spelling",412.1
10250,"all","8-9","Year 3",2016,"Spelling",412.9
10250,"all","8-9","Year 3",2017,"Spelling",416.7
10250,"all","8-9","Year 3",2018,"Spelling",410.6
10250,"all","8-9","Year 3",2019,"Spelling",412.8
10250,"all","8-9","Year 3",2021,"Spelling",426.8
10300,"all","8-9","Year 3",2008,"Spelling",381.2
10300,"all","8-9","Year 3",2009,"Spelling",373.8
10300,"all","8-9","Year 3",2010,"Spelling",370.3
10300,"all","8-9","Year 3",2011,"Spelling",375.8
10300,"all","8-9","Year 3",2012,"Spelling",354.7
10300,"all","8-9","Year 3",2013,"Spelling",384.5
10300,"all","8-9","Year 3",2014,"Spelling",366.7
10300,"all","8-9","Year 3",2015,"Spelling",399.6
10300,"all","8-9","Year 3",2016,"Spelling",397.4
10300,"all","8-9","Year 3",2017,"Spelling",407
10300,"all","8-9","Year 3",2018,"Spelling",389.4
10300,"all","8-9","Year 3",2019,"Spelling",379.5
10300,"all","8-9","Year 3",2021,"Spelling",385.4
10470,"all","8-9","Year 3",2008,"Spelling",399.2
10470,"all","8-9","Year 3",2009,"Spelling",412.4
10470,"all","8-9","Year 3",2010,"Spelling",401.3
10470,"all","8-9","Year 3",2011,"Spelling",409.8
10470,"all","8-9","Year 3",2012,"Spelling",417.6
10470,"all","8-9","Year 3",2013,"Spelling",404.1
10470,"all","8-9","Year 3",2014,"Spelling",400.4
10470,"all","8-9","Year 3",2015,"Spelling",399.5
10470,"all","8-9","Year 3",2016,"Spelling",412.1
10470,"all","8-9","Year 3",2017,"Spelling",412.7
10470,"all","8-9","Year 3",2018,"Spelling",411.6
10470,"all","8-9","Year 3",2019,"Spelling",406.8
10470,"all","8-9","Year 3",2021,"Spelling",410.5
10550,"all","8-9","Year 3",2008,"Spelling",394
10550,"all","8-9","Year 3",2009,"Spelling",395.5
10550,"all","8-9","Year 3",2010,"Spelling",396
10550,"all","8-9","Year 3",2011,"Spelling",398
10550,"all","8-9","Year 3",2012,"Spelling",397.5
10550,"all","8-9","Year 3",2013,"Spelling",389.5
10550,"all","8-9","Year 3",2014,"Spelling",390.3
10550,"all","8-9","Year 3",2015,"Spelling",393.6
10550,"all","8-9","Year 3",2016,"Spelling",392.1
10550,"all","8-9","Year 3",2017,"Spelling",391.8
10550,"all","8-9","Year 3",2018,"Spelling",396
10550,"all","8-9","Year 3",2019,"Spelling",388.6
10550,"all","8-9","Year 3",2021,"Spelling",397.9
10600,"all","8-9","Year 3",2008,"Spelling",413.6
10600,"all","8-9","Year 3",2009,"Spelling",410.3
10600,"all","8-9","Year 3",2010,"Spelling",378.2
10600,"all","8-9","Year 3",2011,"Spelling",407.2
10600,"all","8-9","Year 3",2012,"Spelling",393.3
10600,"all","8-9","Year 3",2013,"Spelling",386.3
10600,"all","8-9","Year 3",2014,"Spelling",380.5
10600,"all","8-9","Year 3",2015,"Spelling",410.1
10600,"all","8-9","Year 3",2016,"Spelling",400.5
10600,"all","8-9","Year 3",2017,"Spelling",384.5
10600,"all","8-9","Year 3",2018,"Spelling",397
10600,"all","8-9","Year 3",2019,"Spelling",379.7
10600,"all","8-9","Year 3",2021,"Spelling",396.8
10650,"all","8-9","Year 3",2008,"Spelling",432.3
10650,"all","8-9","Year 3",2009,"Spelling",404.3
10650,"all","8-9","Year 3",2010,"Spelling",381.5
10650,"all","8-9","Year 3",2011,"Spelling",395.1
10650,"all","8-9","Year 3",2012,"Spelling",410.5
10650,"all","8-9","Year 3",2013,"Spelling",411.3
10650,"all","8-9","Year 3",2014,"Spelling",378.3
10650,"all","8-9","Year 3",2015,"Spelling",388.1
10650,"all","8-9","Year 3",2016,"Spelling",390.7
10650,"all","8-9","Year 3",2017,"Spelling",407.7
10650,"all","8-9","Year 3",2018,"Spelling",405.6
10650,"all","8-9","Year 3",2019,"Spelling",400.3
10650,"all","8-9","Year 3",2021,"Spelling",431.6
10750,"all","8-9","Year 3",2008,"Spelling",409
10750,"all","8-9","Year 3",2009,"Spelling",416.5
10750,"all","8-9","Year 3",2010,"Spelling",407
10750,"all","8-9","Year 3",2011,"Spelling",410.7
10750,"all","8-9","Year 3",2012,"Spelling",425.3
10750,"all","8-9","Year 3",2013,"Spelling",419.4
10750,"all","8-9","Year 3",2014,"Spelling",423.3
10750,"all","8-9","Year 3",2015,"Spelling",411.1
10750,"all","8-9","Year 3",2016,"Spelling",425.2
10750,"all","8-9","Year 3",2017,"Spelling",427.2
10750,"all","8-9","Year 3",2018,"Spelling",427.9
10750,"all","8-9","Year 3",2019,"Spelling",433.5
10750,"all","8-9","Year 3",2021,"Spelling",438.4
10800,"all","8-9","Year 3",2008,"Spelling",382
10800,"all","8-9","Year 3",2009,"Spelling",392.5
10800,"all","8-9","Year 3",2010,"Spelling",395.3
10800,"all","8-9","Year 3",2011,"Spelling",407.3
10800,"all","8-9","Year 3",2012,"Spelling",399
10800,"all","8-9","Year 3",2013,"Spelling",401.9
10800,"all","8-9","Year 3",2014,"Spelling",385.6
10800,"all","8-9","Year 3",2015,"Spelling",406
10800,"all","8-9","Year 3",2016,"Spelling",388.5
10800,"all","8-9","Year 3",2017,"Spelling",401.4
10800,"all","8-9","Year 3",2018,"Spelling",395.5
10800,"all","8-9","Year 3",2019,"Spelling",387.1
10800,"all","8-9","Year 3",2021,"Spelling",398.5
10850,"all","8-9","Year 3",2008,"Spelling",386.7
10850,"all","8-9","Year 3",2009,"Spelling",396.6
10850,"all","8-9","Year 3",2010,"Spelling",364.3
10850,"all","8-9","Year 3",2011,"Spelling",388.7
10850,"all","8-9","Year 3",2012,"Spelling",416.8
10850,"all","8-9","Year 3",2013,"Spelling",419.3
10850,"all","8-9","Year 3",2014,"Spelling",408.9
10850,"all","8-9","Year 3",2015,"Spelling",421.1
10850,"all","8-9","Year 3",2016,"Spelling",423.3
10850,"all","8-9","Year 3",2017,"Spelling",406.1
10850,"all","8-9","Year 3",2018,"Spelling",416.8
10850,"all","8-9","Year 3",2019,"Spelling",411.8
10850,"all","8-9","Year 3",2021,"Spelling",407.3
10900,"all","8-9","Year 3",2008,"Spelling",410.3
10900,"all","8-9","Year 3",2009,"Spelling",416.5
10900,"all","8-9","Year 3",2010,"Spelling",411.1
10900,"all","8-9","Year 3",2011,"Spelling",417.5
10900,"all","8-9","Year 3",2012,"Spelling",422
10900,"all","8-9","Year 3",2013,"Spelling",409.4
10900,"all","8-9","Year 3",2014,"Spelling",413.3
10900,"all","8-9","Year 3",2015,"Spelling",405.9
10900,"all","8-9","Year 3",2016,"Spelling",426.1
10900,"all","8-9","Year 3",2017,"Spelling",417.5
10900,"all","8-9","Year 3",2018,"Spelling",415.5
10900,"all","8-9","Year 3",2019,"Spelling",419.7
10900,"all","8-9","Year 3",2021,"Spelling",421.1
10950,"all","8-9","Year 3",2008,"Spelling",375.5
