"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","12-13","Year 7",2008,"Spelling",547.5
10050,"all","12-13","Year 7",2009,"Spelling",545.3
10050,"all","12-13","Year 7",2010,"Spelling",549.8
10050,"all","12-13","Year 7",2011,"Spelling",533.3
10050,"all","12-13","Year 7",2012,"Spelling",544.2
10050,"all","12-13","Year 7",2013,"Spelling",549.7
10050,"all","12-13","Year 7",2014,"Spelling",537
10050,"all","12-13","Year 7",2015,"Spelling",541.6
10050,"all","12-13","Year 7",2016,"Spelling",529.9
10050,"all","12-13","Year 7",2017,"Spelling",532.1
10050,"all","12-13","Year 7",2018,"Spelling",525.7
10050,"all","12-13","Year 7",2019,"Spelling",522.1
10050,"all","12-13","Year 7",2021,"Spelling",531.5
10130,"all","12-13","Year 7",2008,"Spelling",530.4
10130,"all","12-13","Year 7",2009,"Spelling",530.5
10130,"all","12-13","Year 7",2010,"Spelling",547.1
10130,"all","12-13","Year 7",2011,"Spelling",528.5
10130,"all","12-13","Year 7",2012,"Spelling",540.6
10130,"all","12-13","Year 7",2013,"Spelling",543.5
10130,"all","12-13","Year 7",2014,"Spelling",540.6
10130,"all","12-13","Year 7",2015,"Spelling",536.6
10130,"all","12-13","Year 7",2016,"Spelling",531.8
10130,"all","12-13","Year 7",2017,"Spelling",535
10130,"all","12-13","Year 7",2018,"Spelling",528.5
10130,"all","12-13","Year 7",2019,"Spelling",529.8
10130,"all","12-13","Year 7",2021,"Spelling",529
10250,"all","12-13","Year 7",2008,"Spelling",539.8
10250,"all","12-13","Year 7",2009,"Spelling",540.5
10250,"all","12-13","Year 7",2010,"Spelling",546.9
10250,"all","12-13","Year 7",2011,"Spelling",538.5
10250,"all","12-13","Year 7",2012,"Spelling",543.8
10250,"all","12-13","Year 7",2013,"Spelling",548.6
10250,"all","12-13","Year 7",2014,"Spelling",533.2
10250,"all","12-13","Year 7",2015,"Spelling",543.8
10250,"all","12-13","Year 7",2016,"Spelling",535
10250,"all","12-13","Year 7",2017,"Spelling",552.7
10250,"all","12-13","Year 7",2018,"Spelling",548.2
10250,"all","12-13","Year 7",2019,"Spelling",552.2
10250,"all","12-13","Year 7",2021,"Spelling",544.7
10300,"all","12-13","Year 7",2008,"Spelling",522.9
10300,"all","12-13","Year 7",2009,"Spelling",529.5
10300,"all","12-13","Year 7",2010,"Spelling",530.7
10300,"all","12-13","Year 7",2011,"Spelling",523.8
10300,"all","12-13","Year 7",2012,"Spelling",520.4
10300,"all","12-13","Year 7",2013,"Spelling",499.9
10300,"all","12-13","Year 7",2014,"Spelling",521.8
10300,"all","12-13","Year 7",2015,"Spelling",526.9
10300,"all","12-13","Year 7",2016,"Spelling",493.2
10300,"all","12-13","Year 7",2017,"Spelling",536.1
10300,"all","12-13","Year 7",2018,"Spelling",535
10300,"all","12-13","Year 7",2019,"Spelling",542.1
10300,"all","12-13","Year 7",2021,"Spelling",536.3
10470,"all","12-13","Year 7",2008,"Spelling",542.8
10470,"all","12-13","Year 7",2009,"Spelling",539.4
10470,"all","12-13","Year 7",2010,"Spelling",538.2
10470,"all","12-13","Year 7",2011,"Spelling",532.4
10470,"all","12-13","Year 7",2012,"Spelling",541.8
10470,"all","12-13","Year 7",2013,"Spelling",553
10470,"all","12-13","Year 7",2014,"Spelling",542.5
10470,"all","12-13","Year 7",2015,"Spelling",542.8
10470,"all","12-13","Year 7",2016,"Spelling",543.7
10470,"all","12-13","Year 7",2017,"Spelling",552.3
10470,"all","12-13","Year 7",2018,"Spelling",541.2
10470,"all","12-13","Year 7",2019,"Spelling",538.5
10470,"all","12-13","Year 7",2021,"Spelling",542.4
10550,"all","12-13","Year 7",2008,"Spelling",524.6
10550,"all","12-13","Year 7",2009,"Spelling",529.8
10550,"all","12-13","Year 7",2010,"Spelling",531.8
10550,"all","12-13","Year 7",2011,"Spelling",523.9
10550,"all","12-13","Year 7",2012,"Spelling",520.9
10550,"all","12-13","Year 7",2013,"Spelling",530
10550,"all","12-13","Year 7",2014,"Spelling",533.5
10550,"all","12-13","Year 7",2015,"Spelling",534.4
10550,"all","12-13","Year 7",2016,"Spelling",521.2
10550,"all","12-13","Year 7",2017,"Spelling",522
10550,"all","12-13","Year 7",2018,"Spelling",530.5
10550,"all","12-13","Year 7",2019,"Spelling",526.1
10550,"all","12-13","Year 7",2021,"Spelling",527.1
10600,"all","12-13","Year 7",2008,"Spelling",532.7
10600,"all","12-13","Year 7",2009,"Spelling",524
10600,"all","12-13","Year 7",2010,"Spelling",536.4
10600,"all","12-13","Year 7",2011,"Spelling",533
10600,"all","12-13","Year 7",2012,"Spelling",546
10600,"all","12-13","Year 7",2013,"Spelling",532.8
10600,"all","12-13","Year 7",2014,"Spelling",520.2
10600,"all","12-13","Year 7",2015,"Spelling",532.3
10600,"all","12-13","Year 7",2016,"Spelling",527
10600,"all","12-13","Year 7",2017,"Spelling",529.8
10600,"all","12-13","Year 7",2018,"Spelling",522.8
10600,"all","12-13","Year 7",2019,"Spelling",539.6
10600,"all","12-13","Year 7",2021,"Spelling",528.3
10650,"all","12-13","Year 7",2008,"Spelling",534.8
10650,"all","12-13","Year 7",2009,"Spelling",520
10650,"all","12-13","Year 7",2010,"Spelling",536.9
10650,"all","12-13","Year 7",2011,"Spelling",515.5
10650,"all","12-13","Year 7",2012,"Spelling",538.8
10650,"all","12-13","Year 7",2013,"Spelling",527.8
10650,"all","12-13","Year 7",2014,"Spelling",525
10650,"all","12-13","Year 7",2015,"Spelling",519.8
10650,"all","12-13","Year 7",2016,"Spelling",518.5
10650,"all","12-13","Year 7",2017,"Spelling",534.6
10650,"all","12-13","Year 7",2018,"Spelling",496.3
10650,"all","12-13","Year 7",2019,"Spelling",528.1
10650,"all","12-13","Year 7",2021,"Spelling",523
10750,"all","12-13","Year 7",2008,"Spelling",540
10750,"all","12-13","Year 7",2009,"Spelling",538.1
10750,"all","12-13","Year 7",2010,"Spelling",547.7
10750,"all","12-13","Year 7",2011,"Spelling",536.3
10750,"all","12-13","Year 7",2012,"Spelling",542.2
10750,"all","12-13","Year 7",2013,"Spelling",548.6
10750,"all","12-13","Year 7",2014,"Spelling",542.4
10750,"all","12-13","Year 7",2015,"Spelling",543.3
10750,"all","12-13","Year 7",2016,"Spelling",544.8
10750,"all","12-13","Year 7",2017,"Spelling",550.9
10750,"all","12-13","Year 7",2018,"Spelling",550.1
10750,"all","12-13","Year 7",2019,"Spelling",549.5
10750,"all","12-13","Year 7",2021,"Spelling",557.3
10800,"all","12-13","Year 7",2008,"Spelling",520.2
10800,"all","12-13","Year 7",2009,"Spelling",540.8
10800,"all","12-13","Year 7",2010,"Spelling",520.8
10800,"all","12-13","Year 7",2011,"Spelling",514.8
10800,"all","12-13","Year 7",2012,"Spelling",519.2
10800,"all","12-13","Year 7",2013,"Spelling",536.5
10800,"all","12-13","Year 7",2014,"Spelling",536.1
10800,"all","12-13","Year 7",2015,"Spelling",535.7
10800,"all","12-13","Year 7",2016,"Spelling",520.8
10800,"all","12-13","Year 7",2017,"Spelling",536.9
10800,"all","12-13","Year 7",2018,"Spelling",530.9
10800,"all","12-13","Year 7",2019,"Spelling",513.4
10800,"all","12-13","Year 7",2021,"Spelling",517.2
10850,"all","12-13","Year 7",2008,"Spelling",542.6
10850,"all","12-13","Year 7",2009,"Spelling",534
10850,"all","12-13","Year 7",2010,"Spelling",519.4
10850,"all","12-13","Year 7",2011,"Spelling",512.4
10850,"all","12-13","Year 7",2012,"Spelling",528.8
10850,"all","12-13","Year 7",2013,"Spelling",525.5
10850,"all","12-13","Year 7",2014,"Spelling",513.5
10850,"all","12-13","Year 7",2015,"Spelling",530
10850,"all","12-13","Year 7",2016,"Spelling",523.2
10850,"all","12-13","Year 7",2017,"Spelling",534.7
10850,"all","12-13","Year 7",2018,"Spelling",529.3
10850,"all","12-13","Year 7",2019,"Spelling",545.1
10850,"all","12-13","Year 7",2021,"Spelling",528.7
10900,"all","12-13","Year 7",2008,"Spelling",549.2
10900,"all","12-13","Year 7",2009,"Spelling",545.3
10900,"all","12-13","Year 7",2010,"Spelling",548.9
10900,"all","12-13","Year 7",2011,"Spelling",542.2
10900,"all","12-13","Year 7",2012,"Spelling",552.9
10900,"all","12-13","Year 7",2013,"Spelling",557
10900,"all","12-13","Year 7",2014,"Spelling",549.3
10900,"all","12-13","Year 7",2015,"Spelling",549.4
10900,"all","12-13","Year 7",2016,"Spelling",544.8
10900,"all","12-13","Year 7",2017,"Spelling",547.6
10900,"all","12-13","Year 7",2018,"Spelling",544.3
10900,"all","12-13","Year 7",2019,"Spelling",543
10900,"all","12-13","Year 7",2021,"Spelling",552.3
10950,"all","12-13","Year 7",2008,"Spelling",512.7
10950,"all","12-13","Year 7",2009,"Spelling",519.6
10950,"all","12-13","Year 7",2010,"Spelling",519.7
10950,"all","12-13","Year 7",2011,"Spelling",518
10950,"all","12-13","Year 7",2012,"Spelling",509.1
10950,"all","12-13","Year 7",2013,"Spelling",513.3
10950,"all","12-13","Year 7",2014,"Spelling",486.7
10950,"all","12-13","Year 7",2015,"Spelling",474
10950,"all","12-13","Year 7",2016,"Spelling",481.3
10950,"all","12-13","Year 7",2017,"Spelling",522.4
10950,"all","12-13","Year 7",2018,"Spelling",504.4
10950,"all","12-13","Year 7",2019,"Spelling",501.3
10950,"all","12-13","Year 7",2021,"Spelling",510
11100,"all","12-13","Year 7",2008,"Spelling",508.1
11100,"all","12-13","Year 7",2009,"Spelling",508.9
11100,"all","12-13","Year 7",2010,"Spelling",522.9
11100,"all","12-13","Year 7",2011,"Spelling",514
11100,"all","12-13","Year 7",2012,"Spelling",513.1
11100,"all","12-13","Year 7",2013,"Spelling",529.4
11100,"all","12-13","Year 7",2014,"Spelling",506.4
11100,"all","12-13","Year 7",2015,"Spelling",540.9
11100,"all","12-13","Year 7",2016,"Spelling",521.5
11100,"all","12-13","Year 7",2017,"Spelling",490.7
11100,"all","12-13","Year 7",2018,"Spelling",516.1
11100,"all","12-13","Year 7",2019,"Spelling",522.1
11100,"all","12-13","Year 7",2021,"Spelling",517.5
11150,"all","12-13","Year 7",2008,"Spelling",486.1
11150,"all","12-13","Year 7",2009,"Spelling",494
11150,"all","12-13","Year 7",2010,"Spelling",477.7
11150,"all","12-13","Year 7",2011,"Spelling",495
11150,"all","12-13","Year 7",2012,"Spelling",496.9
11150,"all","12-13","Year 7",2013,"Spelling",471.4
11150,"all","12-13","Year 7",2014,"Spelling",482.8
11150,"all","12-13","Year 7",2015,"Spelling",504.3
11150,"all","12-13","Year 7",2016,"Spelling",488.6
11150,"all","12-13","Year 7",2017,"Spelling",470.7
11150,"all","12-13","Year 7",2018,"Spelling",479.2
11150,"all","12-13","Year 7",2019,"Spelling",512.4
11150,"all","12-13","Year 7",2021,"Spelling",471.8
11200,"all","12-13","Year 7",2008,"Spelling",461.6
11200,"all","12-13","Year 7",2009,"Spelling",453.3
11200,"all","12-13","Year 7",2010,"Spelling",468.1
11200,"all","12-13","Year 7",2011,"Spelling",446.7
11200,"all","12-13","Year 7",2012,"Spelling",456.9
11200,"all","12-13","Year 7",2013,"Spelling",476.4
11200,"all","12-13","Year 7",2014,"Spelling",497.8
11200,"all","12-13","Year 7",2015,"Spelling",480.5
11200,"all","12-13","Year 7",2016,"Spelling",435.6
11200,"all","12-13","Year 7",2017,"Spelling",447.8
11200,"all","12-13","Year 7",2018,"Spelling",439.5
11200,"all","12-13","Year 7",2019,"Spelling",468
11200,"all","12-13","Year 7",2021,"Spelling",459.3
11250,"all","12-13","Year 7",2008,"Spelling",518.2
11250,"all","12-13","Year 7",2009,"Spelling",522.4
11250,"all","12-13","Year 7",2010,"Spelling",534.1
11250,"all","12-13","Year 7",2011,"Spelling",519.2
11250,"all","12-13","Year 7",2012,"Spelling",527.2
11250,"all","12-13","Year 7",2013,"Spelling",529.6
11250,"all","12-13","Year 7",2014,"Spelling",529.9
11250,"all","12-13","Year 7",2015,"Spelling",515.9
11250,"all","12-13","Year 7",2016,"Spelling",519
11250,"all","12-13","Year 7",2017,"Spelling",516.3
11250,"all","12-13","Year 7",2018,"Spelling",514.8
11250,"all","12-13","Year 7",2019,"Spelling",509.5
11250,"all","12-13","Year 7",2021,"Spelling",516.5
11300,"all","12-13","Year 7",2008,"Spelling",585.9
11300,"all","12-13","Year 7",2009,"Spelling",590.4
11300,"all","12-13","Year 7",2010,"Spelling",595
11300,"all","12-13","Year 7",2011,"Spelling",588.1
11300,"all","12-13","Year 7",2012,"Spelling",596.7
11300,"all","12-13","Year 7",2013,"Spelling",601
11300,"all","12-13","Year 7",2014,"Spelling",595.9
11300,"all","12-13","Year 7",2015,"Spelling",601.4
11300,"all","12-13","Year 7",2016,"Spelling",591.4
11300,"all","12-13","Year 7",2017,"Spelling",602.6
11300,"all","12-13","Year 7",2018,"Spelling",588.5
11300,"all","12-13","Year 7",2019,"Spelling",594.5
11300,"all","12-13","Year 7",2021,"Spelling",595
11350,"all","12-13","Year 7",2008,"Spelling",543.1
11350,"all","12-13","Year 7",2009,"Spelling",537.1
11350,"all","12-13","Year 7",2010,"Spelling",542.7
11350,"all","12-13","Year 7",2011,"Spelling",531.8
11350,"all","12-13","Year 7",2012,"Spelling",540.4
11350,"all","12-13","Year 7",2013,"Spelling",556.6
11350,"all","12-13","Year 7",2014,"Spelling",543.1
11350,"all","12-13","Year 7",2015,"Spelling",541.5
11350,"all","12-13","Year 7",2016,"Spelling",540.8
11350,"all","12-13","Year 7",2017,"Spelling",549.7
11350,"all","12-13","Year 7",2018,"Spelling",543.4
11350,"all","12-13","Year 7",2019,"Spelling",540.4
11350,"all","12-13","Year 7",2021,"Spelling",546
11400,"all","12-13","Year 7",2008,"Spelling",535.8
11400,"all","12-13","Year 7",2009,"Spelling",530.1
11400,"all","12-13","Year 7",2010,"Spelling",525.2
11400,"all","12-13","Year 7",2011,"Spelling",504.7
11400,"all","12-13","Year 7",2012,"Spelling",528.2
11400,"all","12-13","Year 7",2013,"Spelling",508.9
11400,"all","12-13","Year 7",2014,"Spelling",515.9
11400,"all","12-13","Year 7",2015,"Spelling",528.3
11400,"all","12-13","Year 7",2016,"Spelling",523.9
11400,"all","12-13","Year 7",2017,"Spelling",542.2
11400,"all","12-13","Year 7",2018,"Spelling",522.1
11400,"all","12-13","Year 7",2019,"Spelling",522.2
11400,"all","12-13","Year 7",2021,"Spelling",520.5
11450,"all","12-13","Year 7",2008,"Spelling",539.6
11450,"all","12-13","Year 7",2009,"Spelling",541.5
