"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","14-15","Year 9",2008,"Grammar and Punctuation",572.7
10050,"all","14-15","Year 9",2009,"Grammar and Punctuation",582.9
10050,"all","14-15","Year 9",2010,"Grammar and Punctuation",585.1
10050,"all","14-15","Year 9",2011,"Grammar and Punctuation",573
10050,"all","14-15","Year 9",2012,"Grammar and Punctuation",574.2
10050,"all","14-15","Year 9",2013,"Grammar and Punctuation",567.4
10050,"all","14-15","Year 9",2014,"Grammar and Punctuation",567.2
10050,"all","14-15","Year 9",2015,"Grammar and Punctuation",562.5
10050,"all","14-15","Year 9",2016,"Grammar and Punctuation",568.8
10050,"all","14-15","Year 9",2017,"Grammar and Punctuation",570
10050,"all","14-15","Year 9",2018,"Grammar and Punctuation",567.8
10050,"all","14-15","Year 9",2019,"Grammar and Punctuation",554.3
10050,"all","14-15","Year 9",2021,"Grammar and Punctuation",555.8
10130,"all","14-15","Year 9",2008,"Grammar and Punctuation",584.7
10130,"all","14-15","Year 9",2009,"Grammar and Punctuation",587.3
10130,"all","14-15","Year 9",2010,"Grammar and Punctuation",588.5
10130,"all","14-15","Year 9",2011,"Grammar and Punctuation",577.8
10130,"all","14-15","Year 9",2012,"Grammar and Punctuation",588.2
10130,"all","14-15","Year 9",2013,"Grammar and Punctuation",576.8
10130,"all","14-15","Year 9",2014,"Grammar and Punctuation",579.4
10130,"all","14-15","Year 9",2015,"Grammar and Punctuation",573.3
10130,"all","14-15","Year 9",2016,"Grammar and Punctuation",581.7
10130,"all","14-15","Year 9",2017,"Grammar and Punctuation",581.2
10130,"all","14-15","Year 9",2018,"Grammar and Punctuation",570.7
10130,"all","14-15","Year 9",2019,"Grammar and Punctuation",571.6
10130,"all","14-15","Year 9",2021,"Grammar and Punctuation",561.9
10250,"all","14-15","Year 9",2008,"Grammar and Punctuation",571.9
10250,"all","14-15","Year 9",2009,"Grammar and Punctuation",578.6
10250,"all","14-15","Year 9",2010,"Grammar and Punctuation",584.1
10250,"all","14-15","Year 9",2011,"Grammar and Punctuation",578.4
10250,"all","14-15","Year 9",2012,"Grammar and Punctuation",572.3
10250,"all","14-15","Year 9",2013,"Grammar and Punctuation",574
10250,"all","14-15","Year 9",2014,"Grammar and Punctuation",572.3
10250,"all","14-15","Year 9",2015,"Grammar and Punctuation",559.3
10250,"all","14-15","Year 9",2016,"Grammar and Punctuation",560.2
10250,"all","14-15","Year 9",2017,"Grammar and Punctuation",572.7
10250,"all","14-15","Year 9",2018,"Grammar and Punctuation",571.9
10250,"all","14-15","Year 9",2019,"Grammar and Punctuation",574
10250,"all","14-15","Year 9",2021,"Grammar and Punctuation",578.5
10300,"all","14-15","Year 9",2008,"Grammar and Punctuation",522.5
10300,"all","14-15","Year 9",2009,"Grammar and Punctuation",560.2
10300,"all","14-15","Year 9",2010,"Grammar and Punctuation",544.1
10300,"all","14-15","Year 9",2011,"Grammar and Punctuation",598.4
10300,"all","14-15","Year 9",2012,"Grammar and Punctuation",565.2
10300,"all","14-15","Year 9",2013,"Grammar and Punctuation",520.7
10300,"all","14-15","Year 9",2014,"Grammar and Punctuation",549.8
10300,"all","14-15","Year 9",2015,"Grammar and Punctuation",547.2
10300,"all","14-15","Year 9",2016,"Grammar and Punctuation",534.6
10300,"all","14-15","Year 9",2017,"Grammar and Punctuation",532.8
10300,"all","14-15","Year 9",2018,"Grammar and Punctuation",538.4
10300,"all","14-15","Year 9",2019,"Grammar and Punctuation",536.9
10300,"all","14-15","Year 9",2021,"Grammar and Punctuation",562.5
10470,"all","14-15","Year 9",2008,"Grammar and Punctuation",572
10470,"all","14-15","Year 9",2009,"Grammar and Punctuation",572.9
10470,"all","14-15","Year 9",2010,"Grammar and Punctuation",575.6
10470,"all","14-15","Year 9",2011,"Grammar and Punctuation",566.3
10470,"all","14-15","Year 9",2012,"Grammar and Punctuation",571.9
10470,"all","14-15","Year 9",2013,"Grammar and Punctuation",571.8
10470,"all","14-15","Year 9",2014,"Grammar and Punctuation",569.7
