"LGA_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10050,"all","14-15","Year 9",2008,"Numeracy",591.4
10050,"all","14-15","Year 9",2009,"Numeracy",593.9
10050,"all","14-15","Year 9",2010,"Numeracy",591.5
10050,"all","14-15","Year 9",2011,"Numeracy",584.3
10050,"all","14-15","Year 9",2012,"Numeracy",580.8
10050,"all","14-15","Year 9",2013,"Numeracy",579.8
10050,"all","14-15","Year 9",2014,"Numeracy",583.1
10050,"all","14-15","Year 9",2015,"Numeracy",587.2
10050,"all","14-15","Year 9",2016,"Numeracy",576.2
10050,"all","14-15","Year 9",2017,"Numeracy",587.9
10050,"all","14-15","Year 9",2018,"Numeracy",586.1
10050,"all","14-15","Year 9",2019,"Numeracy",572.5
10050,"all","14-15","Year 9",2021,"Numeracy",578.2
10130,"all","14-15","Year 9",2008,"Numeracy",590.4
10130,"all","14-15","Year 9",2009,"Numeracy",587.6
10130,"all","14-15","Year 9",2010,"Numeracy",589
10130,"all","14-15","Year 9",2011,"Numeracy",578.5
10130,"all","14-15","Year 9",2012,"Numeracy",593.9
10130,"all","14-15","Year 9",2013,"Numeracy",578.3
10130,"all","14-15","Year 9",2014,"Numeracy",592.1
10130,"all","14-15","Year 9",2015,"Numeracy",589.2
10130,"all","14-15","Year 9",2016,"Numeracy",590.5
10130,"all","14-15","Year 9",2017,"Numeracy",589.7
10130,"all","14-15","Year 9",2018,"Numeracy",588.8
10130,"all","14-15","Year 9",2019,"Numeracy",591.9
10130,"all","14-15","Year 9",2021,"Numeracy",577
10250,"all","14-15","Year 9",2008,"Numeracy",584.7
10250,"all","14-15","Year 9",2009,"Numeracy",600.6
10250,"all","14-15","Year 9",2010,"Numeracy",587.7
10250,"all","14-15","Year 9",2011,"Numeracy",588.4
10250,"all","14-15","Year 9",2012,"Numeracy",588.2
10250,"all","14-15","Year 9",2013,"Numeracy",580.4
10250,"all","14-15","Year 9",2014,"Numeracy",584.1
10250,"all","14-15","Year 9",2015,"Numeracy",581.5
10250,"all","14-15","Year 9",2016,"Numeracy",574
10250,"all","14-15","Year 9",2017,"Numeracy",594.4
10250,"all","14-15","Year 9",2018,"Numeracy",589.6
10250,"all","14-15","Year 9",2019,"Numeracy",594.7
10250,"all","14-15","Year 9",2021,"Numeracy",583.2
10300,"all","14-15","Year 9",2008,"Numeracy",540.6
10300,"all","14-15","Year 9",2009,"Numeracy",563
10300,"all","14-15","Year 9",2010,"Numeracy",576.5
10300,"all","14-15","Year 9",2011,"Numeracy",607
10300,"all","14-15","Year 9",2012,"Numeracy",575.5
10300,"all","14-15","Year 9",2013,"Numeracy",550.2
10300,"all","14-15","Year 9",2014,"Numeracy",588.9
10300,"all","14-15","Year 9",2015,"Numeracy",549.8
10300,"all","14-15","Year 9",2016,"Numeracy",591.9
10300,"all","14-15","Year 9",2017,"Numeracy",570.6
10300,"all","14-15","Year 9",2018,"Numeracy",566.7
10300,"all","14-15","Year 9",2019,"Numeracy",569.7
10300,"all","14-15","Year 9",2021,"Numeracy",591.8
10470,"all","14-15","Year 9",2008,"Numeracy",589.5
10470,"all","14-15","Year 9",2009,"Numeracy",586.7
10470,"all","14-15","Year 9",2010,"Numeracy",587
10470,"all","14-15","Year 9",2011,"Numeracy",579.3
10470,"all","14-15","Year 9",2012,"Numeracy",583.7
10470,"all","14-15","Year 9",2013,"Numeracy",582.8
10470,"all","14-15","Year 9",2014,"Numeracy",583.8
10470,"all","14-15","Year 9",2015,"Numeracy",588.2
10470,"all","14-15","Year 9",2016,"Numeracy",582
10470,"all","14-15","Year 9",2017,"Numeracy",582.9
10470,"all","14-15","Year 9",2018,"Numeracy",595.7
10470,"all","14-15","Year 9",2019,"Numeracy",591.7
10470,"all","14-15","Year 9",2021,"Numeracy",583.4
10550,"all","14-15","Year 9",2008,"Numeracy",583.1
10550,"all","14-15","Year 9",2009,"Numeracy",590.2
10550,"all","14-15","Year 9",2010,"Numeracy",587.6
10550,"all","14-15","Year 9",2011,"Numeracy",581.5
10550,"all","14-15","Year 9",2012,"Numeracy",574.6
10550,"all","14-15","Year 9",2013,"Numeracy",582.1
10550,"all","14-15","Year 9",2014,"Numeracy",573.8
10550,"all","14-15","Year 9",2015,"Numeracy",581.2
10550,"all","14-15","Year 9",2016,"Numeracy",579.8
10550,"all","14-15","Year 9",2017,"Numeracy",583
10550,"all","14-15","Year 9",2018,"Numeracy",585.7
10550,"all","14-15","Year 9",2019,"Numeracy",582.2
10550,"all","14-15","Year 9",2021,"Numeracy",572.8
10600,"all","14-15","Year 9",2008,"Numeracy",573.9
10600,"all","14-15","Year 9",2009,"Numeracy",591.3
10600,"all","14-15","Year 9",2010,"Numeracy",583.7
10600,"all","14-15","Year 9",2011,"Numeracy",573.9
10600,"all","14-15","Year 9",2012,"Numeracy",561.6
10600,"all","14-15","Year 9",2013,"Numeracy",584.8
10600,"all","14-15","Year 9",2014,"Numeracy",584.2
10600,"all","14-15","Year 9",2015,"Numeracy",580.9
10600,"all","14-15","Year 9",2016,"Numeracy",567.5
10600,"all","14-15","Year 9",2017,"Numeracy",593
10600,"all","14-15","Year 9",2018,"Numeracy",591.7
10600,"all","14-15","Year 9",2019,"Numeracy",579.9
10600,"all","14-15","Year 9",2021,"Numeracy",606.1
10650,"all","14-15","Year 9",2008,"Numeracy",593.6
10650,"all","14-15","Year 9",2009,"Numeracy",596.6
10650,"all","14-15","Year 9",2010,"Numeracy",571.2
10650,"all","14-15","Year 9",2011,"Numeracy",561.7
10650,"all","14-15","Year 9",2012,"Numeracy",558.5
10650,"all","14-15","Year 9",2013,"Numeracy",545.9
10650,"all","14-15","Year 9",2014,"Numeracy",559.4
10650,"all","14-15","Year 9",2015,"Numeracy",582.3
10650,"all","14-15","Year 9",2016,"Numeracy",563.3
10650,"all","14-15","Year 9",2017,"Numeracy",565.9
10650,"all","14-15","Year 9",2018,"Numeracy",568.6
10650,"all","14-15","Year 9",2019,"Numeracy",573.2
10650,"all","14-15","Year 9",2021,"Numeracy",569.2
10750,"all","14-15","Year 9",2008,"Numeracy",561.3
10750,"all","14-15","Year 9",2009,"Numeracy",569.8
10750,"all","14-15","Year 9",2010,"Numeracy",562.9
10750,"all","14-15","Year 9",2011,"Numeracy",561.5
10750,"all","14-15","Year 9",2012,"Numeracy",564.9
10750,"all","14-15","Year 9",2013,"Numeracy",561.5
