"SA2_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
101021007,"all","10-11","Year 5",2011,"Writing",450.6
101021007,"all","10-11","Year 5",2012,"Writing",463.8
101021007,"all","10-11","Year 5",2013,"Writing",452.3
101021007,"all","10-11","Year 5",2014,"Writing",445.1
101021007,"all","10-11","Year 5",2015,"Writing",443.6
101021007,"all","10-11","Year 5",2016,"Writing",441.2
101021007,"all","10-11","Year 5",2017,"Writing",440
101021007,"all","10-11","Year 5",2018,"Writing",480.2
101021007,"all","10-11","Year 5",2019,"Writing",469.8
101021007,"all","10-11","Year 5",2021,"Writing",450
101021008,"all","10-11","Year 5",2011,"Writing",460.7
101021008,"all","10-11","Year 5",2012,"Writing",450.2
101021008,"all","10-11","Year 5",2013,"Writing",451.5
101021008,"all","10-11","Year 5",2014,"Writing",430.4
101021008,"all","10-11","Year 5",2015,"Writing",446.9
101021008,"all","10-11","Year 5",2016,"Writing",424
101021008,"all","10-11","Year 5",2017,"Writing",461.1
101021008,"all","10-11","Year 5",2018,"Writing",434.3
101021008,"all","10-11","Year 5",2019,"Writing",437.1
101021008,"all","10-11","Year 5",2021,"Writing",460.7
101021009,"all","10-11","Year 5",2011,"Writing",480.9
101021009,"all","10-11","Year 5",2012,"Writing",467.9
101021009,"all","10-11","Year 5",2013,"Writing",458.4
101021009,"all","10-11","Year 5",2014,"Writing",466.1
101021009,"all","10-11","Year 5",2015,"Writing",464.4
101021009,"all","10-11","Year 5",2016,"Writing",462.8
101021009,"all","10-11","Year 5",2017,"Writing",454.4
101021009,"all","10-11","Year 5",2018,"Writing",443.4
101021009,"all","10-11","Year 5",2019,"Writing",462.4
101021009,"all","10-11","Year 5",2021,"Writing",456.4
101021010,"all","10-11","Year 5",2011,"Writing",497.1
101021010,"all","10-11","Year 5",2012,"Writing",492.7
101021010,"all","10-11","Year 5",2013,"Writing",477.3
101021010,"all","10-11","Year 5",2014,"Writing",456.2
101021010,"all","10-11","Year 5",2015,"Writing",460.2
101021010,"all","10-11","Year 5",2016,"Writing",478.9
101021010,"all","10-11","Year 5",2017,"Writing",460.2
101021010,"all","10-11","Year 5",2018,"Writing",450.7
101021010,"all","10-11","Year 5",2019,"Writing",462
101021010,"all","10-11","Year 5",2021,"Writing",481.9
101021011,"all","10-11","Year 5",2011,"Writing",464.5
101021011,"all","10-11","Year 5",2012,"Writing",462.9
101021011,"all","10-11","Year 5",2013,"Writing",447.1
101021011,"all","10-11","Year 5",2014,"Writing",440.2
101021011,"all","10-11","Year 5",2015,"Writing",465.9
101021011,"all","10-11","Year 5",2016,"Writing",465.3
101021011,"all","10-11","Year 5",2017,"Writing",456.1
101021011,"all","10-11","Year 5",2018,"Writing",469.8
101021011,"all","10-11","Year 5",2019,"Writing",463.9
101021011,"all","10-11","Year 5",2021,"Writing",472.1
101021012,"all","10-11","Year 5",2011,"Writing",513.4
101021012,"all","10-11","Year 5",2012,"Writing",504
101021012,"all","10-11","Year 5",2013,"Writing",490.3
101021012,"all","10-11","Year 5",2014,"Writing",487.5
101021012,"all","10-11","Year 5",2015,"Writing",498.8
101021012,"all","10-11","Year 5",2016,"Writing",500.9
101021012,"all","10-11","Year 5",2017,"Writing",474.4
101021012,"all","10-11","Year 5",2018,"Writing",472.4
101021012,"all","10-11","Year 5",2019,"Writing",482.6
101021012,"all","10-11","Year 5",2021,"Writing",497.7
101031013,"all","10-11","Year 5",2011,"Writing",467.9
101031013,"all","10-11","Year 5",2012,"Writing",443.5
101031013,"all","10-11","Year 5",2013,"Writing",440.9
101031013,"all","10-11","Year 5",2014,"Writing",426.3
101031013,"all","10-11","Year 5",2015,"Writing",439.3
101031013,"all","10-11","Year 5",2016,"Writing",424.8
101031013,"all","10-11","Year 5",2017,"Writing",426.8
101031013,"all","10-11","Year 5",2018,"Writing",426.7
101031013,"all","10-11","Year 5",2019,"Writing",444.2
101031013,"all","10-11","Year 5",2021,"Writing",458.5
101031014,"all","10-11","Year 5",2011,"Writing",469.1
101031014,"all","10-11","Year 5",2012,"Writing",450.3
101031014,"all","10-11","Year 5",2013,"Writing",465.9
101031014,"all","10-11","Year 5",2014,"Writing",434.8
101031014,"all","10-11","Year 5",2015,"Writing",460.6
101031014,"all","10-11","Year 5",2016,"Writing",463.5
101031014,"all","10-11","Year 5",2017,"Writing",438.3
101031014,"all","10-11","Year 5",2018,"Writing",446.2
101031014,"all","10-11","Year 5",2019,"Writing",459.9
101031014,"all","10-11","Year 5",2021,"Writing",454.7
101031015,"all","10-11","Year 5",2011,"Writing",508.2
101031015,"all","10-11","Year 5",2012,"Writing",445.6
101031015,"all","10-11","Year 5",2013,"Writing",414.6
101031015,"all","10-11","Year 5",2014,"Writing",417.6
101031015,"all","10-11","Year 5",2015,"Writing",481.1
101031015,"all","10-11","Year 5",2016,"Writing",471
101031015,"all","10-11","Year 5",2017,"Writing",415.1
101031015,"all","10-11","Year 5",2018,"Writing",424.1
101031015,"all","10-11","Year 5",2019,"Writing",444.7
101031015,"all","10-11","Year 5",2021,"Writing",475.2
101031016,"all","10-11","Year 5",2011,"Writing",504
101031016,"all","10-11","Year 5",2012,"Writing",469.5
101031016,"all","10-11","Year 5",2013,"Writing",479.4
101031016,"all","10-11","Year 5",2014,"Writing",476.3
101031016,"all","10-11","Year 5",2015,"Writing",476.6
