"SA2_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
101021007,"all","14-15","Year 9",2008,"Spelling",554.1
101021007,"all","14-15","Year 9",2009,"Spelling",575.7
101021007,"all","14-15","Year 9",2010,"Spelling",547.1
101021007,"all","14-15","Year 9",2011,"Spelling",554.3
101021007,"all","14-15","Year 9",2012,"Spelling",536
101021007,"all","14-15","Year 9",2013,"Spelling",535.3
101021007,"all","14-15","Year 9",2014,"Spelling",548.9
101021007,"all","14-15","Year 9",2015,"Spelling",529.8
101021007,"all","14-15","Year 9",2016,"Spelling",535.9
101021007,"all","14-15","Year 9",2017,"Spelling",548.5
101021007,"all","14-15","Year 9",2018,"Spelling",541.2
101021007,"all","14-15","Year 9",2019,"Spelling",548.3
101021007,"all","14-15","Year 9",2021,"Spelling",571.5
101021008,"all","14-15","Year 9",2008,"Spelling",584.1
101021008,"all","14-15","Year 9",2009,"Spelling",572
101021008,"all","14-15","Year 9",2010,"Spelling",566.9
101021008,"all","14-15","Year 9",2011,"Spelling",577.9
101021008,"all","14-15","Year 9",2012,"Spelling",573.2
101021008,"all","14-15","Year 9",2013,"Spelling",579.7
101021008,"all","14-15","Year 9",2014,"Spelling",573.5
101021008,"all","14-15","Year 9",2015,"Spelling",576.8
101021008,"all","14-15","Year 9",2016,"Spelling",586.7
101021008,"all","14-15","Year 9",2017,"Spelling",579.2
101021008,"all","14-15","Year 9",2018,"Spelling",573.9
101021008,"all","14-15","Year 9",2019,"Spelling",583.2
101021008,"all","14-15","Year 9",2021,"Spelling",569.1
101021009,"all","14-15","Year 9",2008,"Spelling",560.7
101021009,"all","14-15","Year 9",2009,"Spelling",543.5
101021009,"all","14-15","Year 9",2010,"Spelling",549
101021009,"all","14-15","Year 9",2011,"Spelling",552.7
101021009,"all","14-15","Year 9",2012,"Spelling",540.1
101021009,"all","14-15","Year 9",2013,"Spelling",545
101021009,"all","14-15","Year 9",2014,"Spelling",556.4
101021009,"all","14-15","Year 9",2015,"Spelling",561.8
101021009,"all","14-15","Year 9",2016,"Spelling",557.7
101021009,"all","14-15","Year 9",2017,"Spelling",538
101021009,"all","14-15","Year 9",2018,"Spelling",563.5
101021009,"all","14-15","Year 9",2019,"Spelling",563.1
101021009,"all","14-15","Year 9",2021,"Spelling",554.8
101021011,"all","14-15","Year 9",2021,"Spelling",600.4
101031013,"all","14-15","Year 9",2008,"Spelling",548.3
101031013,"all","14-15","Year 9",2009,"Spelling",563.8
101031013,"all","14-15","Year 9",2010,"Spelling",560.1
101031013,"all","14-15","Year 9",2011,"Spelling",547.6
101031013,"all","14-15","Year 9",2012,"Spelling",567.9
101031013,"all","14-15","Year 9",2013,"Spelling",549
101031013,"all","14-15","Year 9",2014,"Spelling",528.9
101031013,"all","14-15","Year 9",2015,"Spelling",545
101031013,"all","14-15","Year 9",2016,"Spelling",528.8
101031013,"all","14-15","Year 9",2017,"Spelling",541.2
101031013,"all","14-15","Year 9",2018,"Spelling",546.7
101031013,"all","14-15","Year 9",2019,"Spelling",539.5
101031013,"all","14-15","Year 9",2021,"Spelling",556
101031014,"all","14-15","Year 9",2008,"Spelling",569.2
101031014,"all","14-15","Year 9",2009,"Spelling",566.1
101031014,"all","14-15","Year 9",2010,"Spelling",568.4
101031014,"all","14-15","Year 9",2011,"Spelling",558.7
101031014,"all","14-15","Year 9",2012,"Spelling",563.1
101031014,"all","14-15","Year 9",2013,"Spelling",559.4
101031014,"all","14-15","Year 9",2014,"Spelling",568.4
101031014,"all","14-15","Year 9",2015,"Spelling",561.4
101031014,"all","14-15","Year 9",2016,"Spelling",548.8
101031014,"all","14-15","Year 9",2017,"Spelling",549.2
101031014,"all","14-15","Year 9",2018,"Spelling",565.1
101031014,"all","14-15","Year 9",2019,"Spelling",558
101031014,"all","14-15","Year 9",2021,"Spelling",537.3
101031016,"all","14-15","Year 9",2008,"Spelling",585.6
101031016,"all","14-15","Year 9",2009,"Spelling",580.1
101031016,"all","14-15","Year 9",2010,"Spelling",567.5
101031016,"all","14-15","Year 9",2011,"Spelling",567.4
101031016,"all","14-15","Year 9",2012,"Spelling",570.9
101031016,"all","14-15","Year 9",2013,"Spelling",596.2
101031016,"all","14-15","Year 9",2014,"Spelling",581.8
101031016,"all","14-15","Year 9",2015,"Spelling",597.3
101031016,"all","14-15","Year 9",2016,"Spelling",578.7
101031016,"all","14-15","Year 9",2017,"Spelling",583.4
101031016,"all","14-15","Year 9",2018,"Spelling",574.8
101031016,"all","14-15","Year 9",2019,"Spelling",580.4
101031016,"all","14-15","Year 9",2021,"Spelling",575.2
101041018,"all","14-15","Year 9",2008,"Spelling",561.5
101041018,"all","14-15","Year 9",2009,"Spelling",558.3
101041018,"all","14-15","Year 9",2010,"Spelling",557.2
101041018,"all","14-15","Year 9",2011,"Spelling",543.8
101041018,"all","14-15","Year 9",2012,"Spelling",558.8
101041018,"all","14-15","Year 9",2013,"Spelling",560.7
101041018,"all","14-15","Year 9",2014,"Spelling",546
