"SA2_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
101021007,"all","10-11","Year 5",2008,"Grammar and Punctuation",480.3
101021007,"all","10-11","Year 5",2009,"Grammar and Punctuation",484.8
101021007,"all","10-11","Year 5",2010,"Grammar and Punctuation",524
101021007,"all","10-11","Year 5",2011,"Grammar and Punctuation",490.5
101021007,"all","10-11","Year 5",2012,"Grammar and Punctuation",485.6
101021007,"all","10-11","Year 5",2013,"Grammar and Punctuation",487.2
101021007,"all","10-11","Year 5",2014,"Grammar and Punctuation",499.7
101021007,"all","10-11","Year 5",2015,"Grammar and Punctuation",489.3
101021007,"all","10-11","Year 5",2016,"Grammar and Punctuation",489.6
101021007,"all","10-11","Year 5",2017,"Grammar and Punctuation",500
101021007,"all","10-11","Year 5",2018,"Grammar and Punctuation",475.9
101021007,"all","10-11","Year 5",2019,"Grammar and Punctuation",480.1
101021007,"all","10-11","Year 5",2021,"Grammar and Punctuation",484.1
101021008,"all","10-11","Year 5",2008,"Grammar and Punctuation",497.8
101021008,"all","10-11","Year 5",2009,"Grammar and Punctuation",455.2
101021008,"all","10-11","Year 5",2010,"Grammar and Punctuation",480.2
101021008,"all","10-11","Year 5",2011,"Grammar and Punctuation",475.6
101021008,"all","10-11","Year 5",2012,"Grammar and Punctuation",479.2
101021008,"all","10-11","Year 5",2013,"Grammar and Punctuation",479.6
101021008,"all","10-11","Year 5",2014,"Grammar and Punctuation",466.5
101021008,"all","10-11","Year 5",2015,"Grammar and Punctuation",465.4
101021008,"all","10-11","Year 5",2016,"Grammar and Punctuation",452.4
101021008,"all","10-11","Year 5",2017,"Grammar and Punctuation",474
101021008,"all","10-11","Year 5",2018,"Grammar and Punctuation",484.4
101021008,"all","10-11","Year 5",2019,"Grammar and Punctuation",447.7
101021008,"all","10-11","Year 5",2021,"Grammar and Punctuation",475.7
101021009,"all","10-11","Year 5",2008,"Grammar and Punctuation",497
101021009,"all","10-11","Year 5",2009,"Grammar and Punctuation",488.7
101021009,"all","10-11","Year 5",2010,"Grammar and Punctuation",485.6
101021009,"all","10-11","Year 5",2011,"Grammar and Punctuation",490.9
101021009,"all","10-11","Year 5",2012,"Grammar and Punctuation",477.2
101021009,"all","10-11","Year 5",2013,"Grammar and Punctuation",484.2
101021009,"all","10-11","Year 5",2014,"Grammar and Punctuation",493.5
101021009,"all","10-11","Year 5",2015,"Grammar and Punctuation",483.4
101021009,"all","10-11","Year 5",2016,"Grammar and Punctuation",485.7
101021009,"all","10-11","Year 5",2017,"Grammar and Punctuation",477.5
101021009,"all","10-11","Year 5",2018,"Grammar and Punctuation",480.7
101021009,"all","10-11","Year 5",2019,"Grammar and Punctuation",471.7
101021009,"all","10-11","Year 5",2021,"Grammar and Punctuation",467
101021010,"all","10-11","Year 5",2008,"Grammar and Punctuation",466.9
101021010,"all","10-11","Year 5",2009,"Grammar and Punctuation",488.3
101021010,"all","10-11","Year 5",2010,"Grammar and Punctuation",454.8
101021010,"all","10-11","Year 5",2011,"Grammar and Punctuation",489
101021010,"all","10-11","Year 5",2012,"Grammar and Punctuation",489.3
101021010,"all","10-11","Year 5",2013,"Grammar and Punctuation",479.4
101021010,"all","10-11","Year 5",2014,"Grammar and Punctuation",479.3
101021010,"all","10-11","Year 5",2015,"Grammar and Punctuation",469.4
101021010,"all","10-11","Year 5",2016,"Grammar and Punctuation",494.3
101021010,"all","10-11","Year 5",2017,"Grammar and Punctuation",477.2
101021010,"all","10-11","Year 5",2018,"Grammar and Punctuation",489.3
101021010,"all","10-11","Year 5",2019,"Grammar and Punctuation",476
101021010,"all","10-11","Year 5",2021,"Grammar and Punctuation",479
101021011,"all","10-11","Year 5",2008,"Grammar and Punctuation",529.3
101021011,"all","10-11","Year 5",2009,"Grammar and Punctuation",517.9
101021011,"all","10-11","Year 5",2010,"Grammar and Punctuation",498.2
101021011,"all","10-11","Year 5",2011,"Grammar and Punctuation",490.9
101021011,"all","10-11","Year 5",2012,"Grammar and Punctuation",478.8
101021011,"all","10-11","Year 5",2013,"Grammar and Punctuation",488.2
101021011,"all","10-11","Year 5",2014,"Grammar and Punctuation",495.7
101021011,"all","10-11","Year 5",2015,"Grammar and Punctuation",492.4
101021011,"all","10-11","Year 5",2016,"Grammar and Punctuation",492.7
101021011,"all","10-11","Year 5",2017,"Grammar and Punctuation",497.6
101021011,"all","10-11","Year 5",2018,"Grammar and Punctuation",521.2
101021011,"all","10-11","Year 5",2019,"Grammar and Punctuation",482.7
101021011,"all","10-11","Year 5",2021,"Grammar and Punctuation",504.4
101021012,"all","10-11","Year 5",2008,"Grammar and Punctuation",541.9
101021012,"all","10-11","Year 5",2009,"Grammar and Punctuation",533.1
101021012,"all","10-11","Year 5",2010,"Grammar and Punctuation",542.9
101021012,"all","10-11","Year 5",2011,"Grammar and Punctuation",540.5
101021012,"all","10-11","Year 5",2012,"Grammar and Punctuation",526.5
101021012,"all","10-11","Year 5",2013,"Grammar and Punctuation",536.6
101021012,"all","10-11","Year 5",2014,"Grammar and Punctuation",522.6
101021012,"all","10-11","Year 5",2015,"Grammar and Punctuation",527.5
101021012,"all","10-11","Year 5",2016,"Grammar and Punctuation",530.9
101021012,"all","10-11","Year 5",2017,"Grammar and Punctuation",511.9
101021012,"all","10-11","Year 5",2018,"Grammar and Punctuation",523.9
101021012,"all","10-11","Year 5",2019,"Grammar and Punctuation",519.8
101021012,"all","10-11","Year 5",2021,"Grammar and Punctuation",514
101031013,"all","10-11","Year 5",2008,"Grammar and Punctuation",481.8
