"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
10102,"all","10-11","Year 5",2008,"Reading",494.7
10102,"all","10-11","Year 5",2009,"Reading",499.6
10102,"all","10-11","Year 5",2010,"Reading",491
10102,"all","10-11","Year 5",2011,"Reading",497.6
10102,"all","10-11","Year 5",2012,"Reading",494.7
10102,"all","10-11","Year 5",2013,"Reading",496.2
10102,"all","10-11","Year 5",2014,"Reading",492.7
10102,"all","10-11","Year 5",2015,"Reading",495.8
10102,"all","10-11","Year 5",2016,"Reading",490.4
10102,"all","10-11","Year 5",2017,"Reading",494.2
10102,"all","10-11","Year 5",2018,"Reading",510
10102,"all","10-11","Year 5",2019,"Reading",494.7
10102,"all","10-11","Year 5",2021,"Reading",505.6
10103,"all","10-11","Year 5",2008,"Reading",488.3
10103,"all","10-11","Year 5",2009,"Reading",489.3
10103,"all","10-11","Year 5",2010,"Reading",489.8
10103,"all","10-11","Year 5",2011,"Reading",500.5
10103,"all","10-11","Year 5",2012,"Reading",497.3
10103,"all","10-11","Year 5",2013,"Reading",499.1
10103,"all","10-11","Year 5",2014,"Reading",488.9
10103,"all","10-11","Year 5",2015,"Reading",488.3
10103,"all","10-11","Year 5",2016,"Reading",484.3
10103,"all","10-11","Year 5",2017,"Reading",480.6
10103,"all","10-11","Year 5",2018,"Reading",506.6
10103,"all","10-11","Year 5",2019,"Reading",494.1
10103,"all","10-11","Year 5",2021,"Reading",494.2
10104,"all","10-11","Year 5",2008,"Reading",487.9
10104,"all","10-11","Year 5",2009,"Reading",497.5
10104,"all","10-11","Year 5",2010,"Reading",485.6
10104,"all","10-11","Year 5",2011,"Reading",488.4
10104,"all","10-11","Year 5",2012,"Reading",492.5
10104,"all","10-11","Year 5",2013,"Reading",499.1
10104,"all","10-11","Year 5",2014,"Reading",495.1
10104,"all","10-11","Year 5",2015,"Reading",480.2
10104,"all","10-11","Year 5",2016,"Reading",486
10104,"all","10-11","Year 5",2017,"Reading",487.5
10104,"all","10-11","Year 5",2018,"Reading",492.6
10104,"all","10-11","Year 5",2019,"Reading",486.8
10104,"all","10-11","Year 5",2021,"Reading",489.2
10105,"all","10-11","Year 5",2008,"Reading",488.2
10105,"all","10-11","Year 5",2009,"Reading",487.4
10105,"all","10-11","Year 5",2010,"Reading",474.9
10105,"all","10-11","Year 5",2011,"Reading",479.3
10105,"all","10-11","Year 5",2012,"Reading",481.2
10105,"all","10-11","Year 5",2013,"Reading",493.7
10105,"all","10-11","Year 5",2014,"Reading",484.1
10105,"all","10-11","Year 5",2015,"Reading",476.6
10105,"all","10-11","Year 5",2016,"Reading",479.6
10105,"all","10-11","Year 5",2017,"Reading",481.2
10105,"all","10-11","Year 5",2018,"Reading",478.7
10105,"all","10-11","Year 5",2019,"Reading",477.4
10105,"all","10-11","Year 5",2021,"Reading",489.1
10106,"all","10-11","Year 5",2008,"Reading",487.9
10106,"all","10-11","Year 5",2009,"Reading",491.8
10106,"all","10-11","Year 5",2010,"Reading",488.1
10106,"all","10-11","Year 5",2011,"Reading",493.6
10106,"all","10-11","Year 5",2012,"Reading",486.6
10106,"all","10-11","Year 5",2013,"Reading",498.1
10106,"all","10-11","Year 5",2014,"Reading",504.4
10106,"all","10-11","Year 5",2015,"Reading",480.6
10106,"all","10-11","Year 5",2016,"Reading",491.8
10106,"all","10-11","Year 5",2017,"Reading",494.8
10106,"all","10-11","Year 5",2018,"Reading",492.7
10106,"all","10-11","Year 5",2019,"Reading",501.2
10106,"all","10-11","Year 5",2021,"Reading",491.4
10201,"all","10-11","Year 5",2008,"Reading",499.3
10201,"all","10-11","Year 5",2009,"Reading",510.3
10201,"all","10-11","Year 5",2010,"Reading",498.8
10201,"all","10-11","Year 5",2011,"Reading",498.3
10201,"all","10-11","Year 5",2012,"Reading",504.6
10201,"all","10-11","Year 5",2013,"Reading",508.6
10201,"all","10-11","Year 5",2014,"Reading",512.3
