"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10102,"all","8-9","Year 3",2008,"Reading",414.8,411.5
10102,"all","8-9","Year 3",2009,"Reading",427.5,421.91
10102,"all","8-9","Year 3",2010,"Reading",421.5,420.81
10102,"all","8-9","Year 3",2011,"Reading",412.9,421.13
10102,"all","8-9","Year 3",2012,"Reading",420.1,423.85
10102,"all","8-9","Year 3",2013,"Reading",422.3,421.89
10102,"all","8-9","Year 3",2014,"Reading",410.5,420.04
10102,"all","8-9","Year 3",2015,"Reading",420.2,426.4
10102,"all","8-9","Year 3",2016,"Reading",415.9,425.31
10102,"all","8-9","Year 3",2017,"Reading",417.6,431.83
10102,"all","8-9","Year 3",2018,"Reading",413.2,432.95
10102,"all","8-9","Year 3",2019,"Reading",420.3,431.57
10102,"all","8-9","Year 3",2021,"Reading",423.6,437.66
10103,"all","8-9","Year 3",2008,"Reading",408.2,411.5
10103,"all","8-9","Year 3",2009,"Reading",413.8,421.91
10103,"all","8-9","Year 3",2010,"Reading",421.6,420.81
10103,"all","8-9","Year 3",2011,"Reading",419,421.13
10103,"all","8-9","Year 3",2012,"Reading",408.1,423.85
10103,"all","8-9","Year 3",2013,"Reading",423.7,421.89
10103,"all","8-9","Year 3",2014,"Reading",409.4,420.04
10103,"all","8-9","Year 3",2015,"Reading",400.7,426.4
10103,"all","8-9","Year 3",2016,"Reading",421.5,425.31
10103,"all","8-9","Year 3",2017,"Reading",406.1,431.83
10103,"all","8-9","Year 3",2018,"Reading",427.2,432.95
10103,"all","8-9","Year 3",2019,"Reading",414.2,431.57
10103,"all","8-9","Year 3",2021,"Reading",406.8,437.66
10104,"all","8-9","Year 3",2008,"Reading",396.4,411.5
10104,"all","8-9","Year 3",2009,"Reading",405.8,421.91
10104,"all","8-9","Year 3",2010,"Reading",407.2,420.81
10104,"all","8-9","Year 3",2011,"Reading",400.6,421.13
10104,"all","8-9","Year 3",2012,"Reading",412.9,423.85
10104,"all","8-9","Year 3",2013,"Reading",406.5,421.89
10104,"all","8-9","Year 3",2014,"Reading",409.6,420.04
10104,"all","8-9","Year 3",2015,"Reading",408,426.4
10104,"all","8-9","Year 3",2016,"Reading",404.4,425.31
10104,"all","8-9","Year 3",2017,"Reading",416,431.83
10104,"all","8-9","Year 3",2018,"Reading",418.9,432.95
10104,"all","8-9","Year 3",2019,"Reading",410.4,431.57
10104,"all","8-9","Year 3",2021,"Reading",418,437.66
10105,"all","8-9","Year 3",2008,"Reading",392.4,411.5
10105,"all","8-9","Year 3",2009,"Reading",411.9,421.91
10105,"all","8-9","Year 3",2010,"Reading",398.7,420.81
10105,"all","8-9","Year 3",2011,"Reading",404.8,421.13
10105,"all","8-9","Year 3",2012,"Reading",394.3,423.85
10105,"all","8-9","Year 3",2013,"Reading",400.8,421.89
10105,"all","8-9","Year 3",2014,"Reading",402,420.04
10105,"all","8-9","Year 3",2015,"Reading",397.2,426.4
10105,"all","8-9","Year 3",2016,"Reading",396.2,425.31
10105,"all","8-9","Year 3",2017,"Reading",396.3,431.83
10105,"all","8-9","Year 3",2018,"Reading",399,432.95
10105,"all","8-9","Year 3",2019,"Reading",403,431.57
10105,"all","8-9","Year 3",2021,"Reading",405.9,437.66
10106,"all","8-9","Year 3",2008,"Reading",402.6,411.5
10106,"all","8-9","Year 3",2009,"Reading",412.7,421.91
10106,"all","8-9","Year 3",2010,"Reading",412.3,420.81
10106,"all","8-9","Year 3",2011,"Reading",413.6,421.13
10106,"all","8-9","Year 3",2012,"Reading",413.6,423.85
10106,"all","8-9","Year 3",2013,"Reading",406,421.89
10106,"all","8-9","Year 3",2014,"Reading",411.4,420.04
10106,"all","8-9","Year 3",2015,"Reading",424.4,426.4
10106,"all","8-9","Year 3",2016,"Reading",407.3,425.31
10106,"all","8-9","Year 3",2017,"Reading",422.2,431.83
10106,"all","8-9","Year 3",2018,"Reading",419.4,432.95
10106,"all","8-9","Year 3",2019,"Reading",409.9,431.57
10106,"all","8-9","Year 3",2021,"Reading",418.2,437.66
10201,"all","8-9","Year 3",2008,"Reading",417.1,411.5
10201,"all","8-9","Year 3",2009,"Reading",425.1,421.91
10201,"all","8-9","Year 3",2010,"Reading",426.2,420.81
10201,"all","8-9","Year 3",2011,"Reading",425.9,421.13
10201,"all","8-9","Year 3",2012,"Reading",433.3,423.85
10201,"all","8-9","Year 3",2013,"Reading",429.4,421.89
10201,"all","8-9","Year 3",2014,"Reading",427.7,420.04
10201,"all","8-9","Year 3",2015,"Reading",431,426.4
10201,"all","8-9","Year 3",2016,"Reading",431.6,425.31
10201,"all","8-9","Year 3",2017,"Reading",436.3,431.83
10201,"all","8-9","Year 3",2018,"Reading",441,432.95
10201,"all","8-9","Year 3",2019,"Reading",443,431.57
10201,"all","8-9","Year 3",2021,"Reading",450.8,437.66
10202,"all","8-9","Year 3",2008,"Reading",401.6,411.5
10202,"all","8-9","Year 3",2009,"Reading",409.2,421.91
10202,"all","8-9","Year 3",2010,"Reading",411.6,420.81
10202,"all","8-9","Year 3",2011,"Reading",409.6,421.13
