"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10102,"all","8-9","Year 3",2011,"Writing",411.4,425.12
10102,"all","8-9","Year 3",2012,"Writing",414.2,420.34
10102,"all","8-9","Year 3",2013,"Writing",413.2,417.62
10102,"all","8-9","Year 3",2014,"Writing",390,404.57
10102,"all","8-9","Year 3",2015,"Writing",408.2,418.6
10102,"all","8-9","Year 3",2016,"Writing",404.8,420.59
10102,"all","8-9","Year 3",2017,"Writing",397.3,416.26
10102,"all","8-9","Year 3",2018,"Writing",390.9,409.96
10102,"all","8-9","Year 3",2019,"Writing",410.7,425.14
10102,"all","8-9","Year 3",2021,"Writing",407.5,428.85
10103,"all","8-9","Year 3",2011,"Writing",407.8,425.12
10103,"all","8-9","Year 3",2012,"Writing",396.8,420.34
10103,"all","8-9","Year 3",2013,"Writing",399,417.62
10103,"all","8-9","Year 3",2014,"Writing",386,404.57
10103,"all","8-9","Year 3",2015,"Writing",399.6,418.6
10103,"all","8-9","Year 3",2016,"Writing",408.5,420.59
10103,"all","8-9","Year 3",2017,"Writing",388.4,416.26
10103,"all","8-9","Year 3",2018,"Writing",384.2,409.96
10103,"all","8-9","Year 3",2019,"Writing",400.4,425.14
10103,"all","8-9","Year 3",2021,"Writing",400.7,428.85
10104,"all","8-9","Year 3",2011,"Writing",404.7,425.12
10104,"all","8-9","Year 3",2012,"Writing",403.9,420.34
10104,"all","8-9","Year 3",2013,"Writing",399.7,417.62
10104,"all","8-9","Year 3",2014,"Writing",388.2,404.57
10104,"all","8-9","Year 3",2015,"Writing",402.8,418.6
10104,"all","8-9","Year 3",2016,"Writing",406.9,420.59
10104,"all","8-9","Year 3",2017,"Writing",398.7,416.26
10104,"all","8-9","Year 3",2018,"Writing",395.9,409.96
10104,"all","8-9","Year 3",2019,"Writing",408.8,425.14
10104,"all","8-9","Year 3",2021,"Writing",406,428.85
10105,"all","8-9","Year 3",2011,"Writing",405.7,425.12
10105,"all","8-9","Year 3",2012,"Writing",392.4,420.34
10105,"all","8-9","Year 3",2013,"Writing",395.4,417.62
10105,"all","8-9","Year 3",2014,"Writing",374.2,404.57
10105,"all","8-9","Year 3",2015,"Writing",390.5,418.6
10105,"all","8-9","Year 3",2016,"Writing",392.4,420.59
10105,"all","8-9","Year 3",2017,"Writing",378.8,416.26
10105,"all","8-9","Year 3",2018,"Writing",377.2,409.96
10105,"all","8-9","Year 3",2019,"Writing",401.9,425.14
10105,"all","8-9","Year 3",2021,"Writing",398.8,428.85
10106,"all","8-9","Year 3",2011,"Writing",420,425.12
10106,"all","8-9","Year 3",2012,"Writing",409.2,420.34
10106,"all","8-9","Year 3",2013,"Writing",407.7,417.62
