"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10102,"all","12-13","Year 7",2008,"Grammar and Punctuation",520.5,532.5
10102,"all","12-13","Year 7",2009,"Grammar and Punctuation",532.9,538.13
10102,"all","12-13","Year 7",2010,"Grammar and Punctuation",517.3,534.6
10102,"all","12-13","Year 7",2011,"Grammar and Punctuation",514.2,533.41
10102,"all","12-13","Year 7",2012,"Grammar and Punctuation",530.9,546.6
10102,"all","12-13","Year 7",2013,"Grammar and Punctuation",517,534.6
10102,"all","12-13","Year 7",2014,"Grammar and Punctuation",526.5,542.83
10102,"all","12-13","Year 7",2015,"Grammar and Punctuation",510,538.02
10102,"all","12-13","Year 7",2016,"Grammar and Punctuation",528.9,536.74
10102,"all","12-13","Year 7",2017,"Grammar and Punctuation",516.3,537.09
10102,"all","12-13","Year 7",2018,"Grammar and Punctuation",519.3,540.73
10102,"all","12-13","Year 7",2019,"Grammar and Punctuation",521.5,536.85
10102,"all","12-13","Year 7",2021,"Grammar and Punctuation",514.7,532.77
10103,"all","12-13","Year 7",2008,"Grammar and Punctuation",538.9,532.5
10103,"all","12-13","Year 7",2009,"Grammar and Punctuation",534.6,538.13
10103,"all","12-13","Year 7",2010,"Grammar and Punctuation",533.7,534.6
10103,"all","12-13","Year 7",2011,"Grammar and Punctuation",536.9,533.41
10103,"all","12-13","Year 7",2012,"Grammar and Punctuation",542.1,546.6
10103,"all","12-13","Year 7",2013,"Grammar and Punctuation",532.9,534.6
10103,"all","12-13","Year 7",2014,"Grammar and Punctuation",541.1,542.83
10103,"all","12-13","Year 7",2015,"Grammar and Punctuation",534,538.02
10103,"all","12-13","Year 7",2016,"Grammar and Punctuation",525.5,536.74
10103,"all","12-13","Year 7",2017,"Grammar and Punctuation",526.9,537.09
10103,"all","12-13","Year 7",2018,"Grammar and Punctuation",531.6,540.73
10103,"all","12-13","Year 7",2019,"Grammar and Punctuation",514.6,536.85
10103,"all","12-13","Year 7",2021,"Grammar and Punctuation",528.3,532.77
10104,"all","12-13","Year 7",2008,"Grammar and Punctuation",530.3,532.5
10104,"all","12-13","Year 7",2009,"Grammar and Punctuation",530.6,538.13
10104,"all","12-13","Year 7",2010,"Grammar and Punctuation",528.7,534.6
10104,"all","12-13","Year 7",2011,"Grammar and Punctuation",526.9,533.41
10104,"all","12-13","Year 7",2012,"Grammar and Punctuation",538.7,546.6
10104,"all","12-13","Year 7",2013,"Grammar and Punctuation",520.4,534.6
10104,"all","12-13","Year 7",2014,"Grammar and Punctuation",536.4,542.83
10104,"all","12-13","Year 7",2015,"Grammar and Punctuation",528.5,538.02
10104,"all","12-13","Year 7",2016,"Grammar and Punctuation",522.6,536.74
10104,"all","12-13","Year 7",2017,"Grammar and Punctuation",515.7,537.09
10104,"all","12-13","Year 7",2018,"Grammar and Punctuation",527.9,540.73
10104,"all","12-13","Year 7",2019,"Grammar and Punctuation",519.9,536.85
10104,"all","12-13","Year 7",2021,"Grammar and Punctuation",506.4,532.77
10105,"all","12-13","Year 7",2008,"Grammar and Punctuation",518.7,532.5
10105,"all","12-13","Year 7",2009,"Grammar and Punctuation",525.9,538.13
10105,"all","12-13","Year 7",2010,"Grammar and Punctuation",525.1,534.6
10105,"all","12-13","Year 7",2011,"Grammar and Punctuation",518,533.41
10105,"all","12-13","Year 7",2012,"Grammar and Punctuation",535.3,546.6
10105,"all","12-13","Year 7",2013,"Grammar and Punctuation",513,534.6
