"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10102,"all","14-15","Year 9",2008,"Numeracy",576.6,588.23
10102,"all","14-15","Year 9",2009,"Numeracy",568.9,592.74
10102,"all","14-15","Year 9",2010,"Numeracy",571.6,587.02
10102,"all","14-15","Year 9",2011,"Numeracy",569.5,585.22
10102,"all","14-15","Year 9",2012,"Numeracy",559.3,587.09
10102,"all","14-15","Year 9",2013,"Numeracy",564.9,586.94
10102,"all","14-15","Year 9",2014,"Numeracy",566.3,589.36
10102,"all","14-15","Year 9",2015,"Numeracy",571.9,591.12
10102,"all","14-15","Year 9",2016,"Numeracy",567.7,586.8
10102,"all","14-15","Year 9",2017,"Numeracy",567.5,594.15
10102,"all","14-15","Year 9",2018,"Numeracy",569.1,594.5
10102,"all","14-15","Year 9",2019,"Numeracy",576,591.11
10102,"all","14-15","Year 9",2021,"Numeracy",568.8,588.02
10103,"all","14-15","Year 9",2008,"Numeracy",579,588.23
10103,"all","14-15","Year 9",2009,"Numeracy",596.5,592.74
10103,"all","14-15","Year 9",2010,"Numeracy",582.5,587.02
10103,"all","14-15","Year 9",2011,"Numeracy",577.4,585.22
10103,"all","14-15","Year 9",2012,"Numeracy",580.9,587.09
10103,"all","14-15","Year 9",2013,"Numeracy",579.9,586.94
10103,"all","14-15","Year 9",2014,"Numeracy",581.1,589.36
10103,"all","14-15","Year 9",2015,"Numeracy",581.2,591.12
10103,"all","14-15","Year 9",2016,"Numeracy",569.7,586.8
10103,"all","14-15","Year 9",2017,"Numeracy",581,594.15
10103,"all","14-15","Year 9",2018,"Numeracy",575.1,594.5
10103,"all","14-15","Year 9",2019,"Numeracy",578.9,591.11
10103,"all","14-15","Year 9",2021,"Numeracy",571,588.02
10104,"all","14-15","Year 9",2008,"Numeracy",575,588.23
10104,"all","14-15","Year 9",2009,"Numeracy",583.7,592.74
10104,"all","14-15","Year 9",2010,"Numeracy",580.4,587.02
