"Australia","sex","age_group","year_range","age_fully_immunised_AIR","n","p"
0,"all","0-5","2011-2012","1 year",272978,0.92
0,"all","0-5","2011-2012","2 years",279349,0.93
0,"all","0-5","2011-2012","5 years",269277,0.9
0,"all","0-5","2012-2013","1 year",276058,0.91
0,"all","0-5","2012-2013","2 years",277329,0.92
0,"all","0-5","2012-2013","5 years",281592,0.92
0,"all","0-5","2013-2014","1 year",280247,0.9
0,"all","0-5","2013-2014","2 years",281307,0.92
0,"all","0-5","2013-2014","5 years",284081,0.92
0,"all","0-5","2014-2015","1 year",280671,0.91
0,"all","0-5","2014-2015","2 years",277089,0.89
0,"all","0-5","2014-2015","5 years",288150,0.92
0,"all","0-5","2015-2016","1 year",285972,0.93
0,"all","0-5","2015-2016","2 years",278898,0.91
0,"all","0-5","2015-2016","5 years",289971,0.93
0,"all","0-5","2016-2017","1 year",289579,0.94
0,"all","0-5","2016-2017","2 years",283293,0.91
0,"all","0-5","2016-2017","5 years",297480,0.94
