"SA4_CODE16","sex","age_group","year_range","age_fully_immunised_AIR","n","p"
101,"all","0-5","2016-2017","1 year",171,0.93
102,"all","0-5","2016-2017","1 year",267,0.97
103,"all","0-5","2016-2017","1 year",372,0.95
104,"all","0-5","2016-2017","1 year",176,0.97
105,"all","0-5","2016-2017","1 year",473,0.91
106,"all","0-5","2016-2017","1 year",404,0.94
107,"all","0-5","2016-2017","1 year",176,0.97
108,"all","0-5","2016-2017","1 year",341,0.95
109,"all","0-5","2016-2017","1 year",136,0.95
110,"all","0-5","2016-2017","1 year",566,0.94
111,"all","0-5","2016-2017","1 year",268,0.97
112,"all","0-5","2016-2017","1 year",204,0.94
113,"all","0-5","2016-2017","1 year",202,0.94
114,"all","0-5","2016-2017","1 year",166,0.96
115,"all","0-5","2016-2017","1 year",9999999,9999999
116,"all","0-5","2016-2017","1 year",185,0.93
117,"all","0-5","2016-2017","1 year",9999999,9999999
118,"all","0-5","2016-2017","1 year",9999999,9999999
119,"all","0-5","2016-2017","1 year",9999999,9999999
120,"all","0-5","2016-2017","1 year",9999999,9999999
121,"all","0-5","2016-2017","1 year",NA,NA
122,"all","0-5","2016-2017","1 year",NA,NA
123,"all","0-5","2016-2017","1 year",198,0.94
124,"all","0-5","2016-2017","1 year",199,0.94
125,"all","0-5","2016-2017","1 year",9999999,9999999
126,"all","0-5","2016-2017","1 year",NA,NA
127,"all","0-5","2016-2017","1 year",9999999,9999999
128,"all","0-5","2016-2017","1 year",9999999,9999999
201,"all","0-5","2016-2017","1 year",9999999,9999999
202,"all","0-5","2016-2017","1 year",9999999,9999999
203,"all","0-5","2016-2017","1 year",94,0.9
204,"all","0-5","2016-2017","1 year",9999999,9999999
205,"all","0-5","2016-2017","1 year",111,0.87
206,"all","0-5","2016-2017","1 year",9999999,9999999
207,"all","0-5","2016-2017","1 year",NA,NA
208,"all","0-5","2016-2017","1 year",NA,NA
209,"all","0-5","2016-2017","1 year",88,0.87
210,"all","0-5","2016-2017","1 year",9999999,9999999
211,"all","0-5","2016-2017","1 year",95,0.94
212,"all","0-5","2016-2017","1 year",9999999,9999999
213,"all","0-5","2016-2017","1 year",245,0.93
214,"all","0-5","2016-2017","1 year",9999999,9999999
215,"all","0-5","2016-2017","1 year",126,0.86
216,"all","0-5","2016-2017","1 year",194,0.91
217,"all","0-5","2016-2017","1 year",9999999,9999999
301,"all","0-5","2016-2017","1 year",114,0.9
302,"all","0-5","2016-2017","1 year",9999999,9999999
303,"all","0-5","2016-2017","1 year",9999999,9999999
304,"all","0-5","2016-2017","1 year",9999999,9999999
305,"all","0-5","2016-2017","1 year",9999999,9999999
306,"all","0-5","2016-2017","1 year",684,0.9
307,"all","0-5","2016-2017","1 year",208,0.91
308,"all","0-5","2016-2017","1 year",343,0.92
309,"all","0-5","2016-2017","1 year",183,0.93
310,"all","0-5","2016-2017","1 year",368,0.95
311,"all","0-5","2016-2017","1 year",329,0.93
312,"all","0-5","2016-2017","1 year",219,0.94
313,"all","0-5","2016-2017","1 year",242,0.92
314,"all","0-5","2016-2017","1 year",NA,NA
315,"all","0-5","2016-2017","1 year",611,0.94
316,"all","0-5","2016-2017","1 year",121,0.88
317,"all","0-5","2016-2017","1 year",188,0.94
318,"all","0-5","2016-2017","1 year",538,0.89
319,"all","0-5","2016-2017","1 year",384,0.91
401,"all","0-5","2016-2017","1 year",9999999,9999999
402,"all","0-5","2016-2017","1 year",255,0.92
403,"all","0-5","2016-2017","1 year",9999999,9999999
404,"all","0-5","2016-2017","1 year",89,0.85
405,"all","0-5","2016-2017","1 year",9999999,9999999
406,"all","0-5","2016-2017","1 year",188,0.95
407,"all","0-5","2016-2017","1 year",102,0.94
501,"all","0-5","2016-2017","1 year",9999999,9999999
502,"all","0-5","2016-2017","1 year",9999999,9999999
503,"all","0-5","2016-2017","1 year",9999999,9999999
504,"all","0-5","2016-2017","1 year",142,0.86
505,"all","0-5","2016-2017","1 year",143,0.85
506,"all","0-5","2016-2017","1 year",225,0.8
507,"all","0-5","2016-2017","1 year",160,0.92
508,"all","0-5","2016-2017","1 year",883,0.91
509,"all","0-5","2016-2017","1 year",171,0.96
601,"all","0-5","2016-2017","1 year",146,0.95
602,"all","0-5","2016-2017","1 year",85,0.84
603,"all","0-5","2016-2017","1 year",9999999,9999999
604,"all","0-5","2016-2017","1 year",NA,NA
701,"all","0-5","2016-2017","1 year",353,0.9
702,"all","0-5","2016-2017","1 year",825,0.92
801,"all","0-5","2016-2017","1 year",119,0.95
901,"all","0-5","2016-2017","1 year",NA,NA
101,"all","0-5","2016-2017","2 years",156,0.88
102,"all","0-5","2016-2017","2 years",242,0.94
103,"all","0-5","2016-2017","2 years",322,0.94
104,"all","0-5","2016-2017","2 years",156,0.94
105,"all","0-5","2016-2017","2 years",453,0.86
106,"all","0-5","2016-2017","2 years",330,0.94
107,"all","0-5","2016-2017","2 years",189,0.91
108,"all","0-5","2016-2017","2 years",375,0.92
109,"all","0-5","2016-2017","2 years",120,0.87
110,"all","0-5","2016-2017","2 years",484,0.89
111,"all","0-5","2016-2017","2 years",279,0.94
112,"all","0-5","2016-2017","2 years",225,0.89
113,"all","0-5","2016-2017","2 years",208,0.89
114,"all","0-5","2016-2017","2 years",159,0.93
115,"all","0-5","2016-2017","2 years",9999999,9999999
116,"all","0-5","2016-2017","2 years",205,0.86
117,"all","0-5","2016-2017","2 years",9999999,9999999
118,"all","0-5","2016-2017","2 years",9999999,9999999
119,"all","0-5","2016-2017","2 years",9999999,9999999
120,"all","0-5","2016-2017","2 years",9999999,9999999
121,"all","0-5","2016-2017","2 years",NA,NA
122,"all","0-5","2016-2017","2 years",NA,NA
123,"all","0-5","2016-2017","2 years",169,0.92
124,"all","0-5","2016-2017","2 years",207,0.92
125,"all","0-5","2016-2017","2 years",9999999,9999999
126,"all","0-5","2016-2017","2 years",NA,NA
127,"all","0-5","2016-2017","2 years",9999999,9999999
128,"all","0-5","2016-2017","2 years",9999999,9999999
201,"all","0-5","2016-2017","2 years",9999999,9999999
202,"all","0-5","2016-2017","2 years",9999999,9999999
203,"all","0-5","2016-2017","2 years",101,0.94
204,"all","0-5","2016-2017","2 years",9999999,9999999
205,"all","0-5","2016-2017","2 years",107,0.87
206,"all","0-5","2016-2017","2 years",9999999,9999999
207,"all","0-5","2016-2017","2 years",NA,NA
208,"all","0-5","2016-2017","2 years",NA,NA
209,"all","0-5","2016-2017","2 years",9999999,9999999
210,"all","0-5","2016-2017","2 years",9999999,9999999
211,"all","0-5","2016-2017","2 years",9999999,9999999
212,"all","0-5","2016-2017","2 years",9999999,9999999
213,"all","0-5","2016-2017","2 years",179,0.93
214,"all","0-5","2016-2017","2 years",9999999,9999999
215,"all","0-5","2016-2017","2 years",104,0.78
216,"all","0-5","2016-2017","2 years",167,0.93
217,"all","0-5","2016-2017","2 years",9999999,9999999
301,"all","0-5","2016-2017","2 years",111,0.87
302,"all","0-5","2016-2017","2 years",109,0.87
303,"all","0-5","2016-2017","2 years",9999999,9999999
304,"all","0-5","2016-2017","2 years",9999999,9999999
305,"all","0-5","2016-2017","2 years",9999999,9999999
306,"all","0-5","2016-2017","2 years",653,0.88
307,"all","0-5","2016-2017","2 years",206,0.9
308,"all","0-5","2016-2017","2 years",368,0.88
309,"all","0-5","2016-2017","2 years",174,0.91
310,"all","0-5","2016-2017","2 years",334,0.91
311,"all","0-5","2016-2017","2 years",292,0.88
312,"all","0-5","2016-2017","2 years",223,0.88
313,"all","0-5","2016-2017","2 years",232,0.88
314,"all","0-5","2016-2017","2 years",115,0.91
315,"all","0-5","2016-2017","2 years",622,0.91
316,"all","0-5","2016-2017","2 years",117,0.89
317,"all","0-5","2016-2017","2 years",189,0.9
318,"all","0-5","2016-2017","2 years",515,0.86
319,"all","0-5","2016-2017","2 years",371,0.89
401,"all","0-5","2016-2017","2 years",9999999,9999999
402,"all","0-5","2016-2017","2 years",246,0.88
403,"all","0-5","2016-2017","2 years",9999999,9999999
404,"all","0-5","2016-2017","2 years",9999999,9999999
405,"all","0-5","2016-2017","2 years",9999999,9999999
406,"all","0-5","2016-2017","2 years",158,0.86
407,"all","0-5","2016-2017","2 years",96,0.91
501,"all","0-5","2016-2017","2 years",91,0.89
502,"all","0-5","2016-2017","2 years",9999999,9999999
503,"all","0-5","2016-2017","2 years",NA,NA
504,"all","0-5","2016-2017","2 years",135,0.85
505,"all","0-5","2016-2017","2 years",137,0.81
506,"all","0-5","2016-2017","2 years",220,0.75
507,"all","0-5","2016-2017","2 years",161,0.82
508,"all","0-5","2016-2017","2 years",794,0.83
509,"all","0-5","2016-2017","2 years",150,0.96
601,"all","0-5","2016-2017","2 years",153,0.93
602,"all","0-5","2016-2017","2 years",96,0.91
603,"all","0-5","2016-2017","2 years",9999999,9999999
604,"all","0-5","2016-2017","2 years",129,0.88
701,"all","0-5","2016-2017","2 years",355,0.87
702,"all","0-5","2016-2017","2 years",799,0.85
801,"all","0-5","2016-2017","2 years",125,0.89
901,"all","0-5","2016-2017","2 years",NA,NA
101,"all","0-5","2016-2017","5 years",147,0.95
102,"all","0-5","2016-2017","5 years",NA,NA
103,"all","0-5","2016-2017","5 years",320,0.96
104,"all","0-5","2016-2017","5 years",169,0.97
105,"all","0-5","2016-2017","5 years",515,0.97
106,"all","0-5","2016-2017","5 years",305,0.97
107,"all","0-5","2016-2017","5 years",211,0.97
108,"all","0-5","2016-2017","5 years",341,0.97
109,"all","0-5","2016-2017","5 years",NA,NA
110,"all","0-5","2016-2017","5 years",497,0.95
111,"all","0-5","2016-2017","5 years",NA,NA
112,"all","0-5","2016-2017","5 years",231,0.96
113,"all","0-5","2016-2017","5 years",NA,NA
114,"all","0-5","2016-2017","5 years",NA,NA
115,"all","0-5","2016-2017","5 years",9999999,9999999
116,"all","0-5","2016-2017","5 years",206,0.95
117,"all","0-5","2016-2017","5 years",9999999,9999999
118,"all","0-5","2016-2017","5 years",9999999,9999999
119,"all","0-5","2016-2017","5 years",9999999,9999999
120,"all","0-5","2016-2017","5 years",NA,NA
121,"all","0-5","2016-2017","5 years",NA,NA
122,"all","0-5","2016-2017","5 years",NA,NA
123,"all","0-5","2016-2017","5 years",NA,NA
124,"all","0-5","2016-2017","5 years",NA,NA
125,"all","0-5","2016-2017","5 years",9999999,9999999
126,"all","0-5","2016-2017","5 years",NA,NA
127,"all","0-5","2016-2017","5 years",NA,NA
128,"all","0-5","2016-2017","5 years",9999999,9999999
201,"all","0-5","2016-2017","5 years",9999999,9999999
202,"all","0-5","2016-2017","5 years",9999999,9999999
