"SA3_CODE16","sex","age_group","calendar_year","age_fully_immunised_AIR","p"
"80109","all","0-5","2014","1 year",0.93
"80108","all","0-5","2014","1 year",0.93
"80107","all","0-5","2014","1 year",0.95
"80106","all","0-5","2014","1 year",0.9
"80105","all","0-5","2014","1 year",0.89
"80104","all","0-5","2014","1 year",0.95
"80103","all","0-5","2014","1 year",NA
"80102","all","0-5","2014","1 year",0.92
"80101","all","0-5","2014","1 year",0.94
"12802","all","0-5","2014","1 year",0.94
"12801","all","0-5","2014","1 year",0.92
"12703","all","0-5","2014","1 year",0.9
"12702","all","0-5","2014","1 year",0.88
"12701","all","0-5","2014","1 year",0.89
"12602","all","0-5","2014","1 year",0.91
"12601","all","0-5","2014","1 year",0.93
"12504","all","0-5","2014","1 year",0.86
"12503","all","0-5","2014","1 year",0.88
"12502","all","0-5","2014","1 year",0.87
"12501","all","0-5","2014","1 year",0.84
"12405","all","0-5","2014","1 year",0.88
"12404","all","0-5","2014","1 year",0.91
"12403","all","0-5","2014","1 year",0.93
"12401","all","0-5","2014","1 year",0.87
"12303","all","0-5","2014","1 year",0.92
"12302","all","0-5","2014","1 year",0.9
"12301","all","0-5","2014","1 year",0.94
"12203","all","0-5","2014","1 year",0.9
"12202","all","0-5","2014","1 year",0.88
"12201","all","0-5","2014","1 year",0.89
"12104","all","0-5","2014","1 year",0.9
"12103","all","0-5","2014","1 year",0.87
"12102","all","0-5","2014","1 year",0.92
"12101","all","0-5","2014","1 year",0.91
"12003","all","0-5","2014","1 year",0.92
"12002","all","0-5","2014","1 year",0.91
"12001","all","0-5","2014","1 year",0.9
"11904","all","0-5","2014","1 year",0.9
"11903","all","0-5","2014","1 year",0.9
"11902","all","0-5","2014","1 year",0.88
"11901","all","0-5","2014","1 year",0.89
"11802","all","0-5","2014","1 year",0.9
"11801","all","0-5","2014","1 year",0.89
"11703","all","0-5","2014","1 year",0.9
"11702","all","0-5","2014","1 year",0.91
"11701","all","0-5","2014","1 year",0.91
"11603","all","0-5","2014","1 year",0.87
"11602","all","0-5","2014","1 year",0.92
"11601","all","0-5","2014","1 year",0.9
"11504","all","0-5","2014","1 year",0.91
"11503","all","0-5","2014","1 year",0.89
"11502","all","0-5","2014","1 year",0.9
"11501","all","0-5","2014","1 year",0.91
"11402","all","0-5","2014","1 year",0.91
"11401","all","0-5","2014","1 year",0.93
"11303","all","0-5","2014","1 year",0.94
"11302","all","0-5","2014","1 year",0.86
"11301","all","0-5","2014","1 year",0.92
"11203","all","0-5","2014","1 year",0.87
"11202","all","0-5","2014","1 year",0.86
"11201","all","0-5","2014","1 year",0.8
"11103","all","0-5","2014","1 year",0.92
"11102","all","0-5","2014","1 year",0.91
"11101","all","0-5","2014","1 year",0.94
"11004","all","0-5","2014","1 year",0.94
"11003","all","0-5","2014","1 year",0.92
"11002","all","0-5","2014","1 year",0.9
"11001","all","0-5","2014","1 year",0.92
"10903","all","0-5","2014","1 year",0.94
"10902","all","0-5","2014","1 year",0.88
"10901","all","0-5","2014","1 year",0.94
"10805","all","0-5","2014","1 year",0.93
"10804","all","0-5","2014","1 year",0.91
"10803","all","0-5","2014","1 year",NA
"10802","all","0-5","2014","1 year",0.87
"10801","all","0-5","2014","1 year",0.92
"10704","all","0-5","2014","1 year",0.93
"10703","all","0-5","2014","1 year",0.93
"10701","all","0-5","2014","1 year",0.92
"10604","all","0-5","2014","1 year",0.94
"10603","all","0-5","2014","1 year",0.91
"10602","all","0-5","2014","1 year",0.92
"10601","all","0-5","2014","1 year",0.9
"10503","all","0-5","2014","1 year",0.88
"10502","all","0-5","2014","1 year",0.92
"10501","all","0-5","2014","1 year",0.9
"10402","all","0-5","2014","1 year",0.89
"10401","all","0-5","2014","1 year",0.9
"10304","all","0-5","2014","1 year",0.93
"10303","all","0-5","2014","1 year",0.89
"10302","all","0-5","2014","1 year",0.94
"10301","all","0-5","2014","1 year",0.94
"10202","all","0-5","2014","1 year",0.93
"10201","all","0-5","2014","1 year",0.93
"10104","all","0-5","2014","1 year",0.86
"10103","all","0-5","2014","1 year",0.95
"10102","all","0-5","2014","1 year",0.92
"10101","all","0-5","2014","1 year",0.92
"21702","all","0-5","2014","1 year",0.94
"21701","all","0-5","2014","1 year",0.91
"21603","all","0-5","2014","1 year",0.9
"21602","all","0-5","2014","1 year",0.91
"21601","all","0-5","2014","1 year",0.92
"21503","all","0-5","2014","1 year",0.91
"21502","all","0-5","2014","1 year",0.89
"21501","all","0-5","2014","1 year",0.93
"21402","all","0-5","2014","1 year",0.9
"21401","all","0-5","2014","1 year",0.92
"21305","all","0-5","2014","1 year",0.9
"21304","all","0-5","2014","1 year",0.91
"21303","all","0-5","2014","1 year",0.9
"21302","all","0-5","2014","1 year",0.93
"21301","all","0-5","2014","1 year",0.89
"21205","all","0-5","2014","1 year",0.89
"21204","all","0-5","2014","1 year",0.89
"21203","all","0-5","2014","1 year",0.9
"21202","all","0-5","2014","1 year",0.89
"21201","all","0-5","2014","1 year",0.91
"21105","all","0-5","2014","1 year",0.91
"21104","all","0-5","2014","1 year",0.93
"21103","all","0-5","2014","1 year",0.91
"21102","all","0-5","2014","1 year",0.89
"21101","all","0-5","2014","1 year",0.91
"21005","all","0-5","2014","1 year",0.89
"21004","all","0-5","2014","1 year",0.94
"21003","all","0-5","2014","1 year",0.91
"21002","all","0-5","2014","1 year",0.93
"21001","all","0-5","2014","1 year",0.91
"20904","all","0-5","2014","1 year",0.93
"20903","all","0-5","2014","1 year",0.9
"20902","all","0-5","2014","1 year",0.9
"20901","all","0-5","2014","1 year",0.92
"20804","all","0-5","2014","1 year",0.93
"20803","all","0-5","2014","1 year",0.93
"20802","all","0-5","2014","1 year",0.91
"20801","all","0-5","2014","1 year",0.89
"20703","all","0-5","2014","1 year",0.92
"20702","all","0-5","2014","1 year",0.89
"20701","all","0-5","2014","1 year",0.92
"20607","all","0-5","2014","1 year",0.92
"20606","all","0-5","2014","1 year",0.91
"20605","all","0-5","2014","1 year",0.89
"20604","all","0-5","2014","1 year",0.89
"20603","all","0-5","2014","1 year",0.93
"20602","all","0-5","2014","1 year",0.91
"20601","all","0-5","2014","1 year",0.94
"20505","all","0-5","2014","1 year",0.9
"20504","all","0-5","2014","1 year",0.94
"20503","all","0-5","2014","1 year",0.9
"20502","all","0-5","2014","1 year",0.89
"20501","all","0-5","2014","1 year",0.9
"20403","all","0-5","2014","1 year",0.93
"20402","all","0-5","2014","1 year",0.94
"20401","all","0-5","2014","1 year",0.92
"20303","all","0-5","2014","1 year",0.89
"20302","all","0-5","2014","1 year",0.92
"20301","all","0-5","2014","1 year",0.94
"20203","all","0-5","2014","1 year",0.93
"20202","all","0-5","2014","1 year",0.85
"20201","all","0-5","2014","1 year",0.9
"20103","all","0-5","2014","1 year",0.94
"20102","all","0-5","2014","1 year",0.86
"20101","all","0-5","2014","1 year",0.92
"31905","all","0-5","2014","1 year",0.9
"31904","all","0-5","2014","1 year",0.91
"31903","all","0-5","2014","1 year",0.9
"31902","all","0-5","2014","1 year",0.87
"31901","all","0-5","2014","1 year",0.94
"31802","all","0-5","2014","1 year",0.92
"31801","all","0-5","2014","1 year",0.89
"31701","all","0-5","2014","1 year",0.93
"31606","all","0-5","2014","1 year",0.85
"31605","all","0-5","2014","1 year",0.89
"31604","all","0-5","2014","1 year",0.86
"31603","all","0-5","2014","1 year",0.88
"31602","all","0-5","2014","1 year",0.91
"31601","all","0-5","2014","1 year",0.91
"31503","all","0-5","2014","1 year",0.93
"31502","all","0-5","2014","1 year",0.92
"31501","all","0-5","2014","1 year",0.92
"31403","all","0-5","2014","1 year",0.93
"31402","all","0-5","2014","1 year",0.92
"31401","all","0-5","2014","1 year",0.94
"31305","all","0-5","2014","1 year",0.92
"31304","all","0-5","2014","1 year",0.93
"31303","all","0-5","2014","1 year",0.87
"31302","all","0-5","2014","1 year",0.92
"31301","all","0-5","2014","1 year",0.91
"31203","all","0-5","2014","1 year",0.95
"31202","all","0-5","2014","1 year",0.92
"31201","all","0-5","2014","1 year",0.94
"31106","all","0-5","2014","1 year",0.89
"31105","all","0-5","2014","1 year",0.91
"31104","all","0-5","2014","1 year",0.95
"31103","all","0-5","2014","1 year",0.91
"31102","all","0-5","2014","1 year",0.9
"31101","all","0-5","2014","1 year",0.89
