"LGA_CODE21","calendar_year","sex","age_group","n_births","fertility_rate"
"10050",2013,"all","0-0",666,1.94
"10180",2013,"all","0-0",367,1.94
"10250",2013,"all","0-0",421,2.1
"10300",2013,"all","0-0",31,2.41
"10470",2013,"all","0-0",502,2.02
"10500",2013,"all","0-0",2298,1.9
"10550",2013,"all","0-0",296,2.2
"10600",2013,"all","0-0",125,2.34
"10650",2013,"all","0-0",86,2.31
"10750",2013,"all","0-0",5628,2.26
"10800",2013,"all","0-0",62,2.37
"10850",2013,"all","0-0",88,2.38
"10900",2013,"all","0-0",874,2.06
"10950",2013,"all","0-0",36,2.61
"11150",2013,"all","0-0",84,3.14
"11200",2013,"all","0-0",33,2.58
"11250",2013,"all","0-0",241,2.14
"11300",2013,"all","0-0",436,1.5
"11350",2013,"all","0-0",341,1.83
"11400",2013,"all","0-0",160,2.36
"11450",2013,"all","0-0",967,2.02
"11500",2013,"all","0-0",2389,2.11
"11520",2013,"all","0-0",1347,1.81
"11570",2013,"all","0-0",5687,2.23
"11600",2013,"all","0-0",36,2.26
"11650",2013,"all","0-0",3996,2.1
"11700",2013,"all","0-0",23,2.22
"11720",2013,"all","0-0",728,2.29
"11730",2013,"all","0-0",503,2.21
"11750",2013,"all","0-0",79,2.24
"11800",2013,"all","0-0",864,2.19
"12000",2013,"all","0-0",41,2.3
"12150",2013,"all","0-0",63,2.6
"12160",2013,"all","0-0",102,2.2
"12350",2013,"all","0-0",128,2.33
"12380",2013,"all","0-0",4237,2.41
"12390",2013,"all","0-0",742,2.37
"12700",2013,"all","0-0",77,1.89
"12730",2013,"all","0-0",87,2.24
"12750",2013,"all","0-0",294,2.25
"12850",2013,"all","0-0",2713,1.93
"12870",2013,"all","0-0",127,2.42
"12900",2013,"all","0-0",124,2.42
"12930",2013,"all","0-0",1979,1.79
"12950",2013,"all","0-0",57,2.6
"13010",2013,"all","0-0",101,2.6
"13310",2013,"all","0-0",350,2.14
"13340",2013,"all","0-0",90,2.1
"13450",2013,"all","0-0",381,2.33
