"LGA_CODE21","calendar_year","sex","age_group","n_births"
"10050",2013,"all","0-0",666
"10180",2013,"all","0-0",367
"10250",2013,"all","0-0",421
"10300",2013,"all","0-0",31
"10470",2013,"all","0-0",502
"10500",2013,"all","0-0",2298
"10550",2013,"all","0-0",296
"10600",2013,"all","0-0",125
"10650",2013,"all","0-0",86
"10750",2013,"all","0-0",5628
"10800",2013,"all","0-0",62
"10850",2013,"all","0-0",88
"10900",2013,"all","0-0",874
"10950",2013,"all","0-0",36
"11150",2013,"all","0-0",84
"11200",2013,"all","0-0",33
"11250",2013,"all","0-0",241
"11300",2013,"all","0-0",436
"11350",2013,"all","0-0",341
"11400",2013,"all","0-0",160
"11450",2013,"all","0-0",967
"11500",2013,"all","0-0",2389
"11520",2013,"all","0-0",1347
"11570",2013,"all","0-0",5687
"11600",2013,"all","0-0",36
"11650",2013,"all","0-0",3996
"11700",2013,"all","0-0",23
"11720",2013,"all","0-0",728
"11730",2013,"all","0-0",503
"11750",2013,"all","0-0",79
"11800",2013,"all","0-0",864
"12000",2013,"all","0-0",41
"12150",2013,"all","0-0",63
"12160",2013,"all","0-0",102
"12350",2013,"all","0-0",128
"12380",2013,"all","0-0",4237
"12390",2013,"all","0-0",742
"12700",2013,"all","0-0",77
"12730",2013,"all","0-0",87
"12750",2013,"all","0-0",294
"12850",2013,"all","0-0",2713
"12870",2013,"all","0-0",127
"12900",2013,"all","0-0",124
"12930",2013,"all","0-0",1979
"12950",2013,"all","0-0",57
"13010",2013,"all","0-0",101
"13310",2013,"all","0-0",350
"13340",2013,"all","0-0",90
"13450",2013,"all","0-0",381
"13550",2013,"all","0-0",201
"13660",2013,"all","0-0",57
"13800",2013,"all","0-0",823
"13850",2013,"all","0-0",22
"13910",2013,"all","0-0",235
"14000",2013,"all","0-0",1560
"14100",2013,"all","0-0",135
"14170",2013,"all","0-0",2984
"14220",2013,"all","0-0",264
"14300",2013,"all","0-0",61
"14350",2013,"all","0-0",332
"14400",2013,"all","0-0",193
"14500",2013,"all","0-0",941
"14550",2013,"all","0-0",106
"14600",2013,"all","0-0",93
"14650",2013,"all","0-0",2476
"14700",2013,"all","0-0",480
"14750",2013,"all","0-0",162
"14850",2013,"all","0-0",542
"14870",2013,"all","0-0",237
"14900",2013,"all","0-0",3240
"14920",2013,"all","0-0",78
"14950",2013,"all","0-0",27
"15050",2013,"all","0-0",1130
"15240",2013,"all","0-0",791
"15270",2013,"all","0-0",332
"15300",2013,"all","0-0",253
"15350",2013,"all","0-0",358
"15520",2013,"all","0-0",119
"15560",2013,"all","0-0",50
"15650",2013,"all","0-0",254
"15700",2013,"all","0-0",196
"15750",2013,"all","0-0",202
"15800",2013,"all","0-0",79
"15850",2013,"all","0-0",97
"15900",2013,"all","0-0",2129
"15950",2013,"all","0-0",1052
"15990",2013,"all","0-0",3442
"16100",2013,"all","0-0",55
"16150",2013,"all","0-0",641
"16200",2013,"all","0-0",217
"16260",2013,"all","0-0",3459
"16350",2013,"all","0-0",2966
"16380",2013,"all","0-0",775
"16400",2013,"all","0-0",788
"16490",2013,"all","0-0",751
"16550",2013,"all","0-0",2041
"16610",2013,"all","0-0",300
"16700",2013,"all","0-0",1597
"16900",2013,"all","0-0",868
"16950",2013,"all","0-0",991
"17000",2013,"all","0-0",337
"17040",2013,"all","0-0",208
"17080",2013,"all","0-0",157
"17100",2013,"all","0-0",541
"17150",2013,"all","0-0",2867
"17200",2013,"all","0-0",2319
"17310",2013,"all","0-0",815
"17350",2013,"all","0-0",69
"17400",2013,"all","0-0",49
"17420",2013,"all","0-0",1714
"17550",2013,"all","0-0",986
"17620",2013,"all","0-0",189
"17640",2013,"all","0-0",72
"17650",2013,"all","0-0",79
"17750",2013,"all","0-0",871
"17850",2013,"all","0-0",34
"17900",2013,"all","0-0",82
"17950",2013,"all","0-0",37
"18020",2013,"all","0-0",87
"18050",2013,"all","0-0",1151
"18100",2013,"all","0-0",34
"18200",2013,"all","0-0",67
"18250",2013,"all","0-0",966
"18350",2013,"all","0-0",444
"18400",2013,"all","0-0",581
"18450",2013,"all","0-0",2471
"18500",2013,"all","0-0",746
"18710",2013,"all","0-0",207
"19399",2013,"all","0-0",13
"10050",2014,"all","0-0",625
"10180",2014,"all","0-0",316
"10250",2014,"all","0-0",338
"10300",2014,"all","0-0",31
"10470",2014,"all","0-0",465
"10500",2014,"all","0-0",2195
"10550",2014,"all","0-0",269
"10600",2014,"all","0-0",133
"10650",2014,"all","0-0",92
"10750",2014,"all","0-0",5133
"10800",2014,"all","0-0",69
"10850",2014,"all","0-0",82
"10900",2014,"all","0-0",721
"10950",2014,"all","0-0",33
"11150",2014,"all","0-0",58
"11200",2014,"all","0-0",42
"11250",2014,"all","0-0",184
"11300",2014,"all","0-0",419
"11350",2014,"all","0-0",318
"11400",2014,"all","0-0",152
"11450",2014,"all","0-0",975
"11500",2014,"all","0-0",2133
"11520",2014,"all","0-0",1296
"11570",2014,"all","0-0",5155
"11600",2014,"all","0-0",32
"11650",2014,"all","0-0",3423
"11700",2014,"all","0-0",35
"11720",2014,"all","0-0",686
"11730",2014,"all","0-0",460
"11750",2014,"all","0-0",76
"11800",2014,"all","0-0",747
"12000",2014,"all","0-0",30
"12150",2014,"all","0-0",49
"12160",2014,"all","0-0",113
"12350",2014,"all","0-0",126
"12380",2014,"all","0-0",3999
"12390",2014,"all","0-0",697
"12700",2014,"all","0-0",78
"12730",2014,"all","0-0",83
"12750",2014,"all","0-0",263
"12850",2014,"all","0-0",2417
"12870",2014,"all","0-0",125
"12900",2014,"all","0-0",106
"12930",2014,"all","0-0",1882
"12950",2014,"all","0-0",33
"13010",2014,"all","0-0",92
"13310",2014,"all","0-0",275
"13340",2014,"all","0-0",106
"13450",2014,"all","0-0",355
"13550",2014,"all","0-0",156
"13660",2014,"all","0-0",55
"13800",2014,"all","0-0",772
"13850",2014,"all","0-0",34
"13910",2014,"all","0-0",197
"14000",2014,"all","0-0",1539
"14100",2014,"all","0-0",113
"14170",2014,"all","0-0",2586
"14220",2014,"all","0-0",199
"14300",2014,"all","0-0",70
"14350",2014,"all","0-0",271
"14400",2014,"all","0-0",175
"14500",2014,"all","0-0",867
"14550",2014,"all","0-0",78
"14600",2014,"all","0-0",84
"14650",2014,"all","0-0",2200
"14700",2014,"all","0-0",434
"14750",2014,"all","0-0",122
"14850",2014,"all","0-0",432
"14870",2014,"all","0-0",212
"14900",2014,"all","0-0",2932
"14920",2014,"all","0-0",74
"14950",2014,"all","0-0",34
"15050",2014,"all","0-0",996
"15240",2014,"all","0-0",728
"15270",2014,"all","0-0",292
"15300",2014,"all","0-0",208
"15350",2014,"all","0-0",322
"15520",2014,"all","0-0",113
"15560",2014,"all","0-0",37
"15650",2014,"all","0-0",220
"15700",2014,"all","0-0",168
"15750",2014,"all","0-0",189
"15800",2014,"all","0-0",68
"15850",2014,"all","0-0",81
"15900",2014,"all","0-0",1814
"15950",2014,"all","0-0",1139
"15990",2014,"all","0-0",3182
"16100",2014,"all","0-0",57
"16150",2014,"all","0-0",599
"16200",2014,"all","0-0",181
"16260",2014,"all","0-0",3288
"16350",2014,"all","0-0",2680
"16380",2014,"all","0-0",638
"16400",2014,"all","0-0",689
"16490",2014,"all","0-0",708
"16550",2014,"all","0-0",1780
"16610",2014,"all","0-0",253
"16700",2014,"all","0-0",1435
"16900",2014,"all","0-0",737
"16950",2014,"all","0-0",869
"17000",2014,"all","0-0",291
"17040",2014,"all","0-0",174
"17080",2014,"all","0-0",159
"17100",2014,"all","0-0",505
"17150",2014,"all","0-0",2636
"17200",2014,"all","0-0",2151
"17310",2014,"all","0-0",710
"17350",2014,"all","0-0",52
"17400",2014,"all","0-0",55
"17420",2014,"all","0-0",1506
"17550",2014,"all","0-0",841
"17620",2014,"all","0-0",169
"17640",2014,"all","0-0",74
"17650",2014,"all","0-0",63
"17750",2014,"all","0-0",821
"17850",2014,"all","0-0",47
"17900",2014,"all","0-0",63
"17950",2014,"all","0-0",35
"18020",2014,"all","0-0",81
"18050",2014,"all","0-0",1004
"18100",2014,"all","0-0",35
"18200",2014,"all","0-0",89
"18250",2014,"all","0-0",901
"18350",2014,"all","0-0",375
"18400",2014,"all","0-0",549
"18450",2014,"all","0-0",2160
"18500",2014,"all","0-0",690
"18710",2014,"all","0-0",201
"19399",2014,"all","0-0",8
"10050",2015,"all","0-0",669
"10180",2015,"all","0-0",331
"10250",2015,"all","0-0",386
"10300",2015,"all","0-0",42
"10470",2015,"all","0-0",534
"10500",2015,"all","0-0",2218
"10550",2015,"all","0-0",296
"10600",2015,"all","0-0",109
"10650",2015,"all","0-0",77
"10750",2015,"all","0-0",5709
"10800",2015,"all","0-0",83
"10850",2015,"all","0-0",74
"10900",2015,"all","0-0",772
"10950",2015,"all","0-0",52
"11150",2015,"all","0-0",56
"11200",2015,"all","0-0",30
"11250",2015,"all","0-0",227
"11300",2015,"all","0-0",455
"11350",2015,"all","0-0",370
"11400",2015,"all","0-0",150
"11450",2015,"all","0-0",1185
"11500",2015,"all","0-0",2493
"11520",2015,"all","0-0",1358
"11570",2015,"all","0-0",5740
"11600",2015,"all","0-0",36
"11650",2015,"all","0-0",3884
"11700",2015,"all","0-0",29
"11720",2015,"all","0-0",781
"11730",2015,"all","0-0",500
"11750",2015,"all","0-0",65
"11800",2015,"all","0-0",809
"12000",2015,"all","0-0",56
"12150",2015,"all","0-0",52
"12160",2015,"all","0-0",104
"12350",2015,"all","0-0",133
"12380",2015,"all","0-0",4168
"12390",2015,"all","0-0",767
"12700",2015,"all","0-0",86
"12730",2015,"all","0-0",114
"12750",2015,"all","0-0",302
"12850",2015,"all","0-0",2618
"12870",2015,"all","0-0",123
