"SA4_CODE21","calendar_year","sex","age_group","n_births","fertility_rate"
"102",2013,"all","0-0",3957,2.08
"115",2013,"all","0-0",2330,1.75
"116",2013,"all","0-0",5613,2.24
"117",2013,"all","0-0",3870,1.23
"118",2013,"all","0-0",3983,1.6
"119",2013,"all","0-0",8725,2.04
"120",2013,"all","0-0",4474,1.72
"121",2013,"all","0-0",4807,1.55
"122",2013,"all","0-0",3409,1.88
"123",2013,"all","0-0",3713,2.07
"124",2013,"all","0-0",4299,2.05
"125",2013,"all","0-0",7816,2.16
"126",2013,"all","0-0",2211,1.6
"127",2013,"all","0-0",5829,2.02
"128",2013,"all","0-0",2834,1.92
"101",2013,"all","0-0",2417,2.12
"103",2013,"all","0-0",2713,2.33
"104",2013,"all","0-0",1489,2.2
"105",2013,"all","0-0",1731,2.5
"106",2013,"all","0-0",3426,2.23
"107",2013,"all","0-0",3508,1.89
"108",2013,"all","0-0",2055,2.29
"109",2013,"all","0-0",1340,2.13
"110",2013,"all","0-0",2527,2.34
"111",2013,"all","0-0",4651,1.97
"112",2013,"all","0-0",2682,2.16
"113",2013,"all","0-0",2052,2.17
"114",2013,"all","0-0",1426,2.19
"206",2013,"all","0-0",6639,1.19
"207",2013,"all","0-0",3412,1.5
"208",2013,"all","0-0",4648,1.68
"209",2013,"all","0-0",6775,1.9
"210",2013,"all","0-0",5041,2.04
"211",2013,"all","0-0",5932,1.84
"212",2013,"all","0-0",9900,1.92
"213",2013,"all","0-0",11563,2.06
"214",2013,"all","0-0",3390,2.01
"201",2013,"all","0-0",1868,2.03
"202",2013,"all","0-0",1734,2.06
"203",2013,"all","0-0",3322,1.96
"204",2013,"all","0-0",1718,2.14
"205",2013,"all","0-0",2994,2.16
"215",2013,"all","0-0",1802,2.31
"216",2013,"all","0-0",1730,2.33
"217",2013,"all","0-0",1389,2.17
"301",2013,"all","0-0",2690,1.97
"302",2013,"all","0-0",2838,1.87
"303",2013,"all","0-0",4902,1.72
"304",2013,"all","0-0",2015,1.65
"305",2013,"all","0-0",2844,1.25
"310",2013,"all","0-0",5059,2.33
"311",2013,"all","0-0",5072,2.33
"313",2013,"all","0-0",2983,2.16
"314",2013,"all","0-0",2742,2.16
"306",2013,"all","0-0",3364,2.21
"307",2013,"all","0-0",1755,2.59
"308",2013,"all","0-0",3587,2.35
"309",2013,"all","0-0",6946,1.77
"312",2013,"all","0-0",2663,2.21
"315",2013,"all","0-0",1563,2.62
"316",2013,"all","0-0",3533,1.91
"317",2013,"all","0-0",2082,2.17
"318",2013,"all","0-0",3406,2.09
"319",2013,"all","0-0",3201,2.3
"401",2013,"all","0-0",2913,1.6
"402",2013,"all","0-0",6024,2.06
"403",2013,"all","0-0",4075,1.79
"404",2013,"all","0-0",2726,1.71
"405",2013,"all","0-0",1156,2.28
"406",2013,"all","0-0",1181,2.27
"407",2013,"all","0-0",2008,2.16
"502",2013,"all","0-0",1100,2.11
"503",2013,"all","0-0",1730,1.32
"504",2013,"all","0-0",3403,1.89
"505",2013,"all","0-0",7735,1.9
"506",2013,"all","0-0",7163,1.87
"507",2013,"all","0-0",5565,1.93
"501",2013,"all","0-0",2207,2.11
"509",2013,"all","0-0",1725,2.39
"510",2013,"all","0-0",1698,2.23
"511",2013,"all","0-0",1894,2.27
"601",2013,"all","0-0",2755,2.01
"602",2013,"all","0-0",1647,2.04
"603",2013,"all","0-0",362,2.26
"604",2013,"all","0-0",1269,2.13
"701",2013,"all","0-0",2350,2.01
"702",2013,"all","0-0",1698,2.23
"801",2013,"all","0-0",5544,1.76
"102",2014,"all","0-0",3385,1.96
"115",2014,"all","0-0",2061,1.67
"116",2014,"all","0-0",5122,2.13
"117",2014,"all","0-0",3526,1.17
"118",2014,"all","0-0",3488,1.5
"119",2014,"all","0-0",8155,1.97
"120",2014,"all","0-0",4046,1.67
"121",2014,"all","0-0",4660,1.6
"122",2014,"all","0-0",3148,1.83
