"SA4_CODE21","calendar_year","sex","age_group","fertility_rate"
"102",2013,"all","0-0",2.08
"115",2013,"all","0-0",1.75
"116",2013,"all","0-0",2.24
"117",2013,"all","0-0",1.23
"118",2013,"all","0-0",1.6
"119",2013,"all","0-0",2.04
"120",2013,"all","0-0",1.72
"121",2013,"all","0-0",1.55
"122",2013,"all","0-0",1.88
"123",2013,"all","0-0",2.07
"124",2013,"all","0-0",2.05
"125",2013,"all","0-0",2.16
"126",2013,"all","0-0",1.6
"127",2013,"all","0-0",2.02
"128",2013,"all","0-0",1.92
"101",2013,"all","0-0",2.12
"103",2013,"all","0-0",2.33
"104",2013,"all","0-0",2.2
"105",2013,"all","0-0",2.5
"106",2013,"all","0-0",2.23
"107",2013,"all","0-0",1.89
"108",2013,"all","0-0",2.29
"109",2013,"all","0-0",2.13
"110",2013,"all","0-0",2.34
"111",2013,"all","0-0",1.97
"112",2013,"all","0-0",2.16
"113",2013,"all","0-0",2.17
"114",2013,"all","0-0",2.19
"206",2013,"all","0-0",1.19
"207",2013,"all","0-0",1.5
"208",2013,"all","0-0",1.68
"209",2013,"all","0-0",1.9
"210",2013,"all","0-0",2.04
"211",2013,"all","0-0",1.84
"212",2013,"all","0-0",1.92
"213",2013,"all","0-0",2.06
"214",2013,"all","0-0",2.01
"201",2013,"all","0-0",2.03
"202",2013,"all","0-0",2.06
"203",2013,"all","0-0",1.96
"204",2013,"all","0-0",2.14
"205",2013,"all","0-0",2.16
"215",2013,"all","0-0",2.31
"216",2013,"all","0-0",2.33
"217",2013,"all","0-0",2.17
"301",2013,"all","0-0",1.97
"302",2013,"all","0-0",1.87
"303",2013,"all","0-0",1.72
"304",2013,"all","0-0",1.65
"305",2013,"all","0-0",1.25
"310",2013,"all","0-0",2.33
"311",2013,"all","0-0",2.33
"313",2013,"all","0-0",2.16
"314",2013,"all","0-0",2.16
"306",2013,"all","0-0",2.21
"307",2013,"all","0-0",2.59
"308",2013,"all","0-0",2.35
"309",2013,"all","0-0",1.77
"312",2013,"all","0-0",2.21
