"STE_CODE16","age_group","sex","year_range","bmi_categories","n","p"
1,"2-4","all","2017-2018","underweight","24400","0.08"
1,"2-4","all","2017-2018","normal","195600","0.639"
1,"2-4","all","2017-2018","overweight","50900","0.166"
1,"2-4","all","2017-2018","obese","22700","0.074"
1,"2-4","male","2017-2018","underweight","7900","0.053"
1,"2-4","male","2017-2018","normal","102700","0.686"
1,"2-4","male","2017-2018","overweight","23200","0.155"
1,"2-4","male","2017-2018","obese","8100","0.054"
1,"2-4","female","2017-2018","underweight","6700","0.044"
1,"2-4","female","2017-2018","normal","92800","0.616"
1,"2-4","female","2017-2018","overweight","23900","0.159"
1,"2-4","female","2017-2018","obese","9700","0.064"
1,"5-7","all","2017-2018","underweight","29100","0.098"
1,"5-7","all","2017-2018","normal","167900","0.567"
1,"5-7","all","2017-2018","overweight","64800","0.219"
1,"5-7","all","2017-2018","obese","26500","0.089"
1,"5-7","male","2017-2018","underweight","15000","0.107"
1,"5-7","male","2017-2018","normal","82700","0.589"
1,"5-7","male","2017-2018","overweight","28600","0.204"
1,"5-7","male","2017-2018","obese","14100","0.1"
1,"5-7","female","2017-2018","underweight","8000","0.05"
1,"5-7","female","2017-2018","normal","85100","0.533"
1,"5-7","female","2017-2018","overweight","38200","0.239"
1,"5-7","female","2017-2018","obese","21900","0.137"
1,"8-11","all","2017-2018","underweight","47300","0.115"
1,"8-11","all","2017-2018","normal","263300","0.638"
1,"8-11","all","2017-2018","overweight","79200","0.192"
1,"8-11","all","2017-2018","obese","22700","0.055"
1,"8-11","male","2017-2018","underweight","29000","0.128"
1,"8-11","male","2017-2018","normal","127100","0.559"
1,"8-11","male","2017-2018","overweight","51800","0.228"
1,"8-11","male","2017-2018","obese","6000","0.026"
1,"8-11","female","2017-2018","underweight","28100","0.155"
1,"8-11","female","2017-2018","normal","130400","0.718"
1,"8-11","female","2017-2018","overweight","21800","0.12"
1,"8-11","female","2017-2018","obese","10800","0.059"
1,"12-15","all","2017-2018","underweight","33200","0.091"
1,"12-15","all","2017-2018","normal","261400","0.715"
1,"12-15","all","2017-2018","overweight","53300","0.146"
1,"12-15","all","2017-2018","obese","25600","0.07"
1,"12-15","male","2017-2018","underweight","14300","0.073"
1,"12-15","male","2017-2018","normal","146600","0.744"
1,"12-15","male","2017-2018","overweight","24700","0.125"
1,"12-15","male","2017-2018","obese","14600","0.074"
1,"12-15","female","2017-2018","underweight","18800","0.115"
1,"12-15","female","2017-2018","normal","114600","0.701"
1,"12-15","female","2017-2018","overweight","31900","0.195"
1,"12-15","female","2017-2018","obese","9800","0.06"
1,"16-17","all","2017-2018","underweight","12600","0.071"
1,"16-17","all","2017-2018","normal","110900","0.628"
1,"16-17","all","2017-2018","overweight","29800","0.169"
1,"16-17","all","2017-2018","obese","24400","0.138"
1,"16-17","male","2017-2018","underweight","3700","0.046"
1,"16-17","male","2017-2018","normal","47300","0.583"
1,"16-17","male","2017-2018","overweight","11700","0.144"
1,"16-17","male","2017-2018","obese","6500","0.08"
1,"16-17","female","2017-2018","underweight","6000","0.061"
1,"16-17","female","2017-2018","normal","57000","0.579"
1,"16-17","female","2017-2018","overweight","12600","0.128"
1,"16-17","female","2017-2018","obese","18200","0.185"
2,"2-4","all","2017-2018","underweight","19200","0.079"
2,"2-4","all","2017-2018","normal","164800","0.676"
2,"2-4","all","2017-2018","overweight","40400","0.166"
2,"2-4","all","2017-2018","obese","23000","0.094"
2,"2-4","male","2017-2018","underweight","4000","0.034"
2,"2-4","male","2017-2018","normal","81100","0.688"
2,"2-4","male","2017-2018","overweight","27900","0.237"
2,"2-4","male","2017-2018","obese","20500","0.174"
2,"2-4","female","2017-2018","underweight","11500","0.093"
2,"2-4","female","2017-2018","normal","78100","0.629"
2,"2-4","female","2017-2018","overweight","19200","0.155"
2,"2-4","female","2017-2018","obese","8200","0.066"
2,"5-7","all","2017-2018","underweight","10600","0.047"
2,"5-7","all","2017-2018","normal","150000","0.667"
2,"5-7","all","2017-2018","overweight","39900","0.177"
2,"5-7","all","2017-2018","obese","26200","0.116"
2,"5-7","male","2017-2018","underweight","13900","0.116"
2,"5-7","male","2017-2018","normal","72900","0.608"
2,"5-7","male","2017-2018","overweight","16700","0.139"
2,"5-7","male","2017-2018","obese","14800","0.123"
2,"5-7","female","2017-2018","underweight","NULL","NULL"
2,"5-7","female","2017-2018","normal","71500","0.693"
2,"5-7","female","2017-2018","overweight","18200","0.176"
2,"5-7","female","2017-2018","obese","8600","0.083"
2,"8-11","all","2017-2018","underweight","27500","0.087"
2,"8-11","all","2017-2018","normal","224700","0.708"
2,"8-11","all","2017-2018","overweight","51000","0.161"
2,"8-11","all","2017-2018","obese","11400","0.036"
2,"8-11","male","2017-2018","underweight","5400","0.032"
2,"8-11","male","2017-2018","normal","125100","0.751"
2,"8-11","male","2017-2018","overweight","26600","0.16"
2,"8-11","male","2017-2018","obese","4700","0.028"
2,"8-11","female","2017-2018","underweight","11600","0.07"
2,"8-11","female","2017-2018","normal","116900","0.705"
2,"8-11","female","2017-2018","overweight","17400","0.105"
2,"8-11","female","2017-2018","obese","7700","0.046"
2,"12-15","all","2017-2018","underweight","6000","0.02"
2,"12-15","all","2017-2018","normal","229500","0.783"
2,"12-15","all","2017-2018","overweight","34200","0.117"
2,"12-15","all","2017-2018","obese","23500","0.08"
2,"12-15","male","2017-2018","underweight","3800","0.024"
2,"12-15","male","2017-2018","normal","135100","0.848"
2,"12-15","male","2017-2018","overweight","13600","0.085"
2,"12-15","male","2017-2018","obese","10500","0.066"
2,"12-15","female","2017-2018","underweight","6200","0.046"
2,"12-15","female","2017-2018","normal","99700","0.746"
2,"12-15","female","2017-2018","overweight","23100","0.173"
2,"12-15","female","2017-2018","obese","8700","0.065"
2,"16-17","all","2017-2018","underweight","8400","0.059"
2,"16-17","all","2017-2018","normal","97000","0.686"
2,"16-17","all","2017-2018","overweight","23400","0.165"
2,"16-17","all","2017-2018","obese","17900","0.127"
2,"16-17","male","2017-2018","underweight","4000","0.067"
2,"16-17","male","2017-2018","normal","36400","0.607"
2,"16-17","male","2017-2018","overweight","8900","0.148"
2,"16-17","male","2017-2018","obese","13300","0.222"
2,"16-17","female","2017-2018","underweight","3200","0.04"
2,"16-17","female","2017-2018","normal","56900","0.719"
2,"16-17","female","2017-2018","overweight","11600","0.147"
2,"16-17","female","2017-2018","obese","NULL","NULL"
3,"2-4","all","2017-2018","underweight","26900","0.139"
3,"2-4","all","2017-2018","normal","122200","0.632"
3,"2-4","all","2017-2018","overweight","21300","0.11"
3,"2-4","all","2017-2018","obese","18100","0.094"
3,"2-4","male","2017-2018","underweight","19400","0.202"
3,"2-4","male","2017-2018","normal","60500","0.629"
3,"2-4","male","2017-2018","overweight","8100","0.084"
3,"2-4","male","2017-2018","obese","4800","0.05"
3,"2-4","female","2017-2018","underweight","7100","0.075"
3,"2-4","female","2017-2018","normal","62700","0.658"
3,"2-4","female","2017-2018","overweight","15000","0.157"
3,"2-4","female","2017-2018","obese","10600","0.111"
3,"5-7","all","2017-2018","underweight","18800","0.086"
3,"5-7","all","2017-2018","normal","146800","0.669"
3,"5-7","all","2017-2018","overweight","34500","0.157"
3,"5-7","all","2017-2018","obese","16900","0.077"
3,"5-7","male","2017-2018","underweight","7700","0.067"
3,"5-7","male","2017-2018","normal","79600","0.69"
3,"5-7","male","2017-2018","overweight","9100","0.079"
3,"5-7","male","2017-2018","obese","15300","0.133"
3,"5-7","female","2017-2018","underweight","3500","0.033"
3,"5-7","female","2017-2018","normal","65000","0.606"
3,"5-7","female","2017-2018","overweight","23400","0.218"
3,"5-7","female","2017-2018","obese","6600","0.062"
3,"8-11","all","2017-2018","underweight","35100","0.144"
3,"8-11","all","2017-2018","normal","144900","0.594"
3,"8-11","all","2017-2018","overweight","40400","0.166"
3,"8-11","all","2017-2018","obese","25900","0.106"
3,"8-11","male","2017-2018","underweight","14000","0.114"
3,"8-11","male","2017-2018","normal","67400","0.548"
3,"8-11","male","2017-2018","overweight","30400","0.247"
3,"8-11","male","2017-2018","obese","9300","0.076"
3,"8-11","female","2017-2018","underweight","21400","0.182"
3,"8-11","female","2017-2018","normal","68900","0.585"
3,"8-11","female","2017-2018","overweight","12500","0.106"
3,"8-11","female","2017-2018","obese","11500","0.098"
3,"12-15","all","2017-2018","underweight","25000","0.103"
3,"12-15","all","2017-2018","normal","165800","0.683"
3,"12-15","all","2017-2018","overweight","33000","0.136"
3,"12-15","all","2017-2018","obese","21900","0.09"
3,"12-15","male","2017-2018","underweight","5100","0.042"
3,"12-15","male","2017-2018","normal","80500","0.656"
3,"12-15","male","2017-2018","overweight","22100","0.18"
3,"12-15","male","2017-2018","obese","14000","0.114"
3,"12-15","female","2017-2018","underweight","15200","0.125"
3,"12-15","female","2017-2018","normal","88000","0.726"
3,"12-15","female","2017-2018","overweight","11200","0.092"
3,"12-15","female","2017-2018","obese","4900","0.04"
3,"16-17","all","2017-2018","underweight","4000","0.034"
3,"16-17","all","2017-2018","normal","79300","0.67"
3,"16-17","all","2017-2018","overweight","26100","0.22"
3,"16-17","all","2017-2018","obese","9400","0.079"
3,"16-17","male","2017-2018","underweight","2000","0.034"
3,"16-17","male","2017-2018","normal","38000","0.637"
3,"16-17","male","2017-2018","overweight","15500","0.26"
3,"16-17","male","2017-2018","obese","5200","0.087"
3,"16-17","female","2017-2018","underweight","2000","0.035"
3,"16-17","female","2017-2018","normal","45200","0.786"
3,"16-17","female","2017-2018","overweight","9200","0.16"
3,"16-17","female","2017-2018","obese","2500","0.043"
4,"2-4","all","2017-2018","underweight","3300","0.055"
4,"2-4","all","2017-2018","normal","41800","0.7"
4,"2-4","all","2017-2018","overweight","10200","0.171"
4,"2-4","all","2017-2018","obese","NULL","NULL"
4,"2-4","male","2017-2018","underweight","3100","0.107"
4,"2-4","male","2017-2018","normal","20500","0.709"
4,"2-4","male","2017-2018","overweight","5100","0.176"
4,"2-4","male","2017-2018","obese","NULL","NULL"
4,"2-4","female","2017-2018","underweight","2100","0.068"
