"STE_CODE16","age_group","sex","year_range","2014_pa_guidelines_any","n"
1,"18-24","all","2017-2018","met_guidelines",163600
1,"18-24","all","2017-2018","did_not_meet_guidelines",550100
2,"18-24","all","2017-2018","met_guidelines",149100
2,"18-24","all","2017-2018","did_not_meet_guidelines",461900
3,"18-24","all","2017-2018","met_guidelines",88400
3,"18-24","all","2017-2018","did_not_meet_guidelines",351900
4,"18-24","all","2017-2018","met_guidelines",32600
4,"18-24","all","2017-2018","did_not_meet_guidelines",114000
5,"18-24","all","2017-2018","met_guidelines",60500
5,"18-24","all","2017-2018","did_not_meet_guidelines",149800
6,"18-24","all","2017-2018","met_guidelines",6800
6,"18-24","all","2017-2018","did_not_meet_guidelines",36600
7,"18-24","all","2017-2018","met_guidelines",3600
7,"18-24","all","2017-2018","did_not_meet_guidelines",10700
8,"18-24","all","2017-2018","met_guidelines",8900
8,"18-24","all","2017-2018","did_not_meet_guidelines",30100
1,"18-24","male","2017-2018","met_guidelines",91600
1,"18-24","male","2017-2018","did_not_meet_guidelines",273700
2,"18-24","male","2017-2018","met_guidelines",71500
2,"18-24","male","2017-2018","did_not_meet_guidelines",225700
3,"18-24","male","2017-2018","met_guidelines",43400
3,"18-24","male","2017-2018","did_not_meet_guidelines",184200
4,"18-24","male","2017-2018","met_guidelines",27600
4,"18-24","male","2017-2018","did_not_meet_guidelines",55500
5,"18-24","male","2017-2018","met_guidelines",43900
5,"18-24","male","2017-2018","did_not_meet_guidelines",69000
6,"18-24","male","2017-2018","met_guidelines",5300
6,"18-24","male","2017-2018","did_not_meet_guidelines",17800
7,"18-24","male","2017-2018","met_guidelines",1300
7,"18-24","male","2017-2018","did_not_meet_guidelines",5700
8,"18-24","male","2017-2018","met_guidelines",5900
8,"18-24","male","2017-2018","did_not_meet_guidelines",13300
1,"18-24","female","2017-2018","met_guidelines",81100
1,"18-24","female","2017-2018","did_not_meet_guidelines",285000
2,"18-24","female","2017-2018","met_guidelines",69400
2,"18-24","female","2017-2018","did_not_meet_guidelines",238500
3,"18-24","female","2017-2018","met_guidelines",47200
3,"18-24","female","2017-2018","did_not_meet_guidelines",180000
4,"18-24","female","2017-2018","met_guidelines",13600
4,"18-24","female","2017-2018","did_not_meet_guidelines",58100
5,"18-24","female","2017-2018","met_guidelines",21300
5,"18-24","female","2017-2018","did_not_meet_guidelines",84500
6,"18-24","female","2017-2018","met_guidelines",4000
6,"18-24","female","2017-2018","did_not_meet_guidelines",17300
7,"18-24","female","2017-2018","met_guidelines",2300
7,"18-24","female","2017-2018","did_not_meet_guidelines",4500
8,"18-24","female","2017-2018","met_guidelines",2400
8,"18-24","female","2017-2018","did_not_meet_guidelines",15800
