"STE_CODE16","age_group","sex","year_range","2014_pa_guidelines_exercise_only","n"
1,"18-24","all","2017-2018","met_guidelines",140000
1,"18-24","all","2017-2018","did_not_meet_guidelines",566700
2,"18-24","all","2017-2018","met_guidelines",123800
2,"18-24","all","2017-2018","did_not_meet_guidelines",490000
3,"18-24","all","2017-2018","met_guidelines",71300
3,"18-24","all","2017-2018","did_not_meet_guidelines",365500
4,"18-24","all","2017-2018","met_guidelines",37200
4,"18-24","all","2017-2018","did_not_meet_guidelines",120500
5,"18-24","all","2017-2018","met_guidelines",58800
5,"18-24","all","2017-2018","did_not_meet_guidelines",161500
6,"18-24","all","2017-2018","met_guidelines",6500
6,"18-24","all","2017-2018","did_not_meet_guidelines",38200
7,"18-24","all","2017-2018","met_guidelines",3800
7,"18-24","all","2017-2018","did_not_meet_guidelines",10500
8,"18-24","all","2017-2018","met_guidelines",7200
8,"18-24","all","2017-2018","did_not_meet_guidelines",30400
1,"18-24","male","2017-2018","met_guidelines",76900
1,"18-24","male","2017-2018","did_not_meet_guidelines",292000
2,"18-24","male","2017-2018","met_guidelines",60600
2,"18-24","male","2017-2018","did_not_meet_guidelines",244700
3,"18-24","male","2017-2018","met_guidelines",35400
3,"18-24","male","2017-2018","did_not_meet_guidelines",188000
4,"18-24","male","2017-2018","met_guidelines",22300
4,"18-24","male","2017-2018","did_not_meet_guidelines",53600
5,"18-24","male","2017-2018","met_guidelines",34100
5,"18-24","male","2017-2018","did_not_meet_guidelines",70300
6,"18-24","male","2017-2018","met_guidelines",4000
6,"18-24","male","2017-2018","did_not_meet_guidelines",19900
7,"18-24","male","2017-2018","met_guidelines",1300
7,"18-24","male","2017-2018","did_not_meet_guidelines",5700
8,"18-24","male","2017-2018","met_guidelines",5500
8,"18-24","male","2017-2018","did_not_meet_guidelines",13200
1,"18-24","female","2017-2018","met_guidelines",77000
1,"18-24","female","2017-2018","did_not_meet_guidelines",282700
2,"18-24","female","2017-2018","met_guidelines",66000
2,"18-24","female","2017-2018","did_not_meet_guidelines",236400
3,"18-24","female","2017-2018","met_guidelines",37000
3,"18-24","female","2017-2018","did_not_meet_guidelines",179300
4,"18-24","female","2017-2018","met_guidelines",13600
4,"18-24","female","2017-2018","did_not_meet_guidelines",58100
5,"18-24","female","2017-2018","met_guidelines",24400
5,"18-24","female","2017-2018","did_not_meet_guidelines",84800
6,"18-24","female","2017-2018","met_guidelines",2300
6,"18-24","female","2017-2018","did_not_meet_guidelines",18300
7,"18-24","female","2017-2018","met_guidelines",1600
7,"18-24","female","2017-2018","did_not_meet_guidelines",4800
8,"18-24","female","2017-2018","met_guidelines",2400
8,"18-24","female","2017-2018","did_not_meet_guidelines",15800
