"STE_CODE16","age_group","sex","year_range","days_pa_last_week","n"
1,"18-24","all","2017-2018","none","21300"
1,"18-24","all","2017-2018","1–4","246800"
1,"18-24","all","2017-2018","5–6","273600"
1,"18-24","all","2017-2018","7","194600"
1,"18-24","all","2017-2018","5_or_more","460900"
2,"18-24","all","2017-2018","none","42500"
2,"18-24","all","2017-2018","1–4","216400"
2,"18-24","all","2017-2018","5–6","195700"
2,"18-24","all","2017-2018","7","150100"
2,"18-24","all","2017-2018","5_or_more","354000"
3,"18-24","all","2017-2018","none","44600"
3,"18-24","all","2017-2018","1–4","167400"
3,"18-24","all","2017-2018","5–6","152200"
3,"18-24","all","2017-2018","7","81900"
3,"18-24","all","2017-2018","5_or_more","235800"
4,"18-24","all","2017-2018","none","8100"
4,"18-24","all","2017-2018","1–4","61400"
4,"18-24","all","2017-2018","5–6","49600"
4,"18-24","all","2017-2018","7","27200"
4,"18-24","all","2017-2018","5_or_more","79300"
5,"18-24","all","2017-2018","none","12200"
5,"18-24","all","2017-2018","1–4","89700"
5,"18-24","all","2017-2018","5–6","63900"
5,"18-24","all","2017-2018","7","51300"
5,"18-24","all","2017-2018","5_or_more","117300"
6,"18-24","all","2017-2018","none","6700"
6,"18-24","all","2017-2018","1–4","12000"
6,"18-24","all","2017-2018","5–6","13700"
6,"18-24","all","2017-2018","7","8200"
6,"18-24","all","2017-2018","5_or_more","22300"
7,"18-24","all","2017-2018","none","1500"
7,"18-24","all","2017-2018","1–4","3500"
7,"18-24","all","2017-2018","5–6","4900"
7,"18-24","all","2017-2018","7","4300"
7,"18-24","all","2017-2018","5_or_more","9100"
8,"18-24","all","2017-2018","none","3200"
8,"18-24","all","2017-2018","1–4","15700"
8,"18-24","all","2017-2018","5–6","12500"
8,"18-24","all","2017-2018","7","6800"
8,"18-24","all","2017-2018","5_or_more","21600"
1,"18-24","male","2017-2018","none","8400"
1,"18-24","male","2017-2018","1–4","129200"
1,"18-24","male","2017-2018","5–6","151300"
1,"18-24","male","2017-2018","7","81300"
1,"18-24","male","2017-2018","5_or_more","236800"
2,"18-24","male","2017-2018","none","18100"
2,"18-24","male","2017-2018","1–4","105000"
2,"18-24","male","2017-2018","5–6","105200"
2,"18-24","male","2017-2018","7","90200"
2,"18-24","male","2017-2018","5_or_more","184200"
3,"18-24","male","2017-2018","none","21500"
3,"18-24","male","2017-2018","1–4","90000"
3,"18-24","male","2017-2018","5–6","80000"
3,"18-24","male","2017-2018","7","46800"
3,"18-24","male","2017-2018","5_or_more","125200"
4,"18-24","male","2017-2018","none","NULL"
4,"18-24","male","2017-2018","1–4","22800"
4,"18-24","male","2017-2018","5–6","37900"
4,"18-24","male","2017-2018","7","19900"
4,"18-24","male","2017-2018","5_or_more","56600"
5,"18-24","male","2017-2018","none","6300"
5,"18-24","male","2017-2018","1–4","41100"
5,"18-24","male","2017-2018","5–6","36800"
5,"18-24","male","2017-2018","7","30900"
5,"18-24","male","2017-2018","5_or_more","66900"
6,"18-24","male","2017-2018","none","2000"
6,"18-24","male","2017-2018","1–4","8100"
6,"18-24","male","2017-2018","5–6","6700"
6,"18-24","male","2017-2018","7","7300"
6,"18-24","male","2017-2018","5_or_more","12400"
7,"18-24","male","2017-2018","none","NULL"
7,"18-24","male","2017-2018","1–4","2000"
7,"18-24","male","2017-2018","5–6","3200"
7,"18-24","male","2017-2018","7","2500"
7,"18-24","male","2017-2018","5_or_more","5000"
8,"18-24","male","2017-2018","none","2000"
8,"18-24","male","2017-2018","1–4","7400"
8,"18-24","male","2017-2018","5–6","7800"
8,"18-24","male","2017-2018","7","3600"
8,"18-24","male","2017-2018","5_or_more","9800"
1,"18-24","female","2017-2018","none","12800"
1,"18-24","female","2017-2018","1–4","122200"
1,"18-24","female","2017-2018","5–6","125000"
1,"18-24","female","2017-2018","7","96200"
1,"18-24","female","2017-2018","5_or_more","224200"
2,"18-24","female","2017-2018","none","13400"
2,"18-24","female","2017-2018","1–4","105800"
2,"18-24","female","2017-2018","5–6","87100"
2,"18-24","female","2017-2018","7","67800"
2,"18-24","female","2017-2018","5_or_more","175800"
3,"18-24","female","2017-2018","none","35900"
3,"18-24","female","2017-2018","1–4","81500"
3,"18-24","female","2017-2018","5–6","65000"
3,"18-24","female","2017-2018","7","43400"
3,"18-24","female","2017-2018","5_or_more","112200"
4,"18-24","female","2017-2018","none","10100"
4,"18-24","female","2017-2018","1–4","40200"
4,"18-24","female","2017-2018","5–6","16800"
4,"18-24","female","2017-2018","7","12200"
4,"18-24","female","2017-2018","5_or_more","25200"
5,"18-24","female","2017-2018","none","9000"
5,"18-24","female","2017-2018","1–4","42700"
5,"18-24","female","2017-2018","5–6","35000"
5,"18-24","female","2017-2018","7","16700"
5,"18-24","female","2017-2018","5_or_more","43100"
6,"18-24","female","2017-2018","none","5100"
6,"18-24","female","2017-2018","1–4","6300"
6,"18-24","female","2017-2018","5–6","6600"
6,"18-24","female","2017-2018","7","3700"
6,"18-24","female","2017-2018","5_or_more","9500"
7,"18-24","female","2017-2018","none","1000"
7,"18-24","female","2017-2018","1–4","1900"
7,"18-24","female","2017-2018","5–6","2300"
7,"18-24","female","2017-2018","7","1700"
7,"18-24","female","2017-2018","5_or_more","3900"
8,"18-24","female","2017-2018","none","1300"
8,"18-24","female","2017-2018","1–4","7900"
8,"18-24","female","2017-2018","5–6","5100"
8,"18-24","female","2017-2018","7","4400"
8,"18-24","female","2017-2018","5_or_more","10700"
