"STE_CODE16","age_group","sex","year_range","min_pa_last_week","n"
1,"18-24","all","2017-2018","0_minutes","21300"
1,"18-24","all","2017-2018","between_1_and_149_minutes","130600"
1,"18-24","all","2017-2018","between_150_and_300_minutes","132400"
1,"18-24","all","2017-2018","more_than_300_minutes","420500"
1,"18-24","all","2017-2018","total_150_minutes_or_more","571300"
2,"18-24","all","2017-2018","0_minutes","42500"
2,"18-24","all","2017-2018","between_1_and_149_minutes","99400"
2,"18-24","all","2017-2018","between_150_and_300_minutes","120500"
2,"18-24","all","2017-2018","more_than_300_minutes","341200"
2,"18-24","all","2017-2018","total_150_minutes_or_more","461700"
3,"18-24","all","2017-2018","0_minutes","44600"
3,"18-24","all","2017-2018","between_1_and_149_minutes","106700"
3,"18-24","all","2017-2018","between_150_and_300_minutes","62700"
3,"18-24","all","2017-2018","more_than_300_minutes","226300"
3,"18-24","all","2017-2018","total_150_minutes_or_more","278400"
4,"18-24","all","2017-2018","0_minutes","8100"
4,"18-24","all","2017-2018","between_1_and_149_minutes","33500"
4,"18-24","all","2017-2018","between_150_and_300_minutes","27800"
4,"18-24","all","2017-2018","more_than_300_minutes","88300"
4,"18-24","all","2017-2018","total_150_minutes_or_more","113500"
5,"18-24","all","2017-2018","0_minutes","12200"
5,"18-24","all","2017-2018","between_1_and_149_minutes","28700"
5,"18-24","all","2017-2018","between_150_and_300_minutes","36500"
5,"18-24","all","2017-2018","more_than_300_minutes","138100"
5,"18-24","all","2017-2018","total_150_minutes_or_more","170600"
6,"18-24","all","2017-2018","0_minutes","6700"
6,"18-24","all","2017-2018","between_1_and_149_minutes","9900"
6,"18-24","all","2017-2018","between_150_and_300_minutes","5300"
6,"18-24","all","2017-2018","more_than_300_minutes","21500"
6,"18-24","all","2017-2018","total_150_minutes_or_more","27600"
7,"18-24","all","2017-2018","0_minutes","1500"
7,"18-24","all","2017-2018","between_1_and_149_minutes","2100"
7,"18-24","all","2017-2018","between_150_and_300_minutes","3000"
7,"18-24","all","2017-2018","more_than_300_minutes","8500"
7,"18-24","all","2017-2018","total_150_minutes_or_more","11000"
8,"18-24","all","2017-2018","0_minutes","3200"
8,"18-24","all","2017-2018","between_1_and_149_minutes","9900"
8,"18-24","all","2017-2018","between_150_and_300_minutes","7500"
8,"18-24","all","2017-2018","more_than_300_minutes","17300"
8,"18-24","all","2017-2018","total_150_minutes_or_more","24500"
1,"18-24","male","2017-2018","0_minutes","8400"
1,"18-24","male","2017-2018","between_1_and_149_minutes","41800"
1,"18-24","male","2017-2018","between_150_and_300_minutes","45300"
1,"18-24","male","2017-2018","more_than_300_minutes","243600"
1,"18-24","male","2017-2018","total_150_minutes_or_more","306300"
2,"18-24","male","2017-2018","0_minutes","18100"
2,"18-24","male","2017-2018","between_1_and_149_minutes","39800"
2,"18-24","male","2017-2018","between_150_and_300_minutes","49400"
2,"18-24","male","2017-2018","more_than_300_minutes","197000"
2,"18-24","male","2017-2018","total_150_minutes_or_more","252100"
3,"18-24","male","2017-2018","0_minutes","21500"
3,"18-24","male","2017-2018","between_1_and_149_minutes","54300"
3,"18-24","male","2017-2018","between_150_and_300_minutes","21400"
3,"18-24","male","2017-2018","more_than_300_minutes","133400"
3,"18-24","male","2017-2018","total_150_minutes_or_more","162200"
4,"18-24","male","2017-2018","0_minutes","NULL"
4,"18-24","male","2017-2018","between_1_and_149_minutes","16200"
4,"18-24","male","2017-2018","between_150_and_300_minutes","20400"
4,"18-24","male","2017-2018","more_than_300_minutes","46900"
4,"18-24","male","2017-2018","total_150_minutes_or_more","56700"
5,"18-24","male","2017-2018","0_minutes","6300"
5,"18-24","male","2017-2018","between_1_and_149_minutes","7100"
5,"18-24","male","2017-2018","between_150_and_300_minutes","6400"
5,"18-24","male","2017-2018","more_than_300_minutes","94600"
5,"18-24","male","2017-2018","total_150_minutes_or_more","97400"
6,"18-24","male","2017-2018","0_minutes","2000"
6,"18-24","male","2017-2018","between_1_and_149_minutes","4000"
6,"18-24","male","2017-2018","between_150_and_300_minutes","2200"
6,"18-24","male","2017-2018","more_than_300_minutes","14000"
6,"18-24","male","2017-2018","total_150_minutes_or_more","14600"
7,"18-24","male","2017-2018","0_minutes","NULL"
7,"18-24","male","2017-2018","between_1_and_149_minutes","1300"
7,"18-24","male","2017-2018","between_150_and_300_minutes","1300"
7,"18-24","male","2017-2018","more_than_300_minutes","5400"
7,"18-24","male","2017-2018","total_150_minutes_or_more","6100"
8,"18-24","male","2017-2018","0_minutes","2000"
8,"18-24","male","2017-2018","between_1_and_149_minutes","4500"
8,"18-24","male","2017-2018","between_150_and_300_minutes","3300"
8,"18-24","male","2017-2018","more_than_300_minutes","11100"
8,"18-24","male","2017-2018","total_150_minutes_or_more","11100"
1,"18-24","female","2017-2018","0_minutes","12800"
1,"18-24","female","2017-2018","between_1_and_149_minutes","53300"
