"STE_CODE16","age_group","sex","year_range","min_exercise_last_week","n"
1,"18-24","all","2017-2018","0_minutes",37000
1,"18-24","all","2017-2018","between_1_and_149_minutes",199600
1,"18-24","all","2017-2018","between_150_and_300_minutes",167900
1,"18-24","all","2017-2018","more_than_300_minutes",313000
1,"18-24","all","2017-2018","total_150_minutes_or_more",476700
2,"18-24","all","2017-2018","0_minutes",51300
2,"18-24","all","2017-2018","between_1_and_149_minutes",141100
2,"18-24","all","2017-2018","between_150_and_300_minutes",159500
2,"18-24","all","2017-2018","more_than_300_minutes",259300
2,"18-24","all","2017-2018","total_150_minutes_or_more",412500
3,"18-24","all","2017-2018","0_minutes",76200
3,"18-24","all","2017-2018","between_1_and_149_minutes",134600
3,"18-24","all","2017-2018","between_150_and_300_minutes",70500
3,"18-24","all","2017-2018","more_than_300_minutes",168000
3,"18-24","all","2017-2018","total_150_minutes_or_more",238600
4,"18-24","all","2017-2018","0_minutes",9800
4,"18-24","all","2017-2018","between_1_and_149_minutes",36100
4,"18-24","all","2017-2018","between_150_and_300_minutes",34700
4,"18-24","all","2017-2018","more_than_300_minutes",72100
4,"18-24","all","2017-2018","total_150_minutes_or_more",105500
5,"18-24","all","2017-2018","0_minutes",15400
5,"18-24","all","2017-2018","between_1_and_149_minutes",57500
5,"18-24","all","2017-2018","between_150_and_300_minutes",34200
5,"18-24","all","2017-2018","more_than_300_minutes",101100
5,"18-24","all","2017-2018","total_150_minutes_or_more",142600
6,"18-24","all","2017-2018","0_minutes",7500
6,"18-24","all","2017-2018","between_1_and_149_minutes",14300
6,"18-24","all","2017-2018","between_150_and_300_minutes",8500
6,"18-24","all","2017-2018","more_than_300_minutes",13800
6,"18-24","all","2017-2018","total_150_minutes_or_more",22800
7,"18-24","all","2017-2018","0_minutes",2500
7,"18-24","all","2017-2018","between_1_and_149_minutes",3200
7,"18-24","all","2017-2018","between_150_and_300_minutes",3700
7,"18-24","all","2017-2018","more_than_300_minutes",5100
7,"18-24","all","2017-2018","total_150_minutes_or_more",8400
8,"18-24","all","2017-2018","0_minutes",5300
8,"18-24","all","2017-2018","between_1_and_149_minutes",10600
8,"18-24","all","2017-2018","between_150_and_300_minutes",7700
8,"18-24","all","2017-2018","more_than_300_minutes",15900
8,"18-24","all","2017-2018","total_150_minutes_or_more",23500
1,"18-24","male","2017-2018","0_minutes",26300
1,"18-24","male","2017-2018","between_1_and_149_minutes",95600
1,"18-24","male","2017-2018","between_150_and_300_minutes",83500
1,"18-24","male","2017-2018","more_than_300_minutes",187400
1,"18-24","male","2017-2018","total_150_minutes_or_more",249500
2,"18-24","male","2017-2018","0_minutes",27200
2,"18-24","male","2017-2018","between_1_and_149_minutes",72900
2,"18-24","male","2017-2018","between_150_and_300_minutes",55800
2,"18-24","male","2017-2018","more_than_300_minutes",147200
2,"18-24","male","2017-2018","total_150_minutes_or_more",226000
3,"18-24","male","2017-2018","0_minutes",30100
3,"18-24","male","2017-2018","between_1_and_149_minutes",57100
3,"18-24","male","2017-2018","between_150_and_300_minutes",36200
3,"18-24","male","2017-2018","more_than_300_minutes",88000
3,"18-24","male","2017-2018","total_150_minutes_or_more",131400
4,"18-24","male","2017-2018","0_minutes",1700
4,"18-24","male","2017-2018","between_1_and_149_minutes",17600
4,"18-24","male","2017-2018","between_150_and_300_minutes",21700
4,"18-24","male","2017-2018","more_than_300_minutes",33400
4,"18-24","male","2017-2018","total_150_minutes_or_more",52500
5,"18-24","male","2017-2018","0_minutes",4800
5,"18-24","male","2017-2018","between_1_and_149_minutes",26000
5,"18-24","male","2017-2018","between_150_and_300_minutes",11000
5,"18-24","male","2017-2018","more_than_300_minutes",68100
5,"18-24","male","2017-2018","total_150_minutes_or_more",73900
6,"18-24","male","2017-2018","0_minutes",2100
6,"18-24","male","2017-2018","between_1_and_149_minutes",6200
6,"18-24","male","2017-2018","between_150_and_300_minutes",3600
6,"18-24","male","2017-2018","more_than_300_minutes",9300
6,"18-24","male","2017-2018","total_150_minutes_or_more",12500
7,"18-24","male","2017-2018","0_minutes",800
7,"18-24","male","2017-2018","between_1_and_149_minutes",1400
7,"18-24","male","2017-2018","between_150_and_300_minutes",1300
7,"18-24","male","2017-2018","more_than_300_minutes",2100
7,"18-24","male","2017-2018","total_150_minutes_or_more",4700
8,"18-24","male","2017-2018","0_minutes",4300
8,"18-24","male","2017-2018","between_1_and_149_minutes",5700
8,"18-24","male","2017-2018","between_150_and_300_minutes",4400
8,"18-24","male","2017-2018","more_than_300_minutes",6100
8,"18-24","male","2017-2018","total_150_minutes_or_more",10500
1,"18-24","female","2017-2018","0_minutes",10900
1,"18-24","female","2017-2018","between_1_and_149_minutes",103000
1,"18-24","female","2017-2018","between_150_and_300_minutes",79700
1,"18-24","female","2017-2018","more_than_300_minutes",134400
1,"18-24","female","2017-2018","total_150_minutes_or_more",212900
2,"18-24","female","2017-2018","0_minutes",13400
2,"18-24","female","2017-2018","between_1_and_149_minutes",68600
2,"18-24","female","2017-2018","between_150_and_300_minutes",95000
2,"18-24","female","2017-2018","more_than_300_minutes",114600
2,"18-24","female","2017-2018","total_150_minutes_or_more",192300
3,"18-24","female","2017-2018","0_minutes",31400
3,"18-24","female","2017-2018","between_1_and_149_minutes",67800
3,"18-24","female","2017-2018","between_150_and_300_minutes",32600
3,"18-24","female","2017-2018","more_than_300_minutes",72800
3,"18-24","female","2017-2018","total_150_minutes_or_more",105400
4,"18-24","female","2017-2018","0_minutes",10100
4,"18-24","female","2017-2018","between_1_and_149_minutes",20500
4,"18-24","female","2017-2018","between_150_and_300_minutes",16800
4,"18-24","female","2017-2018","more_than_300_minutes",37800
4,"18-24","female","2017-2018","total_150_minutes_or_more",53100
5,"18-24","female","2017-2018","0_minutes",9100
5,"18-24","female","2017-2018","between_1_and_149_minutes",31200
5,"18-24","female","2017-2018","between_150_and_300_minutes",32800
5,"18-24","female","2017-2018","more_than_300_minutes",33900
5,"18-24","female","2017-2018","total_150_minutes_or_more",66400
6,"18-24","female","2017-2018","0_minutes",3300
6,"18-24","female","2017-2018","between_1_and_149_minutes",5900
6,"18-24","female","2017-2018","between_150_and_300_minutes",5200
6,"18-24","female","2017-2018","more_than_300_minutes",5900
6,"18-24","female","2017-2018","total_150_minutes_or_more",11100
7,"18-24","female","2017-2018","0_minutes",1100
7,"18-24","female","2017-2018","between_1_and_149_minutes",1900
7,"18-24","female","2017-2018","between_150_and_300_minutes",1800
7,"18-24","female","2017-2018","more_than_300_minutes",2200
7,"18-24","female","2017-2018","total_150_minutes_or_more",4300
8,"18-24","female","2017-2018","0_minutes",1300
8,"18-24","female","2017-2018","between_1_and_149_minutes",5400
8,"18-24","female","2017-2018","between_150_and_300_minutes",5300
8,"18-24","female","2017-2018","more_than_300_minutes",8300
8,"18-24","female","2017-2018","total_150_minutes_or_more",12000
