"STE_CODE16","age_group","sex","year_range","2014_pa_guidelines_any","p"
1,"18-24","all","2017-2018","met_guidelines",0.229
1,"18-24","all","2017-2018","did_not_meet_guidelines",0.77
2,"18-24","all","2017-2018","met_guidelines",0.241
2,"18-24","all","2017-2018","did_not_meet_guidelines",0.746
3,"18-24","all","2017-2018","met_guidelines",0.197
3,"18-24","all","2017-2018","did_not_meet_guidelines",0.784
4,"18-24","all","2017-2018","met_guidelines",0.215
4,"18-24","all","2017-2018","did_not_meet_guidelines",0.752
5,"18-24","all","2017-2018","met_guidelines",0.277
5,"18-24","all","2017-2018","did_not_meet_guidelines",0.686
6,"18-24","all","2017-2018","met_guidelines",0.158
6,"18-24","all","2017-2018","did_not_meet_guidelines",0.849
7,"18-24","all","2017-2018","met_guidelines",0.255
7,"18-24","all","2017-2018","did_not_meet_guidelines",0.759
8,"18-24","all","2017-2018","met_guidelines",0.237
8,"18-24","all","2017-2018","did_not_meet_guidelines",0.801
1,"18-24","male","2017-2018","met_guidelines",0.243
1,"18-24","male","2017-2018","did_not_meet_guidelines",0.725
2,"18-24","male","2017-2018","met_guidelines",0.23
2,"18-24","male","2017-2018","did_not_meet_guidelines",0.725
3,"18-24","male","2017-2018","met_guidelines",0.189
3,"18-24","male","2017-2018","did_not_meet_guidelines",0.804
4,"18-24","male","2017-2018","met_guidelines",0.37
4,"18-24","male","2017-2018","did_not_meet_guidelines",0.744
5,"18-24","male","2017-2018","met_guidelines",0.412
5,"18-24","male","2017-2018","did_not_meet_guidelines",0.648
6,"18-24","male","2017-2018","met_guidelines",0.227
6,"18-24","male","2017-2018","did_not_meet_guidelines",0.764
7,"18-24","male","2017-2018","met_guidelines",0.173
7,"18-24","male","2017-2018","did_not_meet_guidelines",0.76
8,"18-24","male","2017-2018","met_guidelines",0.319
8,"18-24","male","2017-2018","did_not_meet_guidelines",0.719
1,"18-24","female","2017-2018","met_guidelines",0.238
1,"18-24","female","2017-2018","did_not_meet_guidelines",0.838
2,"18-24","female","2017-2018","met_guidelines",0.225
2,"18-24","female","2017-2018","did_not_meet_guidelines",0.774
3,"18-24","female","2017-2018","met_guidelines",0.216
3,"18-24","female","2017-2018","did_not_meet_guidelines",0.824
4,"18-24","female","2017-2018","met_guidelines",0.192
4,"18-24","female","2017-2018","did_not_meet_guidelines",0.822
5,"18-24","female","2017-2018","met_guidelines",0.213
5,"18-24","female","2017-2018","did_not_meet_guidelines",0.844
6,"18-24","female","2017-2018","met_guidelines",0.199
6,"18-24","female","2017-2018","did_not_meet_guidelines",0.861
7,"18-24","female","2017-2018","met_guidelines",0.365
7,"18-24","female","2017-2018","did_not_meet_guidelines",0.714
8,"18-24","female","2017-2018","met_guidelines",0.124
8,"18-24","female","2017-2018","did_not_meet_guidelines",0.814
