"STE_CODE16","age_group","sex","year_range","days_pa_last_week","p"
1,"18-24","all","2017-2018","none","0.03"
1,"18-24","all","2017-2018","1–4","0.346"
1,"18-24","all","2017-2018","5–6","0.383"
1,"18-24","all","2017-2018","7","0.272"
1,"18-24","all","2017-2018","5_or_more","0.645"
2,"18-24","all","2017-2018","none","0.069"
2,"18-24","all","2017-2018","1–4","0.349"
2,"18-24","all","2017-2018","5–6","0.316"
2,"18-24","all","2017-2018","7","0.242"
2,"18-24","all","2017-2018","5_or_more","0.572"
3,"18-24","all","2017-2018","none","0.099"
3,"18-24","all","2017-2018","1–4","0.373"
3,"18-24","all","2017-2018","5–6","0.339"
3,"18-24","all","2017-2018","7","0.182"
3,"18-24","all","2017-2018","5_or_more","0.525"
4,"18-24","all","2017-2018","none","0.053"
4,"18-24","all","2017-2018","1–4","0.405"
4,"18-24","all","2017-2018","5–6","0.327"
4,"18-24","all","2017-2018","7","0.18"
4,"18-24","all","2017-2018","5_or_more","0.523"
5,"18-24","all","2017-2018","none","0.056"
5,"18-24","all","2017-2018","1–4","0.411"
5,"18-24","all","2017-2018","5–6","0.293"
5,"18-24","all","2017-2018","7","0.235"
5,"18-24","all","2017-2018","5_or_more","0.537"
6,"18-24","all","2017-2018","none","0.155"
6,"18-24","all","2017-2018","1–4","0.278"
6,"18-24","all","2017-2018","5–6","0.318"
6,"18-24","all","2017-2018","7","0.19"
6,"18-24","all","2017-2018","5_or_more","0.517"
7,"18-24","all","2017-2018","none","0.106"
7,"18-24","all","2017-2018","1–4","0.248"
7,"18-24","all","2017-2018","5–6","0.348"
7,"18-24","all","2017-2018","7","0.305"
7,"18-24","all","2017-2018","5_or_more","0.645"
8,"18-24","all","2017-2018","none","0.085"
8,"18-24","all","2017-2018","1–4","0.418"
8,"18-24","all","2017-2018","5–6","0.332"
8,"18-24","all","2017-2018","7","0.181"
8,"18-24","all","2017-2018","5_or_more","0.574"
1,"18-24","male","2017-2018","none","0.022"
1,"18-24","male","2017-2018","1–4","0.342"
1,"18-24","male","2017-2018","5–6","0.401"
1,"18-24","male","2017-2018","7","0.215"
1,"18-24","male","2017-2018","5_or_more","0.627"
2,"18-24","male","2017-2018","none","0.058"
2,"18-24","male","2017-2018","1–4","0.337"
2,"18-24","male","2017-2018","5–6","0.338"
2,"18-24","male","2017-2018","7","0.29"
2,"18-24","male","2017-2018","5_or_more","0.592"
3,"18-24","male","2017-2018","none","0.094"
3,"18-24","male","2017-2018","1–4","0.393"
3,"18-24","male","2017-2018","5–6","0.349"
3,"18-24","male","2017-2018","7","0.204"
3,"18-24","male","2017-2018","5_or_more","0.546"
4,"18-24","male","2017-2018","none","NULL"
4,"18-24","male","2017-2018","1–4","0.306"
4,"18-24","male","2017-2018","5–6","0.508"
4,"18-24","male","2017-2018","7","0.267"
4,"18-24","male","2017-2018","5_or_more","0.759"
5,"18-24","male","2017-2018","none","0.059"
5,"18-24","male","2017-2018","1–4","0.386"
5,"18-24","male","2017-2018","5–6","0.346"
5,"18-24","male","2017-2018","7","0.29"
5,"18-24","male","2017-2018","5_or_more","0.628"
6,"18-24","male","2017-2018","none","0.086"
6,"18-24","male","2017-2018","1–4","0.348"
6,"18-24","male","2017-2018","5–6","0.288"
6,"18-24","male","2017-2018","7","0.313"
6,"18-24","male","2017-2018","5_or_more","0.532"
7,"18-24","male","2017-2018","none","NULL"
7,"18-24","male","2017-2018","1–4","0.267"
7,"18-24","male","2017-2018","5–6","0.427"
7,"18-24","male","2017-2018","7","0.333"
7,"18-24","male","2017-2018","5_or_more","0.667"
8,"18-24","male","2017-2018","none","0.108"
8,"18-24","male","2017-2018","1–4","0.4"
8,"18-24","male","2017-2018","5–6","0.422"
8,"18-24","male","2017-2018","7","0.195"
8,"18-24","male","2017-2018","5_or_more","0.53"
1,"18-24","female","2017-2018","none","0.038"
1,"18-24","female","2017-2018","1–4","0.359"
1,"18-24","female","2017-2018","5–6","0.368"
1,"18-24","female","2017-2018","7","0.283"
1,"18-24","female","2017-2018","5_or_more","0.659"
2,"18-24","female","2017-2018","none","0.043"
2,"18-24","female","2017-2018","1–4","0.343"
2,"18-24","female","2017-2018","5–6","0.283"
2,"18-24","female","2017-2018","7","0.22"
2,"18-24","female","2017-2018","5_or_more","0.571"
3,"18-24","female","2017-2018","none","0.164"
3,"18-24","female","2017-2018","1–4","0.373"
3,"18-24","female","2017-2018","5–6","0.298"
3,"18-24","female","2017-2018","7","0.199"
3,"18-24","female","2017-2018","5_or_more","0.514"
4,"18-24","female","2017-2018","none","0.143"
4,"18-24","female","2017-2018","1–4","0.569"
4,"18-24","female","2017-2018","5–6","0.238"
4,"18-24","female","2017-2018","7","0.173"
4,"18-24","female","2017-2018","5_or_more","0.356"
5,"18-24","female","2017-2018","none","0.09"
5,"18-24","female","2017-2018","1–4","0.427"
5,"18-24","female","2017-2018","5–6","0.35"
5,"18-24","female","2017-2018","7","0.167"
5,"18-24","female","2017-2018","5_or_more","0.431"
6,"18-24","female","2017-2018","none","0.254"
6,"18-24","female","2017-2018","1–4","0.313"
6,"18-24","female","2017-2018","5–6","0.328"
6,"18-24","female","2017-2018","7","0.184"
6,"18-24","female","2017-2018","5_or_more","0.473"
7,"18-24","female","2017-2018","none","0.159"
7,"18-24","female","2017-2018","1–4","0.302"
7,"18-24","female","2017-2018","5–6","0.365"
7,"18-24","female","2017-2018","7","0.27"
7,"18-24","female","2017-2018","5_or_more","0.619"
8,"18-24","female","2017-2018","none","0.067"
8,"18-24","female","2017-2018","1–4","0.407"
8,"18-24","female","2017-2018","5–6","0.263"
8,"18-24","female","2017-2018","7","0.227"
8,"18-24","female","2017-2018","5_or_more","0.552"
