"STE_CODE16","age_group","sex","year_range","min_pa_last_week","p"
1,"18-24","all","2017-2018","0_minutes","0.03"
1,"18-24","all","2017-2018","between_1_and_149_minutes","0.183"
1,"18-24","all","2017-2018","between_150_and_300_minutes","0.185"
1,"18-24","all","2017-2018","more_than_300_minutes","0.589"
1,"18-24","all","2017-2018","total_150_minutes_or_more","0.8"
2,"18-24","all","2017-2018","0_minutes","0.069"
2,"18-24","all","2017-2018","between_1_and_149_minutes","0.16"
2,"18-24","all","2017-2018","between_150_and_300_minutes","0.195"
2,"18-24","all","2017-2018","more_than_300_minutes","0.551"
2,"18-24","all","2017-2018","total_150_minutes_or_more","0.745"
3,"18-24","all","2017-2018","0_minutes","0.099"
3,"18-24","all","2017-2018","between_1_and_149_minutes","0.238"
3,"18-24","all","2017-2018","between_150_and_300_minutes","0.14"
3,"18-24","all","2017-2018","more_than_300_minutes","0.504"
3,"18-24","all","2017-2018","total_150_minutes_or_more","0.62"
4,"18-24","all","2017-2018","0_minutes","0.053"
4,"18-24","all","2017-2018","between_1_and_149_minutes","0.221"
4,"18-24","all","2017-2018","between_150_and_300_minutes","0.183"
4,"18-24","all","2017-2018","more_than_300_minutes","0.583"
4,"18-24","all","2017-2018","total_150_minutes_or_more","0.749"
5,"18-24","all","2017-2018","0_minutes","0.056"
5,"18-24","all","2017-2018","between_1_and_149_minutes","0.131"
5,"18-24","all","2017-2018","between_150_and_300_minutes","0.167"
5,"18-24","all","2017-2018","more_than_300_minutes","0.633"
5,"18-24","all","2017-2018","total_150_minutes_or_more","0.781"
6,"18-24","all","2017-2018","0_minutes","0.155"
6,"18-24","all","2017-2018","between_1_and_149_minutes","0.23"
6,"18-24","all","2017-2018","between_150_and_300_minutes","0.123"
6,"18-24","all","2017-2018","more_than_300_minutes","0.499"
6,"18-24","all","2017-2018","total_150_minutes_or_more","0.64"
7,"18-24","all","2017-2018","0_minutes","0.106"
7,"18-24","all","2017-2018","between_1_and_149_minutes","0.149"
7,"18-24","all","2017-2018","between_150_and_300_minutes","0.213"
7,"18-24","all","2017-2018","more_than_300_minutes","0.603"
7,"18-24","all","2017-2018","total_150_minutes_or_more","0.78"
8,"18-24","all","2017-2018","0_minutes","0.085"
8,"18-24","all","2017-2018","between_1_and_149_minutes","0.263"
8,"18-24","all","2017-2018","between_150_and_300_minutes","0.199"
8,"18-24","all","2017-2018","more_than_300_minutes","0.46"
8,"18-24","all","2017-2018","total_150_minutes_or_more","0.652"
1,"18-24","male","2017-2018","0_minutes","0.022"
1,"18-24","male","2017-2018","between_1_and_149_minutes","0.111"
1,"18-24","male","2017-2018","between_150_and_300_minutes","0.12"
1,"18-24","male","2017-2018","more_than_300_minutes","0.645"
1,"18-24","male","2017-2018","total_150_minutes_or_more","0.811"
2,"18-24","male","2017-2018","0_minutes","0.058"
2,"18-24","male","2017-2018","between_1_and_149_minutes","0.128"
2,"18-24","male","2017-2018","between_150_and_300_minutes","0.159"
2,"18-24","male","2017-2018","more_than_300_minutes","0.633"
2,"18-24","male","2017-2018","total_150_minutes_or_more","0.81"
3,"18-24","male","2017-2018","0_minutes","0.094"
3,"18-24","male","2017-2018","between_1_and_149_minutes","0.237"
3,"18-24","male","2017-2018","between_150_and_300_minutes","0.093"
3,"18-24","male","2017-2018","more_than_300_minutes","0.582"
3,"18-24","male","2017-2018","total_150_minutes_or_more","0.708"
4,"18-24","male","2017-2018","0_minutes","NULL"
4,"18-24","male","2017-2018","between_1_and_149_minutes","0.217"
4,"18-24","male","2017-2018","between_150_and_300_minutes","0.273"
4,"18-24","male","2017-2018","more_than_300_minutes","0.629"
4,"18-24","male","2017-2018","total_150_minutes_or_more","0.76"
5,"18-24","male","2017-2018","0_minutes","0.059"
5,"18-24","male","2017-2018","between_1_and_149_minutes","0.067"
5,"18-24","male","2017-2018","between_150_and_300_minutes","0.06"
5,"18-24","male","2017-2018","more_than_300_minutes","0.888"
5,"18-24","male","2017-2018","total_150_minutes_or_more","0.915"
6,"18-24","male","2017-2018","0_minutes","0.086"
6,"18-24","male","2017-2018","between_1_and_149_minutes","0.172"
6,"18-24","male","2017-2018","between_150_and_300_minutes","0.094"
6,"18-24","male","2017-2018","more_than_300_minutes","0.601"
6,"18-24","male","2017-2018","total_150_minutes_or_more","0.627"
7,"18-24","male","2017-2018","0_minutes","NULL"
7,"18-24","male","2017-2018","between_1_and_149_minutes","0.173"
7,"18-24","male","2017-2018","between_150_and_300_minutes","0.173"
7,"18-24","male","2017-2018","more_than_300_minutes","0.72"
7,"18-24","male","2017-2018","total_150_minutes_or_more","0.813"
8,"18-24","male","2017-2018","0_minutes","0.108"
8,"18-24","male","2017-2018","between_1_and_149_minutes","0.243"
8,"18-24","male","2017-2018","between_150_and_300_minutes","0.178"
8,"18-24","male","2017-2018","more_than_300_minutes","0.6"
8,"18-24","male","2017-2018","total_150_minutes_or_more","0.6"
