"STE_CODE16","age_group","sex","year_range","min_exercise_last_week","p"
1,"18-24","all","2017-2018","0_minutes",0.052
1,"18-24","all","2017-2018","between_1_and_149_minutes",0.279
1,"18-24","all","2017-2018","between_150_and_300_minutes",0.235
1,"18-24","all","2017-2018","more_than_300_minutes",0.438
1,"18-24","all","2017-2018","total_150_minutes_or_more",0.667
2,"18-24","all","2017-2018","0_minutes",0.083
2,"18-24","all","2017-2018","between_1_and_149_minutes",0.228
2,"18-24","all","2017-2018","between_150_and_300_minutes",0.258
2,"18-24","all","2017-2018","more_than_300_minutes",0.419
2,"18-24","all","2017-2018","total_150_minutes_or_more",0.666
3,"18-24","all","2017-2018","0_minutes",0.17
3,"18-24","all","2017-2018","between_1_and_149_minutes",0.3
3,"18-24","all","2017-2018","between_150_and_300_minutes",0.157
3,"18-24","all","2017-2018","more_than_300_minutes",0.374
3,"18-24","all","2017-2018","total_150_minutes_or_more",0.531
4,"18-24","all","2017-2018","0_minutes",0.065
4,"18-24","all","2017-2018","between_1_and_149_minutes",0.238
4,"18-24","all","2017-2018","between_150_and_300_minutes",0.229
4,"18-24","all","2017-2018","more_than_300_minutes",0.476
4,"18-24","all","2017-2018","total_150_minutes_or_more",0.696
5,"18-24","all","2017-2018","0_minutes",0.071
5,"18-24","all","2017-2018","between_1_and_149_minutes",0.263
5,"18-24","all","2017-2018","between_150_and_300_minutes",0.157
5,"18-24","all","2017-2018","more_than_300_minutes",0.463
5,"18-24","all","2017-2018","total_150_minutes_or_more",0.653
6,"18-24","all","2017-2018","0_minutes",0.174
6,"18-24","all","2017-2018","between_1_and_149_minutes",0.332
6,"18-24","all","2017-2018","between_150_and_300_minutes",0.197
6,"18-24","all","2017-2018","more_than_300_minutes",0.32
6,"18-24","all","2017-2018","total_150_minutes_or_more",0.529
7,"18-24","all","2017-2018","0_minutes",0.177
7,"18-24","all","2017-2018","between_1_and_149_minutes",0.227
7,"18-24","all","2017-2018","between_150_and_300_minutes",0.262
