"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n"
1,"2-3","all","2017-2018","met_recommendation","187300"
1,"2-3","all","2017-2018","did_not_meet_recommendation","3800"
1,"4-8","all","2017-2018","met_recommendation","372500"
1,"4-8","all","2017-2018","did_not_meet_recommendation","122200"
1,"9-11","all","2017-2018","met_recommendation","226100"
1,"9-11","all","2017-2018","did_not_meet_recommendation","88500"
1,"12-13","all","2017-2018","met_recommendation","97500"
1,"12-13","all","2017-2018","did_not_meet_recommendation","75300"
1,"14-17","all","2017-2018","met_recommendation","214000"
1,"14-17","all","2017-2018","did_not_meet_recommendation","141400"
2,"2-3","all","2017-2018","met_recommendation","157000"
2,"2-3","all","2017-2018","did_not_meet_recommendation","7300"
2,"4-8","all","2017-2018","met_recommendation","303100"
2,"4-8","all","2017-2018","did_not_meet_recommendation","83100"
2,"9-11","all","2017-2018","met_recommendation","183000"
2,"9-11","all","2017-2018","did_not_meet_recommendation","55000"
2,"12-13","all","2017-2018","met_recommendation","101600"
2,"12-13","all","2017-2018","did_not_meet_recommendation","41100"
2,"14-17","all","2017-2018","met_recommendation","184300"
2,"14-17","all","2017-2018","did_not_meet_recommendation","106000"
3,"2-3","all","2017-2018","met_recommendation","121400"
3,"2-3","all","2017-2018","did_not_meet_recommendation","2500"
3,"4-8","all","2017-2018","met_recommendation","260500"
3,"4-8","all","2017-2018","did_not_meet_recommendation","78300"
3,"9-11","all","2017-2018","met_recommendation","129500"
3,"9-11","all","2017-2018","did_not_meet_recommendation","49900"
3,"12-13","all","2017-2018","met_recommendation","80900"
3,"12-13","all","2017-2018","did_not_meet_recommendation","50800"
3,"14-17","all","2017-2018","met_recommendation","124900"
3,"14-17","all","2017-2018","did_not_meet_recommendation","108500"
4,"2-3","all","2017-2018","met_recommendation","28600"
4,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
4,"4-8","all","2017-2018","met_recommendation","96000"
4,"4-8","all","2017-2018","did_not_meet_recommendation","27100"
4,"9-11","all","2017-2018","met_recommendation","44000"
4,"9-11","all","2017-2018","did_not_meet_recommendation","12600"
4,"12-13","all","2017-2018","met_recommendation","16400"
4,"12-13","all","2017-2018","did_not_meet_recommendation","17000"
4,"14-17","all","2017-2018","met_recommendation","39100"
4,"14-17","all","2017-2018","did_not_meet_recommendation","40700"
5,"2-3","all","2017-2018","met_recommendation","63600"
5,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
5,"4-8","all","2017-2018","met_recommendation","148800"
5,"4-8","all","2017-2018","did_not_meet_recommendation","28200"
5,"9-11","all","2017-2018","met_recommendation","77900"
5,"9-11","all","2017-2018","did_not_meet_recommendation","18400"
5,"12-13","all","2017-2018","met_recommendation","41800"
5,"12-13","all","2017-2018","did_not_meet_recommendation","24800"
5,"14-17","all","2017-2018","met_recommendation","69100"
5,"14-17","all","2017-2018","did_not_meet_recommendation","50400"
6,"2-3","all","2017-2018","met_recommendation","11900"
6,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
6,"4-8","all","2017-2018","met_recommendation","28600"
6,"4-8","all","2017-2018","did_not_meet_recommendation","5400"
6,"9-11","all","2017-2018","met_recommendation","10400"
6,"9-11","all","2017-2018","did_not_meet_recommendation","6200"
6,"12-13","all","2017-2018","met_recommendation","6100"
6,"12-13","all","2017-2018","did_not_meet_recommendation","3400"
6,"14-17","all","2017-2018","met_recommendation","15500"
6,"14-17","all","2017-2018","did_not_meet_recommendation","10900"
7,"2-3","all","2017-2018","met_recommendation","5100"
7,"2-3","all","2017-2018","did_not_meet_recommendation","300"
7,"4-8","all","2017-2018","met_recommendation","10700"
7,"4-8","all","2017-2018","did_not_meet_recommendation","2100"
7,"9-11","all","2017-2018","met_recommendation","5900"
7,"9-11","all","2017-2018","did_not_meet_recommendation","1600"
7,"12-13","all","2017-2018","met_recommendation","2200"
7,"12-13","all","2017-2018","did_not_meet_recommendation","3200"
7,"14-17","all","2017-2018","met_recommendation","3900"
7,"14-17","all","2017-2018","did_not_meet_recommendation","3100"
8,"2-3","all","2017-2018","met_recommendation","11600"
8,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
8,"4-8","all","2017-2018","met_recommendation","22900"
8,"4-8","all","2017-2018","did_not_meet_recommendation","5400"
8,"9-11","all","2017-2018","met_recommendation","12700"
8,"9-11","all","2017-2018","did_not_meet_recommendation","4000"
8,"12-13","all","2017-2018","met_recommendation","3400"
8,"12-13","all","2017-2018","did_not_meet_recommendation","3500"
8,"14-17","all","2017-2018","met_recommendation","9600"
8,"14-17","all","2017-2018","did_not_meet_recommendation","9300"
1,"2-3","male","2017-2018","met_recommendation","85900"
1,"2-3","male","2017-2018","did_not_meet_recommendation","NULL"
1,"4-8","male","2017-2018","met_recommendation","184100"
1,"4-8","male","2017-2018","did_not_meet_recommendation","69500"
1,"9-11","male","2017-2018","met_recommendation","107900"
1,"9-11","male","2017-2018","did_not_meet_recommendation","70300"
1,"12-13","male","2017-2018","met_recommendation","61100"
1,"12-13","male","2017-2018","did_not_meet_recommendation","45100"
1,"14-17","male","2017-2018","met_recommendation","102900"
1,"14-17","male","2017-2018","did_not_meet_recommendation","79800"
2,"2-3","male","2017-2018","met_recommendation","78400"
2,"2-3","male","2017-2018","did_not_meet_recommendation","4400"
2,"4-8","male","2017-2018","met_recommendation","152900"
2,"4-8","male","2017-2018","did_not_meet_recommendation","44300"
