"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n"
1,"2-3","all","2017-2018","did_not_consume","148200"
1,"2-3","all","2017-2018","1_metric_cup_or_less","28300"
1,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"2-3","all","2017-2018","2_metric_cups_or_more","5500"
1,"2-3","all","2017-2018","did_not_consume","183100"
1,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
1,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
1,"4-8","all","2017-2018","did_not_consume","356200"
1,"4-8","all","2017-2018","1_metric_cup_or_less","125700"
1,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"4-8","all","2017-2018","2_metric_cups_or_more","8700"
1,"4-8","all","2017-2018","did_not_consume","469700"
1,"4-8","all","2017-2018","1_metric_cup_or_less","16200"
1,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
1,"9-11","all","2017-2018","did_not_consume","175500"
1,"9-11","all","2017-2018","1_metric_cup_or_less","120300"
1,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","4100"
1,"9-11","all","2017-2018","2_metric_cups_or_more","20500"
1,"9-11","all","2017-2018","did_not_consume","295200"
1,"9-11","all","2017-2018","1_metric_cup_or_less","21800"
1,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
1,"12-13","all","2017-2018","did_not_consume","64900"
1,"12-13","all","2017-2018","1_metric_cup_or_less","99100"
1,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"12-13","all","2017-2018","2_metric_cups_or_more","16000"
1,"12-13","all","2017-2018","did_not_consume","168400"
1,"12-13","all","2017-2018","1_metric_cup_or_less","14600"
1,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
1,"14-17","all","2017-2018","did_not_consume","145600"
1,"14-17","all","2017-2018","1_metric_cup_or_less","162800"
1,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","38500"
1,"14-17","all","2017-2018","2_metric_cups_or_more","19900"
1,"14-17","all","2017-2018","did_not_consume","318600"
1,"14-17","all","2017-2018","1_metric_cup_or_less","36700"
1,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","2600"
1,"14-17","all","2017-2018","2_metric_cups_or_more","8800"
2,"2-3","all","2017-2018","did_not_consume","139500"
2,"2-3","all","2017-2018","1_metric_cup_or_less","21200"
2,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
2,"2-3","all","2017-2018","did_not_consume","169100"
2,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
2,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
2,"4-8","all","2017-2018","did_not_consume","267400"
2,"4-8","all","2017-2018","1_metric_cup_or_less","114900"
2,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
2,"4-8","all","2017-2018","did_not_consume","362300"
2,"4-8","all","2017-2018","1_metric_cup_or_less","15900"
2,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","9000"
2,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
2,"9-11","all","2017-2018","did_not_consume","145300"
2,"9-11","all","2017-2018","1_metric_cup_or_less","87000"
2,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"9-11","all","2017-2018","2_metric_cups_or_more","6700"
2,"9-11","all","2017-2018","did_not_consume","229800"
2,"9-11","all","2017-2018","1_metric_cup_or_less","7400"
2,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
2,"12-13","all","2017-2018","did_not_consume","75300"
2,"12-13","all","2017-2018","1_metric_cup_or_less","57900"
2,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","4800"
2,"12-13","all","2017-2018","2_metric_cups_or_more","3700"
2,"12-13","all","2017-2018","did_not_consume","121200"
2,"12-13","all","2017-2018","1_metric_cup_or_less","14400"
2,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
2,"14-17","all","2017-2018","did_not_consume","135000"
2,"14-17","all","2017-2018","1_metric_cup_or_less","117900"
2,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","27200"
2,"14-17","all","2017-2018","2_metric_cups_or_more","12300"
2,"14-17","all","2017-2018","did_not_consume","240500"
2,"14-17","all","2017-2018","1_metric_cup_or_less","42700"
2,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","8400"
2,"14-17","all","2017-2018","2_metric_cups_or_more","4900"
3,"2-3","all","2017-2018","did_not_consume","100900"
3,"2-3","all","2017-2018","1_metric_cup_or_less","15800"
3,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"2-3","all","2017-2018","2_metric_cups_or_more","3800"
3,"2-3","all","2017-2018","did_not_consume","117900"
3,"2-3","all","2017-2018","1_metric_cup_or_less","4400"
3,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
