"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","p"
1,"2-3","all","2017-2018","met_recommendation","1.02"
1,"2-3","all","2017-2018","did_not_meet_recommendation","0.021"
1,"4-8","all","2017-2018","met_recommendation","0.745"
1,"4-8","all","2017-2018","did_not_meet_recommendation","0.244"
1,"9-11","all","2017-2018","met_recommendation","0.719"
1,"9-11","all","2017-2018","did_not_meet_recommendation","0.281"
1,"12-13","all","2017-2018","met_recommendation","0.558"
1,"12-13","all","2017-2018","did_not_meet_recommendation","0.431"
1,"14-17","all","2017-2018","met_recommendation","0.592"
1,"14-17","all","2017-2018","did_not_meet_recommendation","0.391"
2,"2-3","all","2017-2018","met_recommendation","0.915"
2,"2-3","all","2017-2018","did_not_meet_recommendation","0.043"
2,"4-8","all","2017-2018","met_recommendation","0.781"
2,"4-8","all","2017-2018","did_not_meet_recommendation","0.214"
2,"9-11","all","2017-2018","met_recommendation","0.778"
2,"9-11","all","2017-2018","did_not_meet_recommendation","0.234"
2,"12-13","all","2017-2018","met_recommendation","0.738"
2,"12-13","all","2017-2018","did_not_meet_recommendation","0.299"
2,"14-17","all","2017-2018","met_recommendation","0.646"
2,"14-17","all","2017-2018","did_not_meet_recommendation","0.371"
3,"2-3","all","2017-2018","met_recommendation","1.013"
3,"2-3","all","2017-2018","did_not_meet_recommendation","0.021"
3,"4-8","all","2017-2018","met_recommendation","0.756"
3,"4-8","all","2017-2018","did_not_meet_recommendation","0.227"
3,"9-11","all","2017-2018","met_recommendation","0.695"
3,"9-11","all","2017-2018","did_not_meet_recommendation","0.268"
3,"12-13","all","2017-2018","met_recommendation","0.615"
3,"12-13","all","2017-2018","did_not_meet_recommendation","0.386"
3,"14-17","all","2017-2018","met_recommendation","0.54"
3,"14-17","all","2017-2018","did_not_meet_recommendation","0.469"
4,"2-3","all","2017-2018","met_recommendation","1"
4,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
4,"4-8","all","2017-2018","met_recommendation","0.838"
4,"4-8","all","2017-2018","did_not_meet_recommendation","0.236"
4,"9-11","all","2017-2018","met_recommendation","0.721"
4,"9-11","all","2017-2018","did_not_meet_recommendation","0.207"
4,"12-13","all","2017-2018","met_recommendation","0.454"
4,"12-13","all","2017-2018","did_not_meet_recommendation","0.471"
4,"14-17","all","2017-2018","met_recommendation","0.489"
4,"14-17","all","2017-2018","did_not_meet_recommendation","0.509"
5,"2-3","all","2017-2018","met_recommendation","1.038"
5,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
5,"4-8","all","2017-2018","met_recommendation","0.851"
5,"4-8","all","2017-2018","did_not_meet_recommendation","0.161"
5,"9-11","all","2017-2018","met_recommendation","0.802"
5,"9-11","all","2017-2018","did_not_meet_recommendation","0.189"
5,"12-13","all","2017-2018","met_recommendation","0.67"
5,"12-13","all","2017-2018","did_not_meet_recommendation","0.397"
5,"14-17","all","2017-2018","met_recommendation","0.589"
5,"14-17","all","2017-2018","did_not_meet_recommendation","0.429"
6,"2-3","all","2017-2018","met_recommendation","1"
6,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
6,"4-8","all","2017-2018","met_recommendation","0.851"
6,"4-8","all","2017-2018","did_not_meet_recommendation","0.161"
6,"9-11","all","2017-2018","met_recommendation","0.608"
6,"9-11","all","2017-2018","did_not_meet_recommendation","0.363"
6,"12-13","all","2017-2018","met_recommendation","0.61"
6,"12-13","all","2017-2018","did_not_meet_recommendation","0.34"
6,"14-17","all","2017-2018","met_recommendation","0.605"
6,"14-17","all","2017-2018","did_not_meet_recommendation","0.426"
7,"2-3","all","2017-2018","met_recommendation","0.864"
7,"2-3","all","2017-2018","did_not_meet_recommendation","0.051"
7,"4-8","all","2017-2018","met_recommendation","0.856"
7,"4-8","all","2017-2018","did_not_meet_recommendation","0.168"
7,"9-11","all","2017-2018","met_recommendation","0.894"
7,"9-11","all","2017-2018","did_not_meet_recommendation","0.242"
7,"12-13","all","2017-2018","met_recommendation","0.449"
7,"12-13","all","2017-2018","did_not_meet_recommendation","0.653"
7,"14-17","all","2017-2018","met_recommendation","0.527"
7,"14-17","all","2017-2018","did_not_meet_recommendation","0.419"
8,"2-3","all","2017-2018","met_recommendation","1.009"
8,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
8,"4-8","all","2017-2018","met_recommendation","0.845"
8,"4-8","all","2017-2018","did_not_meet_recommendation","0.199"
8,"9-11","all","2017-2018","met_recommendation","0.789"
8,"9-11","all","2017-2018","did_not_meet_recommendation","0.248"
8,"12-13","all","2017-2018","met_recommendation","0.453"
8,"12-13","all","2017-2018","did_not_meet_recommendation","0.467"
8,"14-17","all","2017-2018","met_recommendation","0.503"
8,"14-17","all","2017-2018","did_not_meet_recommendation","0.487"
