"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","p"
1,"2-3","all","2017-2018","met_recommendation","1.02"
1,"2-3","all","2017-2018","did_not_meet_recommendation","0.021"
1,"2-3","all","2017-2018","met_recommendation","0.189"
1,"2-3","all","2017-2018","did_not_meet_recommendation","0.879"
1,"4-8","all","2017-2018","met_recommendation","0.745"
1,"4-8","all","2017-2018","did_not_meet_recommendation","0.244"
1,"4-8","all","2017-2018","met_recommendation","0.042"
1,"4-8","all","2017-2018","did_not_meet_recommendation","0.943"
1,"9-11","all","2017-2018","met_recommendation","0.719"
1,"9-11","all","2017-2018","did_not_meet_recommendation","0.281"
1,"9-11","all","2017-2018","met_recommendation","0.099"
1,"9-11","all","2017-2018","did_not_meet_recommendation","0.941"
1,"12-13","all","2017-2018","met_recommendation","0.558"
1,"12-13","all","2017-2018","did_not_meet_recommendation","0.431"
1,"12-13","all","2017-2018","met_recommendation","NULL"
1,"12-13","all","2017-2018","did_not_meet_recommendation","0.998"
1,"14-17","all","2017-2018","met_recommendation","0.592"
1,"14-17","all","2017-2018","did_not_meet_recommendation","0.391"
1,"14-17","all","2017-2018","met_recommendation","0.059"
1,"14-17","all","2017-2018","did_not_meet_recommendation","0.953"
2,"2-3","all","2017-2018","met_recommendation","0.915"
2,"2-3","all","2017-2018","did_not_meet_recommendation","0.043"
2,"2-3","all","2017-2018","met_recommendation","0.194"
2,"2-3","all","2017-2018","did_not_meet_recommendation","0.806"
2,"4-8","all","2017-2018","met_recommendation","0.781"
2,"4-8","all","2017-2018","did_not_meet_recommendation","0.214"
2,"4-8","all","2017-2018","met_recommendation","0.034"
2,"4-8","all","2017-2018","did_not_meet_recommendation","0.971"
2,"9-11","all","2017-2018","met_recommendation","0.778"
2,"9-11","all","2017-2018","did_not_meet_recommendation","0.234"
2,"9-11","all","2017-2018","met_recommendation","0.076"
2,"9-11","all","2017-2018","did_not_meet_recommendation","0.949"
2,"12-13","all","2017-2018","met_recommendation","0.738"
2,"12-13","all","2017-2018","did_not_meet_recommendation","0.299"
2,"12-13","all","2017-2018","met_recommendation","NULL"
2,"12-13","all","2017-2018","did_not_meet_recommendation","0.996"
2,"14-17","all","2017-2018","met_recommendation","0.646"
2,"14-17","all","2017-2018","did_not_meet_recommendation","0.371"
2,"14-17","all","2017-2018","met_recommendation","0.065"
2,"14-17","all","2017-2018","did_not_meet_recommendation","0.923"
3,"2-3","all","2017-2018","met_recommendation","1.013"
3,"2-3","all","2017-2018","did_not_meet_recommendation","0.021"
3,"2-3","all","2017-2018","met_recommendation","0.215"
3,"2-3","all","2017-2018","did_not_meet_recommendation","0.803"
3,"4-8","all","2017-2018","met_recommendation","0.756"
3,"4-8","all","2017-2018","did_not_meet_recommendation","0.227"
3,"4-8","all","2017-2018","met_recommendation","0.032"
3,"4-8","all","2017-2018","did_not_meet_recommendation","0.971"
3,"9-11","all","2017-2018","met_recommendation","0.695"
3,"9-11","all","2017-2018","did_not_meet_recommendation","0.268"
3,"9-11","all","2017-2018","met_recommendation","0.047"
3,"9-11","all","2017-2018","did_not_meet_recommendation","0.944"
3,"12-13","all","2017-2018","met_recommendation","0.615"
3,"12-13","all","2017-2018","did_not_meet_recommendation","0.386"
3,"12-13","all","2017-2018","met_recommendation","0.033"
3,"12-13","all","2017-2018","did_not_meet_recommendation","0.948"
3,"14-17","all","2017-2018","met_recommendation","0.54"
3,"14-17","all","2017-2018","did_not_meet_recommendation","0.469"
3,"14-17","all","2017-2018","met_recommendation","0.064"
3,"14-17","all","2017-2018","did_not_meet_recommendation","0.954"
4,"2-3","all","2017-2018","met_recommendation","1"
4,"2-3","all","2017-2018","did_not_meet_recommendation","NULL"
4,"2-3","all","2017-2018","met_recommendation","0.157"
4,"2-3","all","2017-2018","did_not_meet_recommendation","0.92"
4,"4-8","all","2017-2018","met_recommendation","0.838"
4,"4-8","all","2017-2018","did_not_meet_recommendation","0.236"
4,"4-8","all","2017-2018","met_recommendation","0.015"
4,"4-8","all","2017-2018","did_not_meet_recommendation","1.009"
4,"9-11","all","2017-2018","met_recommendation","0.721"
4,"9-11","all","2017-2018","did_not_meet_recommendation","0.207"
4,"9-11","all","2017-2018","met_recommendation","NULL"
4,"9-11","all","2017-2018","did_not_meet_recommendation","0.956"
4,"12-13","all","2017-2018","met_recommendation","0.454"
4,"12-13","all","2017-2018","did_not_meet_recommendation","0.471"
4,"12-13","all","2017-2018","met_recommendation","NULL"
4,"12-13","all","2017-2018","did_not_meet_recommendation","1.039"
4,"14-17","all","2017-2018","met_recommendation","0.489"
4,"14-17","all","2017-2018","did_not_meet_recommendation","0.509"
4,"14-17","all","2017-2018","met_recommendation","0.033"
4,"14-17","all","2017-2018","did_not_meet_recommendation","1.003"
