"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p"
1,"2-3","all","2017-2018","did_not_consume","0.807"
1,"2-3","all","2017-2018","1_metric_cup_or_less","0.154"
1,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"2-3","all","2017-2018","2_metric_cups_or_more","0.03"
1,"2-3","all","2017-2018","did_not_consume","0.997"
1,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
1,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
1,"4-8","all","2017-2018","did_not_consume","0.712"
1,"4-8","all","2017-2018","1_metric_cup_or_less","0.251"
1,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"4-8","all","2017-2018","2_metric_cups_or_more","0.017"
1,"4-8","all","2017-2018","did_not_consume","0.939"
1,"4-8","all","2017-2018","1_metric_cup_or_less","0.032"
1,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
1,"9-11","all","2017-2018","did_not_consume","0.558"
1,"9-11","all","2017-2018","1_metric_cup_or_less","0.382"
1,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","0.013"
1,"9-11","all","2017-2018","2_metric_cups_or_more","0.065"
1,"9-11","all","2017-2018","did_not_consume","0.938"
1,"9-11","all","2017-2018","1_metric_cup_or_less","0.069"
1,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
1,"12-13","all","2017-2018","did_not_consume","0.372"
1,"12-13","all","2017-2018","1_metric_cup_or_less","0.568"
1,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"12-13","all","2017-2018","2_metric_cups_or_more","0.092"
1,"12-13","all","2017-2018","did_not_consume","0.964"
1,"12-13","all","2017-2018","1_metric_cup_or_less","0.084"
1,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
1,"14-17","all","2017-2018","did_not_consume","0.403"
1,"14-17","all","2017-2018","1_metric_cup_or_less","0.45"
1,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.106"
1,"14-17","all","2017-2018","2_metric_cups_or_more","0.055"
1,"14-17","all","2017-2018","did_not_consume","0.881"
1,"14-17","all","2017-2018","1_metric_cup_or_less","0.101"
1,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.007"
1,"14-17","all","2017-2018","2_metric_cups_or_more","0.024"
2,"2-3","all","2017-2018","did_not_consume","0.813"
2,"2-3","all","2017-2018","1_metric_cup_or_less","0.124"
2,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
2,"2-3","all","2017-2018","did_not_consume","0.985"
2,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
2,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
2,"4-8","all","2017-2018","did_not_consume","0.689"
2,"4-8","all","2017-2018","1_metric_cup_or_less","0.296"
2,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
2,"4-8","all","2017-2018","did_not_consume","0.933"
2,"4-8","all","2017-2018","1_metric_cup_or_less","0.041"
2,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","0.023"
2,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
2,"9-11","all","2017-2018","did_not_consume","0.618"
2,"9-11","all","2017-2018","1_metric_cup_or_less","0.37"
2,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"9-11","all","2017-2018","2_metric_cups_or_more","0.028"
2,"9-11","all","2017-2018","did_not_consume","0.977"
2,"9-11","all","2017-2018","1_metric_cup_or_less","0.031"
2,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
2,"12-13","all","2017-2018","did_not_consume","0.547"
2,"12-13","all","2017-2018","1_metric_cup_or_less","0.421"
2,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","0.035"
2,"12-13","all","2017-2018","2_metric_cups_or_more","0.027"
2,"12-13","all","2017-2018","did_not_consume","0.881"
2,"12-13","all","2017-2018","1_metric_cup_or_less","0.105"
2,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
2,"14-17","all","2017-2018","did_not_consume","0.473"
2,"14-17","all","2017-2018","1_metric_cup_or_less","0.413"
2,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.095"
2,"14-17","all","2017-2018","2_metric_cups_or_more","0.043"
2,"14-17","all","2017-2018","did_not_consume","0.842"
2,"14-17","all","2017-2018","1_metric_cup_or_less","0.15"
2,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.029"
2,"14-17","all","2017-2018","2_metric_cups_or_more","0.017"
3,"2-3","all","2017-2018","did_not_consume","0.842"
3,"2-3","all","2017-2018","1_metric_cup_or_less","0.132"
3,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"2-3","all","2017-2018","2_metric_cups_or_more","0.032"
3,"2-3","all","2017-2018","did_not_consume","0.984"
3,"2-3","all","2017-2018","1_metric_cup_or_less","0.037"
3,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
3,"4-8","all","2017-2018","did_not_consume","0.664"
3,"4-8","all","2017-2018","1_metric_cup_or_less","0.325"
3,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","0.016"
3,"4-8","all","2017-2018","2_metric_cups_or_more","0.016"
3,"4-8","all","2017-2018","did_not_consume","0.983"
3,"4-8","all","2017-2018","1_metric_cup_or_less","0.021"
3,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
3,"9-11","all","2017-2018","did_not_consume","0.527"
3,"9-11","all","2017-2018","1_metric_cup_or_less","0.468"
