"STE_CODE16","age_group","sex","year_range","bmi_categories","n","p"
1,"2-4","male","2017-2018","underweight",9999999,"9999999"
1,"2-4","male","2017-2018","normal",102700,"NULL"
1,"2-4","male","2017-2018","overweight",23200,"NULL"
1,"2-4","male","2017-2018","obese",9999999,"9999999"
1,"2-4","female","2017-2018","underweight",9999999,"9999999"
1,"2-4","female","2017-2018","normal",92800,"NULL"
1,"2-4","female","2017-2018","overweight",23900,"NULL"
1,"2-4","female","2017-2018","obese",9999999,"9999999"
1,"5-7","male","2017-2018","underweight",15000,"0.11"
1,"5-7","male","2017-2018","normal",82700,"NULL"
1,"5-7","male","2017-2018","overweight",28600,"NULL"
1,"5-7","male","2017-2018","obese",9999999,"9999999"
1,"5-7","female","2017-2018","underweight",9999999,"9999999"
1,"5-7","female","2017-2018","normal",85100,"NULL"
1,"5-7","female","2017-2018","overweight",38200,"NULL"
1,"5-7","female","2017-2018","obese",21900,"0.14"
1,"8-11","male","2017-2018","underweight",29000,"0.13"
1,"8-11","male","2017-2018","normal",127100,"NULL"
1,"8-11","male","2017-2018","overweight",51800,"0.23"
1,"8-11","male","2017-2018","obese",9999999,"9999999"
1,"8-11","female","2017-2018","underweight",28100,"0.16"
1,"8-11","female","2017-2018","normal",130400,"NULL"
1,"8-11","female","2017-2018","overweight",21800,"0.12"
1,"8-11","female","2017-2018","obese",10800,"0.06"
1,"12-15","male","2017-2018","underweight",9999999,"9999999"
1,"12-15","male","2017-2018","normal",146600,"NULL"
1,"12-15","male","2017-2018","overweight",24700,"0.12"
1,"12-15","male","2017-2018","obese",14600,"0.07"
1,"12-15","female","2017-2018","underweight",18800,"0.12"
1,"12-15","female","2017-2018","normal",114600,"0.7"
1,"12-15","female","2017-2018","overweight",31900,"0.2"
1,"12-15","female","2017-2018","obese",9800,"0.06"
1,"16-17","male","2017-2018","underweight",9999999,"9999999"
1,"16-17","male","2017-2018","normal",47300,"NULL"
1,"16-17","male","2017-2018","overweight",11700,"0.14"
1,"16-17","male","2017-2018","obese",9999999,"9999999"
1,"16-17","female","2017-2018","underweight",9999999,"9999999"
1,"16-17","female","2017-2018","normal",57000,"NULL"
1,"16-17","female","2017-2018","overweight",12600,"NULL"
1,"16-17","female","2017-2018","obese",18200,"NULL"
2,"2-4","male","2017-2018","underweight",9999999,"9999999"
2,"2-4","male","2017-2018","normal",81100,"NULL"
2,"2-4","male","2017-2018","overweight",27900,"NULL"
2,"2-4","male","2017-2018","obese",20500,"NULL"
2,"2-4","female","2017-2018","underweight",9999999,"9999999"
2,"2-4","female","2017-2018","normal",78100,"NULL"
2,"2-4","female","2017-2018","overweight",19200,"0.16"
2,"2-4","female","2017-2018","obese",8200,"0.07"
2,"5-7","male","2017-2018","underweight",9999999,"9999999"
2,"5-7","male","2017-2018","normal",72900,"NULL"
2,"5-7","male","2017-2018","overweight",16700,"NULL"
2,"5-7","male","2017-2018","obese",14800,"0.12"
2,"5-7","female","2017-2018","underweight",9999999,"9999999"
2,"5-7","female","2017-2018","normal",71500,"NULL"
2,"5-7","female","2017-2018","overweight",18200,"NULL"
2,"5-7","female","2017-2018","obese",9999999,"9999999"
2,"8-11","male","2017-2018","underweight",9999999,"9999999"
2,"8-11","male","2017-2018","normal",125100,"0.75"
2,"8-11","male","2017-2018","overweight",26600,"0.16"
2,"8-11","male","2017-2018","obese",9999999,"9999999"
2,"8-11","female","2017-2018","underweight",9999999,"9999999"
