"STE_CODE16","age_group","sex","year_range","bmi_categories","n","uncertainty"
1,"18-24","male","2017-2018","underweight",13600,2
1,"18-24","male","2017-2018","normal",153000,0
1,"18-24","male","2017-2018","overweight",134000,0
1,"18-24","male","2017-2018","total_obese",61100,1
1,"18-24","female","2017-2018","underweight",26700,2
1,"18-24","female","2017-2018","normal",202600,0
1,"18-24","female","2017-2018","overweight",76900,0
1,"18-24","female","2017-2018","total_obese",40500,1
2,"18-24","male","2017-2018","underweight",8900,2
2,"18-24","male","2017-2018","normal",147800,0
2,"18-24","male","2017-2018","overweight",112200,0
2,"18-24","male","2017-2018","total_obese",56400,0
2,"18-24","female","2017-2018","underweight",5700,2
2,"18-24","female","2017-2018","normal",163500,0
2,"18-24","female","2017-2018","overweight",92500,0
2,"18-24","female","2017-2018","total_obese",44800,0
3,"18-24","male","2017-2018","underweight",28100,1
3,"18-24","male","2017-2018","normal",101500,0
3,"18-24","male","2017-2018","overweight",59700,0
3,"18-24","male","2017-2018","total_obese",45700,0
3,"18-24","female","2017-2018","underweight",6200,2
3,"18-24","female","2017-2018","normal",131800,0
3,"18-24","female","2017-2018","overweight",45600,0
3,"18-24","female","2017-2018","total_obese",29600,1
4,"18-24","male","2017-2018","underweight",0,0
4,"18-24","male","2017-2018","normal",42000,0
4,"18-24","male","2017-2018","overweight",30100,0
4,"18-24","male","2017-2018","total_obese",9800,1
4,"18-24","female","2017-2018","underweight",6500,2
4,"18-24","female","2017-2018","normal",42100,0
4,"18-24","female","2017-2018","overweight",19700,1
4,"18-24","female","2017-2018","total_obese",6000,2
5,"18-24","male","2017-2018","underweight",0,0
5,"18-24","male","2017-2018","normal",57200,0
5,"18-24","male","2017-2018","overweight",38400,1
5,"18-24","male","2017-2018","total_obese",23800,1
5,"18-24","female","2017-2018","underweight",4700,2
5,"18-24","female","2017-2018","normal",58100,0
5,"18-24","female","2017-2018","overweight",32600,1
5,"18-24","female","2017-2018","total_obese",17700,1
6,"18-24","male","2017-2018","underweight",0,0
6,"18-24","male","2017-2018","normal",9200,0
6,"18-24","male","2017-2018","overweight",9900,0
6,"18-24","male","2017-2018","total_obese",4700,1
6,"18-24","female","2017-2018","underweight",0,0
6,"18-24","female","2017-2018","normal",11000,0
6,"18-24","female","2017-2018","overweight",3200,2
6,"18-24","female","2017-2018","total_obese",2900,1
7,"18-24","male","2017-2018","underweight",0,0
7,"18-24","male","2017-2018","normal",3400,1
7,"18-24","male","2017-2018","overweight",2600,1
7,"18-24","male","2017-2018","total_obese",2900,1
7,"18-24","female","2017-2018","underweight",400,2
7,"18-24","female","2017-2018","normal",3500,0
7,"18-24","female","2017-2018","overweight",2600,0
7,"18-24","female","2017-2018","total_obese",500,2
8,"18-24","male","2017-2018","underweight",0,0
8,"18-24","male","2017-2018","normal",12200,0
8,"18-24","male","2017-2018","overweight",5800,1
8,"18-24","male","2017-2018","total_obese",1300,2
8,"18-24","female","2017-2018","underweight",0,0
8,"18-24","female","2017-2018","normal",11200,0
8,"18-24","female","2017-2018","overweight",4300,1
8,"18-24","female","2017-2018","total_obese",3300,1
